rel_frame_id,query,top1,top5,top10,top15,ground_truth
video8477,city limits photograph taken from high point in day time,"[[8477, 1.5406415462493896]]","[[8477, 1.5406415462493896], [7890, 1.5643889904022217], [9246, 1.5995285511016846], [8307, 1.6042596101760864], [8945, 1.6045154333114624]]","[[8477, 1.5406415462493896], [7890, 1.5643889904022217], [9246, 1.5995285511016846], [8307, 1.6042596101760864], [8945, 1.6045154333114624], [7914, 1.6085865497589111], [8817, 1.6123260259628296], [8306, 1.6150723695755005], [9336, 1.6175553798675537], [7368, 1.6191487312316895]]","[[8477, 1.5406415462493896], [7890, 1.5643889904022217], [9246, 1.5995285511016846], [8307, 1.6042596101760864], [8945, 1.6045154333114624], [7914, 1.6085865497589111], [8817, 1.6123260259628296], [8306, 1.6150723695755005], [9336, 1.6175553798675537], [7368, 1.6191487312316895], [8864, 1.6193243265151978], [7468, 1.6206262111663818], [9033, 1.6217843294143677], [8328, 1.6232221126556396], [9259, 1.6266860961914062]]",8477
video9824,two ladies sitting down and talking in an office room,"[[9835, 1.4186221361160278]]","[[9835, 1.4186221361160278], [7724, 1.421201229095459], [7685, 1.4403948783874512], [9908, 1.4564803838729858], [8068, 1.4698948860168457]]","[[9835, 1.4186221361160278], [7724, 1.421201229095459], [7685, 1.4403948783874512], [9908, 1.4564803838729858], [8068, 1.4698948860168457], [9969, 1.470862865447998], [9324, 1.4727120399475098], [7573, 1.4743945598602295], [7341, 1.475332260131836], [9322, 1.477131724357605]]","[[9835, 1.4186221361160278], [7724, 1.421201229095459], [7685, 1.4403948783874512], [9908, 1.4564803838729858], [8068, 1.4698948860168457], [9969, 1.470862865447998], [9324, 1.4727120399475098], [7573, 1.4743945598602295], [7341, 1.475332260131836], [9322, 1.477131724357605], [9357, 1.479482889175415], [7149, 1.480411171913147], [7843, 1.4807296991348267], [9237, 1.4834201335906982], [7365, 1.4856898784637451]]",9824
video7960,a man is running around and playing a guitar,"[[8251, 1.3929626941680908]]","[[8251, 1.3929626941680908], [7419, 1.3997395038604736], [7227, 1.412703514099121], [7732, 1.4195327758789062], [8861, 1.4220812320709229]]","[[8251, 1.3929626941680908], [7419, 1.3997395038604736], [7227, 1.412703514099121], [7732, 1.4195327758789062], [8861, 1.4220812320709229], [7837, 1.4220867156982422], [8125, 1.4230234622955322], [7976, 1.4253790378570557], [9872, 1.4253973960876465], [9878, 1.427499532699585]]","[[8251, 1.3929626941680908], [7419, 1.3997395038604736], [7227, 1.412703514099121], [7732, 1.4195327758789062], [8861, 1.4220812320709229], [7837, 1.4220867156982422], [8125, 1.4230234622955322], [7976, 1.4253790378570557], [9872, 1.4253973960876465], [9878, 1.427499532699585], [8657, 1.4281750917434692], [7961, 1.4357759952545166], [9489, 1.43587327003479], [7593, 1.4361999034881592], [9600, 1.440098524093628]]",7960
video8079,several groups of people are kayaking on a waterway,"[[8079, 1.4205011129379272]]","[[8079, 1.4205011129379272], [8457, 1.4439834356307983], [9831, 1.4628701210021973], [8312, 1.4671818017959595], [7795, 1.4763648509979248]]","[[8079, 1.4205011129379272], [8457, 1.4439834356307983], [9831, 1.4628701210021973], [8312, 1.4671818017959595], [7795, 1.4763648509979248], [8335, 1.490105152130127], [8493, 1.4911844730377197], [7152, 1.4963595867156982], [8307, 1.5062624216079712], [9253, 1.5068964958190918]]","[[8079, 1.4205011129379272], [8457, 1.4439834356307983], [9831, 1.4628701210021973], [8312, 1.4671818017959595], [7795, 1.4763648509979248], [8335, 1.490105152130127], [8493, 1.4911844730377197], [7152, 1.4963595867156982], [8307, 1.5062624216079712], [9253, 1.5068964958190918], [8477, 1.5089836120605469], [8125, 1.5108983516693115], [9581, 1.5158026218414307], [7912, 1.5188546180725098], [7681, 1.5253963470458984]]",8079
video7542,a boy gets out of a play police car and talks to a girl,"[[7542, 1.358121633529663]]","[[7542, 1.358121633529663], [9323, 1.3812611103057861], [7822, 1.4092175960540771], [7354, 1.4274452924728394], [7765, 1.4288170337677002]]","[[7542, 1.358121633529663], [9323, 1.3812611103057861], [7822, 1.4092175960540771], [7354, 1.4274452924728394], [7765, 1.4288170337677002], [8497, 1.4288573265075684], [9806, 1.4330651760101318], [7502, 1.4352284669876099], [8330, 1.4369096755981445], [9677, 1.4427309036254883]]","[[7542, 1.358121633529663], [9323, 1.3812611103057861], [7822, 1.4092175960540771], [7354, 1.4274452924728394], [7765, 1.4288170337677002], [8497, 1.4288573265075684], [9806, 1.4330651760101318], [7502, 1.4352284669876099], [8330, 1.4369096755981445], [9677, 1.4427309036254883], [9622, 1.4443764686584473], [8022, 1.4498151540756226], [7616, 1.452195405960083], [7116, 1.4528870582580566], [8899, 1.45425283908844]]",7542
video9209,a girl practising her boy and arrow tricks,"[[9771, 1.346299409866333]]","[[9771, 1.346299409866333], [9209, 1.3591015338897705], [9685, 1.3638420104980469], [8936, 1.3724278211593628], [9451, 1.390784740447998]]","[[9771, 1.346299409866333], [9209, 1.3591015338897705], [9685, 1.3638420104980469], [8936, 1.3724278211593628], [9451, 1.390784740447998], [7170, 1.4067468643188477], [9034, 1.4093823432922363], [9338, 1.411787509918213], [8267, 1.4183379411697388], [8507, 1.4196250438690186]]","[[9771, 1.346299409866333], [9209, 1.3591015338897705], [9685, 1.3638420104980469], [8936, 1.3724278211593628], [9451, 1.390784740447998], [7170, 1.4067468643188477], [9034, 1.4093823432922363], [9338, 1.411787509918213], [8267, 1.4183379411697388], [8507, 1.4196250438690186], [9416, 1.4223995208740234], [7359, 1.427533507347107], [9405, 1.430940866470337], [7558, 1.4344855546951294], [9830, 1.437885046005249]]",9209
video9839,an animated horse is in a barn and the maker asks for comments,"[[9839, 1.2369641065597534]]","[[9839, 1.2369641065597534], [8327, 1.2898857593536377], [9577, 1.333295226097107], [8242, 1.381654977798462], [9451, 1.3857358694076538]]","[[9839, 1.2369641065597534], [8327, 1.2898857593536377], [9577, 1.333295226097107], [8242, 1.381654977798462], [9451, 1.3857358694076538], [9416, 1.3980839252471924], [9031, 1.4073559045791626], [9339, 1.4134089946746826], [9580, 1.4237477779388428], [7546, 1.4294370412826538]]","[[9839, 1.2369641065597534], [8327, 1.2898857593536377], [9577, 1.333295226097107], [8242, 1.381654977798462], [9451, 1.3857358694076538], [9416, 1.3980839252471924], [9031, 1.4073559045791626], [9339, 1.4134089946746826], [9580, 1.4237477779388428], [7546, 1.4294370412826538], [8909, 1.4298551082611084], [9508, 1.430843472480774], [8820, 1.4349920749664307], [7798, 1.4362095594406128], [9776, 1.4363572597503662]]",9839
video7832,a man and woman looking at each other on the subway,"[[7832, 1.4363067150115967]]","[[7832, 1.4363067150115967], [8318, 1.4457006454467773], [7977, 1.451183795928955], [9238, 1.463792324066162], [8340, 1.4739665985107422]]","[[7832, 1.4363067150115967], [8318, 1.4457006454467773], [7977, 1.451183795928955], [9238, 1.463792324066162], [8340, 1.4739665985107422], [7546, 1.477630376815796], [7732, 1.4786882400512695], [9688, 1.4789334535598755], [8808, 1.4803361892700195], [8346, 1.4873415231704712]]","[[7832, 1.4363067150115967], [8318, 1.4457006454467773], [7977, 1.451183795928955], [9238, 1.463792324066162], [8340, 1.4739665985107422], [7546, 1.477630376815796], [7732, 1.4786882400512695], [9688, 1.4789334535598755], [8808, 1.4803361892700195], [8346, 1.4873415231704712], [7352, 1.4876196384429932], [9811, 1.489409327507019], [9682, 1.491337776184082], [8812, 1.4929205179214478], [9252, 1.4953584671020508]]",7832
video7156,tom jones performing live on a television show,"[[7156, 1.32791268825531]]","[[7156, 1.32791268825531], [8482, 1.4141950607299805], [8925, 1.4167307615280151], [7754, 1.4217374324798584], [8810, 1.4257206916809082]]","[[7156, 1.32791268825531], [8482, 1.4141950607299805], [8925, 1.4167307615280151], [7754, 1.4217374324798584], [8810, 1.4257206916809082], [8814, 1.432447910308838], [9351, 1.4392211437225342], [8265, 1.4393858909606934], [7961, 1.4400193691253662], [9778, 1.44728422164917]]","[[7156, 1.32791268825531], [8482, 1.4141950607299805], [8925, 1.4167307615280151], [7754, 1.4217374324798584], [8810, 1.4257206916809082], [8814, 1.432447910308838], [9351, 1.4392211437225342], [8265, 1.4393858909606934], [7961, 1.4400193691253662], [9778, 1.44728422164917], [7220, 1.45463228225708], [8926, 1.457223653793335], [9518, 1.4624347686767578], [7733, 1.463220238685608], [8466, 1.4638843536376953]]",7156
video8678,a lady is walking in the beach,"[[9359, 1.4083654880523682]]","[[9359, 1.4083654880523682], [9577, 1.4189257621765137], [8895, 1.432218074798584], [9338, 1.4568686485290527], [8678, 1.4644503593444824]]","[[9359, 1.4083654880523682], [9577, 1.4189257621765137], [8895, 1.432218074798584], [9338, 1.4568686485290527], [8678, 1.4644503593444824], [8241, 1.4765164852142334], [7025, 1.4799636602401733], [7116, 1.4822521209716797], [7589, 1.487084984779358], [9253, 1.487861156463623]]","[[9359, 1.4083654880523682], [9577, 1.4189257621765137], [8895, 1.432218074798584], [9338, 1.4568686485290527], [8678, 1.4644503593444824], [8241, 1.4765164852142334], [7025, 1.4799636602401733], [7116, 1.4822521209716797], [7589, 1.487084984779358], [9253, 1.487861156463623], [9574, 1.4900562763214111], [8928, 1.4914335012435913], [7155, 1.4937472343444824], [9832, 1.4947829246520996], [7681, 1.4985466003417969]]",8678
video9416,person is recording the brown horse which is having fun,"[[9416, 1.333645224571228]]","[[9416, 1.333645224571228], [9577, 1.3365451097488403], [9451, 1.338219404220581], [9839, 1.3706414699554443], [8242, 1.4018733501434326]]","[[9416, 1.333645224571228], [9577, 1.3365451097488403], [9451, 1.338219404220581], [9839, 1.3706414699554443], [8242, 1.4018733501434326], [8125, 1.4024629592895508], [7732, 1.4157556295394897], [8327, 1.4166922569274902], [9031, 1.42155921459198], [9200, 1.432432770729065]]","[[9416, 1.333645224571228], [9577, 1.3365451097488403], [9451, 1.338219404220581], [9839, 1.3706414699554443], [8242, 1.4018733501434326], [8125, 1.4024629592895508], [7732, 1.4157556295394897], [8327, 1.4166922569274902], [9031, 1.42155921459198], [9200, 1.432432770729065], [7765, 1.4346704483032227], [7174, 1.4372758865356445], [8441, 1.437990665435791], [8929, 1.4386322498321533], [7837, 1.4388532638549805]]",9416
video9780,an older woman who is blind is talking to a girl named lilly,"[[9688, 1.3863260746002197]]","[[9688, 1.3863260746002197], [8895, 1.3899136781692505], [7680, 1.3947639465332031], [8345, 1.4010729789733887], [9357, 1.4125847816467285]]","[[9688, 1.3863260746002197], [8895, 1.3899136781692505], [7680, 1.3947639465332031], [8345, 1.4010729789733887], [9357, 1.4125847816467285], [9337, 1.412727952003479], [9603, 1.4158902168273926], [9969, 1.4246782064437866], [8604, 1.4254162311553955], [8899, 1.425969123840332]]","[[9688, 1.3863260746002197], [8895, 1.3899136781692505], [7680, 1.3947639465332031], [8345, 1.4010729789733887], [9357, 1.4125847816467285], [9337, 1.412727952003479], [9603, 1.4158902168273926], [9969, 1.4246782064437866], [8604, 1.4254162311553955], [8899, 1.425969123840332], [7843, 1.4381839036941528], [7542, 1.4385006427764893], [9908, 1.4402494430541992], [7724, 1.4412195682525635], [8320, 1.441678762435913]]",9780
video9812,a woman giving a photoshop tutorial,"[[7916, 1.3664815425872803]]","[[7916, 1.3664815425872803], [9346, 1.375697374343872], [9812, 1.4077277183532715], [8011, 1.4086893796920776], [9025, 1.408912181854248]]","[[7916, 1.3664815425872803], [9346, 1.375697374343872], [9812, 1.4077277183532715], [8011, 1.4086893796920776], [9025, 1.408912181854248], [7684, 1.413411259651184], [7724, 1.4170258045196533], [9207, 1.418135166168213], [9688, 1.4212101697921753], [8825, 1.4268261194229126]]","[[7916, 1.3664815425872803], [9346, 1.375697374343872], [9812, 1.4077277183532715], [8011, 1.4086893796920776], [9025, 1.408912181854248], [7684, 1.413411259651184], [7724, 1.4170258045196533], [9207, 1.418135166168213], [9688, 1.4212101697921753], [8825, 1.4268261194229126], [9822, 1.4349522590637207], [9818, 1.4373693466186523], [7573, 1.4404298067092896], [9575, 1.440930724143982], [8254, 1.4411625862121582]]",9812
video8851,a group of indian guys meeting on a bridge while it s raining,"[[7837, 1.4123175144195557]]","[[7837, 1.4123175144195557], [8851, 1.4135322570800781], [9511, 1.4545942544937134], [7822, 1.4692320823669434], [8248, 1.49522066116333]]","[[7837, 1.4123175144195557], [8851, 1.4135322570800781], [9511, 1.4545942544937134], [7822, 1.4692320823669434], [8248, 1.49522066116333], [9521, 1.4978790283203125], [8441, 1.4983515739440918], [7236, 1.499002456665039], [7732, 1.5009318590164185], [8493, 1.50872004032135]]","[[7837, 1.4123175144195557], [8851, 1.4135322570800781], [9511, 1.4545942544937134], [7822, 1.4692320823669434], [8248, 1.49522066116333], [9521, 1.4978790283203125], [8441, 1.4983515739440918], [7236, 1.499002456665039], [7732, 1.5009318590164185], [8493, 1.50872004032135], [8934, 1.5141352415084839], [8315, 1.5142621994018555], [8335, 1.5176069736480713], [8266, 1.5220249891281128], [9513, 1.523177146911621]]",8851
video7200,a female soccer player accepts a reward while being cheered on by the crowd,"[[8476, 1.3445417881011963]]","[[8476, 1.3445417881011963], [9681, 1.4409496784210205], [7200, 1.4630763530731201], [8979, 1.4931615591049194], [7542, 1.512730598449707]]","[[8476, 1.3445417881011963], [9681, 1.4409496784210205], [7200, 1.4630763530731201], [8979, 1.4931615591049194], [7542, 1.512730598449707], [9305, 1.5152106285095215], [8014, 1.515769600868225], [8333, 1.518359661102295], [7822, 1.5215508937835693], [9518, 1.5316435098648071]]","[[8476, 1.3445417881011963], [9681, 1.4409496784210205], [7200, 1.4630763530731201], [8979, 1.4931615591049194], [7542, 1.512730598449707], [9305, 1.5152106285095215], [8014, 1.515769600868225], [8333, 1.518359661102295], [7822, 1.5215508937835693], [9518, 1.5316435098648071], [9233, 1.5317285060882568], [8318, 1.535549283027649], [8664, 1.5364689826965332], [8899, 1.539021611213684], [7378, 1.5408339500427246]]",7200
video8478,a cat is licking a baby,"[[7902, 1.2994080781936646]]","[[7902, 1.2994080781936646], [8478, 1.315603256225586], [8672, 1.3571504354476929], [9200, 1.417844295501709], [8323, 1.4322896003723145]]","[[7902, 1.2994080781936646], [8478, 1.315603256225586], [8672, 1.3571504354476929], [9200, 1.417844295501709], [8323, 1.4322896003723145], [8604, 1.4419689178466797], [9034, 1.4428184032440186], [7201, 1.4502925872802734], [9657, 1.4503955841064453], [7592, 1.4522665739059448]]","[[7902, 1.2994080781936646], [8478, 1.315603256225586], [8672, 1.3571504354476929], [9200, 1.417844295501709], [8323, 1.4322896003723145], [8604, 1.4419689178466797], [9034, 1.4428184032440186], [7201, 1.4502925872802734], [9657, 1.4503955841064453], [7592, 1.4522665739059448], [8016, 1.452848196029663], [9256, 1.4670220613479614], [9871, 1.4726479053497314], [9969, 1.4739155769348145], [8935, 1.474381685256958]]",8478
video8315,man in black suit is having meeting with group of people,"[[8315, 1.4235187768936157]]","[[8315, 1.4235187768936157], [7234, 1.4444761276245117], [9404, 1.4561076164245605], [8945, 1.4617325067520142], [9028, 1.4662880897521973]]","[[8315, 1.4235187768936157], [7234, 1.4444761276245117], [9404, 1.4561076164245605], [8945, 1.4617325067520142], [9028, 1.4662880897521973], [8808, 1.478316307067871], [7352, 1.479067325592041], [9885, 1.4829461574554443], [9690, 1.487490177154541], [7110, 1.4879155158996582]]","[[8315, 1.4235187768936157], [7234, 1.4444761276245117], [9404, 1.4561076164245605], [8945, 1.4617325067520142], [9028, 1.4662880897521973], [8808, 1.478316307067871], [7352, 1.479067325592041], [9885, 1.4829461574554443], [9690, 1.487490177154541], [7110, 1.4879155158996582], [9245, 1.4888466596603394], [9233, 1.4901732206344604], [7171, 1.490173578262329], [7822, 1.490227222442627], [8464, 1.490665078163147]]",8315
video7466,a group of men carry a body covered in a sheet,"[[9681, 1.4489617347717285]]","[[9681, 1.4489617347717285], [8125, 1.478212594985962], [9235, 1.4807319641113281], [9805, 1.4816251993179321], [9245, 1.482187271118164]]","[[9681, 1.4489617347717285], [8125, 1.478212594985962], [9235, 1.4807319641113281], [9805, 1.4816251993179321], [9245, 1.482187271118164], [8903, 1.482457160949707], [9131, 1.4900161027908325], [8079, 1.490078091621399], [9576, 1.4912402629852295], [7444, 1.4971044063568115]]","[[9681, 1.4489617347717285], [8125, 1.478212594985962], [9235, 1.4807319641113281], [9805, 1.4816251993179321], [9245, 1.482187271118164], [8903, 1.482457160949707], [9131, 1.4900161027908325], [8079, 1.490078091621399], [9576, 1.4912402629852295], [7444, 1.4971044063568115], [7110, 1.4981434345245361], [9063, 1.4991015195846558], [9832, 1.505915641784668], [7116, 1.5103013515472412], [8652, 1.5126066207885742]]",7466
video9010,a group of zombis walking towards a very tall building with a globe in front of it,"[[9131, 1.3285064697265625]]","[[9131, 1.3285064697265625], [7632, 1.4244840145111084], [7135, 1.444589376449585], [8945, 1.4519366025924683], [8657, 1.452909231185913]]","[[9131, 1.3285064697265625], [7632, 1.4244840145111084], [7135, 1.444589376449585], [8945, 1.4519366025924683], [8657, 1.452909231185913], [9063, 1.4530943632125854], [9805, 1.4602700471878052], [8122, 1.4659061431884766], [9405, 1.4703149795532227], [9400, 1.471451759338379]]","[[9131, 1.3285064697265625], [7632, 1.4244840145111084], [7135, 1.444589376449585], [8945, 1.4519366025924683], [8657, 1.452909231185913], [9063, 1.4530943632125854], [9805, 1.4602700471878052], [8122, 1.4659061431884766], [9405, 1.4703149795532227], [9400, 1.471451759338379], [8781, 1.4717435836791992], [7780, 1.4733853340148926], [9524, 1.4746525287628174], [8306, 1.476686716079712], [7141, 1.48152494430542]]",9010
video8336,video of a church chior,"[[8474, 1.35265052318573]]","[[8474, 1.35265052318573], [8336, 1.3801796436309814], [7772, 1.3912824392318726], [7346, 1.4042549133300781], [8909, 1.4144343137741089]]","[[8474, 1.35265052318573], [8336, 1.3801796436309814], [7772, 1.3912824392318726], [7346, 1.4042549133300781], [8909, 1.4144343137741089], [8441, 1.4147617816925049], [8445, 1.4152274131774902], [9404, 1.4171202182769775], [7732, 1.4271328449249268], [7828, 1.4278132915496826]]","[[8474, 1.35265052318573], [8336, 1.3801796436309814], [7772, 1.3912824392318726], [7346, 1.4042549133300781], [8909, 1.4144343137741089], [8441, 1.4147617816925049], [8445, 1.4152274131774902], [9404, 1.4171202182769775], [7732, 1.4271328449249268], [7828, 1.4278132915496826], [7969, 1.4312355518341064], [8416, 1.4315783977508545], [8118, 1.4325766563415527], [7558, 1.4328179359436035], [9515, 1.4332575798034668]]",8336
