rel_video_id,query,top1,top5,top10,top15,ground_truth
video8477,city limits photograph taken from high point in day time,"[[8477, 1.441317081451416]]","[[8477, 1.441317081451416], [8248, 1.5388236045837402], [9774, 1.5514278411865234], [8312, 1.553204894065857], [9246, 1.5655004978179932]]","[[8477, 1.441317081451416], [8248, 1.5388236045837402], [9774, 1.5514278411865234], [8312, 1.553204894065857], [9246, 1.5655004978179932], [8307, 1.565584659576416], [8463, 1.5682706832885742], [7914, 1.576470971107483], [9581, 1.578740119934082], [7890, 1.5845177173614502]]","[[8477, 1.441317081451416], [8248, 1.5388236045837402], [9774, 1.5514278411865234], [8312, 1.553204894065857], [9246, 1.5655004978179932], [8307, 1.565584659576416], [8463, 1.5682706832885742], [7914, 1.576470971107483], [9581, 1.578740119934082], [7890, 1.5845177173614502], [8666, 1.5847790241241455], [8945, 1.585702896118164], [8306, 1.586135745048523], [7412, 1.5949653387069702], [8741, 1.6022611856460571]]",8477
video9824,two ladies sitting down and talking in an office room,"[[9835, 1.4220564365386963]]","[[9835, 1.4220564365386963], [7724, 1.477064847946167], [7549, 1.4909850358963013], [9824, 1.4971975088119507], [8074, 1.500255823135376]]","[[9835, 1.4220564365386963], [7724, 1.477064847946167], [7549, 1.4909850358963013], [9824, 1.4971975088119507], [8074, 1.500255823135376], [8068, 1.5045971870422363], [9908, 1.507680892944336], [8347, 1.5104204416275024], [9347, 1.517021656036377], [9357, 1.5268065929412842]]","[[9835, 1.4220564365386963], [7724, 1.477064847946167], [7549, 1.4909850358963013], [9824, 1.4971975088119507], [8074, 1.500255823135376], [8068, 1.5045971870422363], [9908, 1.507680892944336], [8347, 1.5104204416275024], [9347, 1.517021656036377], [9357, 1.5268065929412842], [7680, 1.526926875114441], [7149, 1.527313232421875], [7825, 1.5308997631072998], [7947, 1.532004952430725], [8783, 1.5320278406143188]]",9824
video7960,a man is running around and playing a guitar,"[[7976, 1.4325238466262817]]","[[7976, 1.4325238466262817], [8251, 1.463821291923523], [7227, 1.4669430255889893], [7961, 1.469093918800354], [7960, 1.4742776155471802]]","[[7976, 1.4325238466262817], [8251, 1.463821291923523], [7227, 1.4669430255889893], [7961, 1.469093918800354], [7960, 1.4742776155471802], [7419, 1.4808456897735596], [7228, 1.4824731349945068], [9872, 1.4903879165649414], [9489, 1.4998176097869873], [7135, 1.5000877380371094]]","[[7976, 1.4325238466262817], [8251, 1.463821291923523], [7227, 1.4669430255889893], [7961, 1.469093918800354], [7960, 1.4742776155471802], [7419, 1.4808456897735596], [7228, 1.4824731349945068], [9872, 1.4903879165649414], [9489, 1.4998176097869873], [7135, 1.5000877380371094], [7545, 1.5002498626708984], [9307, 1.5055866241455078], [7205, 1.5152297019958496], [7028, 1.52467942237854], [8925, 1.525809645652771]]",7960
video8079,several groups of people are kayaking on a waterway,"[[8079, 1.4442527294158936]]","[[8079, 1.4442527294158936], [8457, 1.459608554840088], [8312, 1.4948625564575195], [8025, 1.4951342344284058], [9831, 1.5053627490997314]]","[[8079, 1.4442527294158936], [8457, 1.459608554840088], [8312, 1.4948625564575195], [8025, 1.4951342344284058], [9831, 1.5053627490997314], [7795, 1.505810260772705], [8118, 1.5151588916778564], [8307, 1.523017168045044], [7681, 1.5353237390518188], [8493, 1.5525211095809937]]","[[8079, 1.4442527294158936], [8457, 1.459608554840088], [8312, 1.4948625564575195], [8025, 1.4951342344284058], [9831, 1.5053627490997314], [7795, 1.505810260772705], [8118, 1.5151588916778564], [8307, 1.523017168045044], [7681, 1.5353237390518188], [8493, 1.5525211095809937], [9342, 1.5543018579483032], [9253, 1.5605989694595337], [9578, 1.5623329877853394], [8335, 1.5680934190750122], [8241, 1.5735299587249756]]",8079
video7542,a boy gets out of a play police car and talks to a girl,"[[7542, 1.3094031810760498]]","[[7542, 1.3094031810760498], [8653, 1.4668724536895752], [8330, 1.4872210025787354], [8442, 1.4942529201507568], [8556, 1.5094060897827148]]","[[7542, 1.3094031810760498], [8653, 1.4668724536895752], [8330, 1.4872210025787354], [8442, 1.4942529201507568], [8556, 1.5094060897827148], [9323, 1.5112608671188354], [7204, 1.5127067565917969], [9341, 1.5130566358566284], [9240, 1.5166325569152832], [9878, 1.5202062129974365]]","[[7542, 1.3094031810760498], [8653, 1.4668724536895752], [8330, 1.4872210025787354], [8442, 1.4942529201507568], [8556, 1.5094060897827148], [9323, 1.5112608671188354], [7204, 1.5127067565917969], [9341, 1.5130566358566284], [9240, 1.5166325569152832], [9878, 1.5202062129974365], [9521, 1.5319883823394775], [9816, 1.5327560901641846], [8974, 1.5378196239471436], [9036, 1.5412756204605103], [8895, 1.5445332527160645]]",7542
video9209,a girl practising her boy and arrow tricks,"[[7170, 1.4158740043640137]]","[[7170, 1.4158740043640137], [9209, 1.4658608436584473], [8507, 1.5050657987594604], [7974, 1.5137542486190796], [8816, 1.5161809921264648]]","[[7170, 1.4158740043640137], [9209, 1.4658608436584473], [8507, 1.5050657987594604], [7974, 1.5137542486190796], [8816, 1.5161809921264648], [9338, 1.5322084426879883], [7963, 1.5340849161148071], [9226, 1.5372508764266968], [9685, 1.539484977722168], [8807, 1.5522719621658325]]","[[7170, 1.4158740043640137], [9209, 1.4658608436584473], [8507, 1.5050657987594604], [7974, 1.5137542486190796], [8816, 1.5161809921264648], [9338, 1.5322084426879883], [7963, 1.5340849161148071], [9226, 1.5372508764266968], [9685, 1.539484977722168], [8807, 1.5522719621658325], [7177, 1.5524113178253174], [9405, 1.5542584657669067], [8027, 1.5574452877044678], [9623, 1.5642188787460327], [7599, 1.5649534463882446]]",9209
video9839,an animated horse is in a barn and the maker asks for comments,"[[9839, 1.333061695098877]]","[[9839, 1.333061695098877], [8327, 1.3673484325408936], [9577, 1.465571641921997], [7024, 1.508782148361206], [9200, 1.5158967971801758]]","[[9839, 1.333061695098877], [8327, 1.3673484325408936], [9577, 1.465571641921997], [7024, 1.508782148361206], [9200, 1.5158967971801758], [9580, 1.5321340560913086], [9334, 1.5356593132019043], [9776, 1.5399529933929443], [7353, 1.5489723682403564], [9031, 1.5525453090667725]]","[[9839, 1.333061695098877], [8327, 1.3673484325408936], [9577, 1.465571641921997], [7024, 1.508782148361206], [9200, 1.5158967971801758], [9580, 1.5321340560913086], [9334, 1.5356593132019043], [9776, 1.5399529933929443], [7353, 1.5489723682403564], [9031, 1.5525453090667725], [8799, 1.5551745891571045], [7232, 1.5678472518920898], [9820, 1.5684483051300049], [7798, 1.569361686706543], [8334, 1.5693809986114502]]",9839
video7832,a man and woman looking at each other on the subway,"[[7832, 1.4044991731643677]]","[[7832, 1.4044991731643677], [9688, 1.5076148509979248], [7114, 1.516664981842041], [9011, 1.5172185897827148], [8974, 1.5211219787597656]]","[[7832, 1.4044991731643677], [9688, 1.5076148509979248], [7114, 1.516664981842041], [9011, 1.5172185897827148], [8974, 1.5211219787597656], [8879, 1.522586703300476], [8653, 1.52681303024292], [8442, 1.5386760234832764], [9682, 1.5534203052520752], [8304, 1.5715841054916382]]","[[7832, 1.4044991731643677], [9688, 1.5076148509979248], [7114, 1.516664981842041], [9011, 1.5172185897827148], [8974, 1.5211219787597656], [8879, 1.522586703300476], [8653, 1.52681303024292], [8442, 1.5386760234832764], [9682, 1.5534203052520752], [8304, 1.5715841054916382], [8485, 1.5726566314697266], [7469, 1.5785484313964844], [7546, 1.581337809562683], [8330, 1.582646369934082], [9023, 1.5868711471557617]]",7832
video7156,tom jones performing live on a television show,"[[7156, 1.4350048303604126]]","[[7156, 1.4350048303604126], [7362, 1.496743083000183], [7754, 1.5133051872253418], [9023, 1.5186145305633545], [7349, 1.528299331665039]]","[[7156, 1.4350048303604126], [7362, 1.496743083000183], [7754, 1.5133051872253418], [9023, 1.5186145305633545], [7349, 1.528299331665039], [8925, 1.5297625064849854], [9834, 1.5340285301208496], [8269, 1.5363385677337646], [7732, 1.544646978378296], [8482, 1.5500143766403198]]","[[7156, 1.4350048303604126], [7362, 1.496743083000183], [7754, 1.5133051872253418], [9023, 1.5186145305633545], [7349, 1.528299331665039], [8925, 1.5297625064849854], [9834, 1.5340285301208496], [8269, 1.5363385677337646], [7732, 1.544646978378296], [8482, 1.5500143766403198], [9351, 1.5514581203460693], [8932, 1.5578062534332275], [8905, 1.563462734222412], [8466, 1.5639493465423584], [9245, 1.5691155195236206]]",7156
video8678,a lady is walking in the beach,"[[8678, 1.4209239482879639]]","[[8678, 1.4209239482879639], [8928, 1.4707529544830322], [8895, 1.4767968654632568], [9016, 1.4769479036331177], [8999, 1.4898600578308105]]","[[8678, 1.4209239482879639], [8928, 1.4707529544830322], [8895, 1.4767968654632568], [9016, 1.4769479036331177], [8999, 1.4898600578308105], [9201, 1.4984275102615356], [9359, 1.5033197402954102], [7974, 1.5158345699310303], [8014, 1.5179228782653809], [7681, 1.5222442150115967]]","[[8678, 1.4209239482879639], [8928, 1.4707529544830322], [8895, 1.4767968654632568], [9016, 1.4769479036331177], [8999, 1.4898600578308105], [9201, 1.4984275102615356], [9359, 1.5033197402954102], [7974, 1.5158345699310303], [8014, 1.5179228782653809], [7681, 1.5222442150115967], [8241, 1.5241680145263672], [7589, 1.5243663787841797], [7212, 1.5286753177642822], [9348, 1.5291109085083008], [7783, 1.5299748182296753]]",8678
video9416,person is recording the brown horse which is having fun,"[[9416, 1.3662333488464355]]","[[9416, 1.3662333488464355], [9839, 1.3946900367736816], [8242, 1.4413702487945557], [9577, 1.4422370195388794], [8327, 1.4512989521026611]]","[[9416, 1.3662333488464355], [9839, 1.3946900367736816], [8242, 1.4413702487945557], [9577, 1.4422370195388794], [8327, 1.4512989521026611], [9451, 1.4865694046020508], [7615, 1.5053956508636475], [7361, 1.5079407691955566], [7024, 1.5193705558776855], [9248, 1.529889702796936]]","[[9416, 1.3662333488464355], [9839, 1.3946900367736816], [8242, 1.4413702487945557], [9577, 1.4422370195388794], [8327, 1.4512989521026611], [9451, 1.4865694046020508], [7615, 1.5053956508636475], [7361, 1.5079407691955566], [7024, 1.5193705558776855], [9248, 1.529889702796936], [9200, 1.541259527206421], [9339, 1.5440361499786377], [8334, 1.5506348609924316], [8044, 1.5541234016418457], [8329, 1.5568642616271973]]",9416
video9780,an older woman who is blind is talking to a girl named lilly,"[[9816, 1.4576847553253174]]","[[9816, 1.4576847553253174], [7680, 1.4603056907653809], [9337, 1.4882006645202637], [9780, 1.4912948608398438], [7365, 1.492689847946167]]","[[9816, 1.4576847553253174], [7680, 1.4603056907653809], [9337, 1.4882006645202637], [9780, 1.4912948608398438], [7365, 1.492689847946167], [9322, 1.4948997497558594], [9357, 1.4961175918579102], [7583, 1.504547119140625], [9908, 1.5136280059814453], [8345, 1.517913818359375]]","[[9816, 1.4576847553253174], [7680, 1.4603056907653809], [9337, 1.4882006645202637], [9780, 1.4912948608398438], [7365, 1.492689847946167], [9322, 1.4948997497558594], [9357, 1.4961175918579102], [7583, 1.504547119140625], [9908, 1.5136280059814453], [8345, 1.517913818359375], [9750, 1.5195521116256714], [9353, 1.5255236625671387], [8899, 1.5292818546295166], [8664, 1.530404806137085], [8836, 1.5321085453033447]]",9780
video9812,a woman giving a photoshop tutorial,"[[9346, 1.3762075901031494]]","[[9346, 1.3762075901031494], [8921, 1.415170669555664], [9812, 1.4220216274261475], [7916, 1.5083357095718384], [9688, 1.529961347579956]]","[[9346, 1.3762075901031494], [8921, 1.415170669555664], [9812, 1.4220216274261475], [7916, 1.5083357095718384], [9688, 1.529961347579956], [8928, 1.5472317934036255], [8756, 1.5504906177520752], [8669, 1.5534462928771973], [9503, 1.5580432415008545], [9782, 1.5655086040496826]]","[[9346, 1.3762075901031494], [8921, 1.415170669555664], [9812, 1.4220216274261475], [7916, 1.5083357095718384], [9688, 1.529961347579956], [8928, 1.5472317934036255], [8756, 1.5504906177520752], [8669, 1.5534462928771973], [9503, 1.5580432415008545], [9782, 1.5655086040496826], [8111, 1.5763928890228271], [9698, 1.5780768394470215], [8011, 1.5845046043395996], [7348, 1.585165023803711], [8999, 1.5865302085876465]]",9812
video8851,a group of indian guys meeting on a bridge while it s raining,"[[8851, 1.2861225605010986]]","[[8851, 1.2861225605010986], [9521, 1.4271924495697021], [7822, 1.4855468273162842], [7837, 1.4916415214538574], [8248, 1.5175466537475586]]","[[8851, 1.2861225605010986], [9521, 1.4271924495697021], [7822, 1.4855468273162842], [7837, 1.4916415214538574], [8248, 1.5175466537475586], [8485, 1.5246922969818115], [8118, 1.5248764753341675], [7974, 1.547614336013794], [8945, 1.5584352016448975], [7236, 1.560059905052185]]","[[8851, 1.2861225605010986], [9521, 1.4271924495697021], [7822, 1.4855468273162842], [7837, 1.4916415214538574], [8248, 1.5175466537475586], [8485, 1.5246922969818115], [8118, 1.5248764753341675], [7974, 1.547614336013794], [8945, 1.5584352016448975], [7236, 1.560059905052185], [8974, 1.560089111328125], [9576, 1.5640478134155273], [7352, 1.5805273056030273], [7028, 1.5816746950149536], [8879, 1.582133412361145]]",8851
video7200,a female soccer player accepts a reward while being cheered on by the crowd,"[[8476, 1.3577860593795776]]","[[8476, 1.3577860593795776], [7200, 1.3789284229278564], [9305, 1.455150842666626], [7500, 1.4730304479599], [9681, 1.5022284984588623]]","[[8476, 1.3577860593795776], [7200, 1.3789284229278564], [9305, 1.455150842666626], [7500, 1.4730304479599], [9681, 1.5022284984588623], [8979, 1.5192559957504272], [7378, 1.5242609977722168], [8661, 1.5267891883850098], [8014, 1.5398153066635132], [9817, 1.5517535209655762]]","[[8476, 1.3577860593795776], [7200, 1.3789284229278564], [9305, 1.455150842666626], [7500, 1.4730304479599], [9681, 1.5022284984588623], [8979, 1.5192559957504272], [7378, 1.5242609977722168], [8661, 1.5267891883850098], [8014, 1.5398153066635132], [9817, 1.5517535209655762], [9516, 1.5602773427963257], [8675, 1.562232494354248], [8264, 1.5719913244247437], [7822, 1.5726757049560547], [9341, 1.573496699333191]]",7200
video8478,a cat is licking a baby,"[[7902, 1.3323408365249634]]","[[7902, 1.3323408365249634], [8478, 1.354449987411499], [7570, 1.5071983337402344], [9320, 1.5304949283599854], [8672, 1.5323317050933838]]","[[7902, 1.3323408365249634], [8478, 1.354449987411499], [7570, 1.5071983337402344], [9320, 1.5304949283599854], [8672, 1.5323317050933838], [8323, 1.5402073860168457], [8018, 1.5661113262176514], [8681, 1.578366994857788], [9969, 1.5805503129959106], [9828, 1.581492304801941]]","[[7902, 1.3323408365249634], [8478, 1.354449987411499], [7570, 1.5071983337402344], [9320, 1.5304949283599854], [8672, 1.5323317050933838], [8323, 1.5402073860168457], [8018, 1.5661113262176514], [8681, 1.578366994857788], [9969, 1.5805503129959106], [9828, 1.581492304801941], [8604, 1.5874639749526978], [7217, 1.5894865989685059], [8123, 1.5971291065216064], [7201, 1.5972628593444824], [8867, 1.5980678796768188]]",8478
video8315,man in black suit is having meeting with group of people,"[[7753, 1.4656996726989746]]","[[7753, 1.4656996726989746], [8315, 1.4778797626495361], [8120, 1.4832338094711304], [8808, 1.4835493564605713], [8905, 1.5058093070983887]]","[[7753, 1.4656996726989746], [8315, 1.4778797626495361], [8120, 1.4832338094711304], [8808, 1.4835493564605713], [8905, 1.5058093070983887], [7825, 1.5058964490890503], [9692, 1.5071055889129639], [9406, 1.5114986896514893], [7790, 1.512669324874878], [9023, 1.5162700414657593]]","[[7753, 1.4656996726989746], [8315, 1.4778797626495361], [8120, 1.4832338094711304], [8808, 1.4835493564605713], [8905, 1.5058093070983887], [7825, 1.5058964490890503], [9692, 1.5071055889129639], [9406, 1.5114986896514893], [7790, 1.512669324874878], [9023, 1.5162700414657593], [7234, 1.522070050239563], [7215, 1.5256896018981934], [9520, 1.5306024551391602], [7418, 1.5311377048492432], [7410, 1.531567096710205]]",8315
video7466,a group of men carry a body covered in a sheet,"[[8851, 1.4449281692504883]]","[[8851, 1.4449281692504883], [7137, 1.5053343772888184], [9686, 1.515008807182312], [9234, 1.517291784286499], [7352, 1.5281867980957031]]","[[8851, 1.4449281692504883], [7137, 1.5053343772888184], [9686, 1.515008807182312], [9234, 1.517291784286499], [7352, 1.5281867980957031], [9032, 1.5348446369171143], [9520, 1.5401263236999512], [9878, 1.5405113697052002], [9521, 1.5408284664154053], [9576, 1.5523290634155273]]","[[8851, 1.4449281692504883], [7137, 1.5053343772888184], [9686, 1.515008807182312], [9234, 1.517291784286499], [7352, 1.5281867980957031], [9032, 1.5348446369171143], [9520, 1.5401263236999512], [9878, 1.5405113697052002], [9521, 1.5408284664154053], [9576, 1.5523290634155273], [9322, 1.552900791168213], [7567, 1.55904221534729], [9235, 1.5593780279159546], [9244, 1.5655537843704224], [8305, 1.568168044090271]]",7466
video9010,a group of zombis walking towards a very tall building with a globe in front of it,"[[9010, 1.4712340831756592]]","[[9010, 1.4712340831756592], [8122, 1.514609694480896], [8266, 1.5155733823776245], [7223, 1.5169800519943237], [7747, 1.5222303867340088]]","[[9010, 1.4712340831756592], [8122, 1.514609694480896], [8266, 1.5155733823776245], [7223, 1.5169800519943237], [7747, 1.5222303867340088], [7780, 1.5244777202606201], [7632, 1.5275689363479614], [8306, 1.530838966369629], [7822, 1.5340157747268677], [8741, 1.5439574718475342]]","[[9010, 1.4712340831756592], [8122, 1.514609694480896], [8266, 1.5155733823776245], [7223, 1.5169800519943237], [7747, 1.5222303867340088], [7780, 1.5244777202606201], [7632, 1.5275689363479614], [8306, 1.530838966369629], [7822, 1.5340157747268677], [8741, 1.5439574718475342], [8073, 1.544589877128601], [8061, 1.551124095916748], [7466, 1.5601942539215088], [9033, 1.562924861907959], [8851, 1.5642082691192627]]",9010
video8336,video of a church chior,"[[8336, 1.3989008665084839]]","[[8336, 1.3989008665084839], [9244, 1.472278118133545], [8441, 1.5243760347366333], [8937, 1.5323821306228638], [9246, 1.5354496240615845]]","[[8336, 1.3989008665084839], [9244, 1.472278118133545], [8441, 1.5243760347366333], [8937, 1.5323821306228638], [9246, 1.5354496240615845], [7632, 1.5429378747940063], [8812, 1.552038550376892], [8741, 1.554850697517395], [7772, 1.5734138488769531], [7686, 1.573620080947876]]","[[8336, 1.3989008665084839], [9244, 1.472278118133545], [8441, 1.5243760347366333], [8937, 1.5323821306228638], [9246, 1.5354496240615845], [7632, 1.5429378747940063], [8812, 1.552038550376892], [8741, 1.554850697517395], [7772, 1.5734138488769531], [7686, 1.573620080947876], [8346, 1.5740008354187012], [8474, 1.574867606163025], [8335, 1.5803104639053345], [8426, 1.5803521871566772], [7149, 1.585077166557312]]",8336
