rel_video_id,query,top1,top5,top10,top15,ground_truth
video9800,a car is in a wreck,"[[7649, 1.4754021167755127]]","[[7649, 1.4754021167755127], [7614, 1.4875984191894531], [9800, 1.4931799173355103], [8243, 1.5218164920806885], [8246, 1.5343948602676392]]","[[7649, 1.4754021167755127], [7614, 1.4875984191894531], [9800, 1.4931799173355103], [8243, 1.5218164920806885], [8246, 1.5343948602676392], [8075, 1.536211371421814], [9975, 1.5393091440200806], [9622, 1.5397636890411377], [8497, 1.543839693069458], [9878, 1.545851707458496]]","[[7649, 1.4754021167755127], [7614, 1.4875984191894531], [9800, 1.4931799173355103], [8243, 1.5218164920806885], [8246, 1.5343948602676392], [8075, 1.536211371421814], [9975, 1.5393091440200806], [9622, 1.5397636890411377], [8497, 1.543839693069458], [9878, 1.545851707458496], [9508, 1.5464563369750977], [7752, 1.5471010208129883], [7965, 1.551029920578003], [9354, 1.5515820980072021], [7765, 1.5525057315826416]]",9800
video9205,a woman interviewing about her part in a protest happening in brazil,"[[8311, 1.4957177639007568]]","[[8311, 1.4957177639007568], [7364, 1.5090553760528564], [9028, 1.5109243392944336], [8022, 1.5162419080734253], [8650, 1.5288596153259277]]","[[8311, 1.4957177639007568], [7364, 1.5090553760528564], [9028, 1.5109243392944336], [8022, 1.5162419080734253], [8650, 1.5288596153259277], [9205, 1.5309381484985352], [8333, 1.5492795705795288], [7822, 1.5556573867797852], [7341, 1.5596296787261963], [9131, 1.5657391548156738]]","[[8311, 1.4957177639007568], [7364, 1.5090553760528564], [9028, 1.5109243392944336], [8022, 1.5162419080734253], [8650, 1.5288596153259277], [9205, 1.5309381484985352], [8333, 1.5492795705795288], [7822, 1.5556573867797852], [7341, 1.5596296787261963], [9131, 1.5657391548156738], [9882, 1.571958303451538], [8789, 1.5810513496398926], [7613, 1.5842926502227783], [8494, 1.5875611305236816], [8906, 1.5914148092269897]]",9205
video7590,an emotional scene of two persons where they are crying on meeting,"[[7590, 1.3980191946029663]]","[[7590, 1.3980191946029663], [9023, 1.4840985536575317], [8330, 1.4905016422271729], [8974, 1.4940887689590454], [7114, 1.5019986629486084]]","[[7590, 1.3980191946029663], [9023, 1.4840985536575317], [8330, 1.4905016422271729], [8974, 1.4940887689590454], [7114, 1.5019986629486084], [8653, 1.5114307403564453], [9801, 1.515921950340271], [7964, 1.5221542119979858], [9237, 1.5228044986724854], [8922, 1.5233535766601562]]","[[7590, 1.3980191946029663], [9023, 1.4840985536575317], [8330, 1.4905016422271729], [8974, 1.4940887689590454], [7114, 1.5019986629486084], [8653, 1.5114307403564453], [9801, 1.515921950340271], [7964, 1.5221542119979858], [9237, 1.5228044986724854], [8922, 1.5233535766601562], [8075, 1.5261523723602295], [7468, 1.5268187522888184], [8490, 1.5295493602752686], [8808, 1.529755711555481], [7149, 1.5332865715026855]]",7590
video9017,the man is driving his motorbike fast and having problems on the race,"[[8657, 1.4212357997894287]]","[[8657, 1.4212357997894287], [9017, 1.4290962219238281], [8820, 1.4648183584213257], [7544, 1.4867889881134033], [9609, 1.5193157196044922]]","[[8657, 1.4212357997894287], [9017, 1.4290962219238281], [8820, 1.4648183584213257], [7544, 1.4867889881134033], [9609, 1.5193157196044922], [8089, 1.519730567932129], [7219, 1.5210094451904297], [9813, 1.552298665046692], [8934, 1.5527698993682861], [7151, 1.5604395866394043]]","[[8657, 1.4212357997894287], [9017, 1.4290962219238281], [8820, 1.4648183584213257], [7544, 1.4867889881134033], [9609, 1.5193157196044922], [8089, 1.519730567932129], [7219, 1.5210094451904297], [9813, 1.552298665046692], [8934, 1.5527698993682861], [7151, 1.5604395866394043], [9489, 1.5607023239135742], [8263, 1.5632591247558594], [7214, 1.565301775932312], [9800, 1.565643072128296], [8243, 1.5658941268920898]]",9017
video9241,japanese people laughing and dancing,"[[9241, 1.3825719356536865]]","[[9241, 1.3825719356536865], [9682, 1.4698140621185303], [7028, 1.4799280166625977], [7725, 1.48055899143219], [9131, 1.4951146841049194]]","[[9241, 1.3825719356536865], [9682, 1.4698140621185303], [7028, 1.4799280166625977], [7725, 1.48055899143219], [9131, 1.4951146841049194], [8349, 1.500530481338501], [8241, 1.512657880783081], [8303, 1.5218974351882935], [7212, 1.5241155624389648], [8074, 1.531984806060791]]","[[9241, 1.3825719356536865], [9682, 1.4698140621185303], [7028, 1.4799280166625977], [7725, 1.48055899143219], [9131, 1.4951146841049194], [8349, 1.500530481338501], [8241, 1.512657880783081], [8303, 1.5218974351882935], [7212, 1.5241155624389648], [8074, 1.531984806060791], [7726, 1.5343520641326904], [8259, 1.5441560745239258], [7559, 1.55059015750885], [8304, 1.5510613918304443], [7970, 1.5511120557785034]]",9241
video7158,fox news presidential debate recapping the gop debate with donald trump and ted cruz,"[[7158, 1.3375513553619385]]","[[7158, 1.3375513553619385], [8464, 1.4277490377426147], [7731, 1.4992101192474365], [9223, 1.5167436599731445], [7754, 1.5494873523712158]]","[[7158, 1.3375513553619385], [8464, 1.4277490377426147], [7731, 1.4992101192474365], [9223, 1.5167436599731445], [7754, 1.5494873523712158], [7613, 1.565139651298523], [8864, 1.5825761556625366], [9204, 1.5872697830200195], [8175, 1.6043351888656616], [7753, 1.6065963506698608]]","[[7158, 1.3375513553619385], [8464, 1.4277490377426147], [7731, 1.4992101192474365], [9223, 1.5167436599731445], [7754, 1.5494873523712158], [7613, 1.565139651298523], [8864, 1.5825761556625366], [9204, 1.5872697830200195], [8175, 1.6043351888656616], [7753, 1.6065963506698608], [8905, 1.6125959157943726], [8120, 1.613821268081665], [8824, 1.6153019666671753], [8927, 1.6176962852478027], [8789, 1.6185755729675293]]",7158
video9233,a man is giving a speech,"[[8830, 1.4154415130615234]]","[[8830, 1.4154415130615234], [8072, 1.4534854888916016], [9203, 1.455504298210144], [9233, 1.4814122915267944], [7410, 1.4837162494659424]]","[[8830, 1.4154415130615234], [8072, 1.4534854888916016], [9203, 1.455504298210144], [9233, 1.4814122915267944], [7410, 1.4837162494659424], [7828, 1.4860669374465942], [9522, 1.48783278465271], [8445, 1.4965542554855347], [8416, 1.5032880306243896], [8917, 1.5057017803192139]]","[[8830, 1.4154415130615234], [8072, 1.4534854888916016], [9203, 1.455504298210144], [9233, 1.4814122915267944], [7410, 1.4837162494659424], [7828, 1.4860669374465942], [9522, 1.48783278465271], [8445, 1.4965542554855347], [8416, 1.5032880306243896], [8917, 1.5057017803192139], [9117, 1.5076439380645752], [7418, 1.5092036724090576], [9352, 1.5122075080871582], [7375, 1.5154361724853516], [9821, 1.5213412046432495]]",9233
video8687,fast moving time is shown here,"[[8013, 1.4823124408721924]]","[[8013, 1.4823124408721924], [8089, 1.4829456806182861], [7219, 1.484663486480713], [7544, 1.4902303218841553], [9535, 1.4952857494354248]]","[[8013, 1.4823124408721924], [8089, 1.4829456806182861], [7219, 1.484663486480713], [7544, 1.4902303218841553], [9535, 1.4952857494354248], [7506, 1.4959810972213745], [9328, 1.5011236667633057], [7214, 1.502816915512085], [9800, 1.5030288696289062], [8451, 1.5039609670639038]]","[[8013, 1.4823124408721924], [8089, 1.4829456806182861], [7219, 1.484663486480713], [7544, 1.4902303218841553], [9535, 1.4952857494354248], [7506, 1.4959810972213745], [9328, 1.5011236667633057], [7214, 1.502816915512085], [9800, 1.5030288696289062], [8451, 1.5039609670639038], [9691, 1.50469970703125], [9489, 1.5107269287109375], [8687, 1.5127778053283691], [8655, 1.5172480344772339], [7752, 1.5187923908233643]]",8687
video9337,some people are inside of a room,"[[9322, 1.4742207527160645]]","[[9322, 1.4742207527160645], [7843, 1.4755256175994873], [9237, 1.4838111400604248], [7149, 1.485732078552246], [7114, 1.486661434173584]]","[[9322, 1.4742207527160645], [7843, 1.4755256175994873], [9237, 1.4838111400604248], [7149, 1.485732078552246], [7114, 1.486661434173584], [7825, 1.4922856092453003], [9908, 1.4949111938476562], [8339, 1.5062201023101807], [8129, 1.5065499544143677], [8807, 1.509324550628662]]","[[9322, 1.4742207527160645], [7843, 1.4755256175994873], [9237, 1.4838111400604248], [7149, 1.485732078552246], [7114, 1.486661434173584], [7825, 1.4922856092453003], [9908, 1.4949111938476562], [8339, 1.5062201023101807], [8129, 1.5065499544143677], [8807, 1.509324550628662], [7593, 1.5111685991287231], [8899, 1.5113093852996826], [8442, 1.5157113075256348], [8472, 1.516043782234192], [8664, 1.5175151824951172]]",9337
video9620,outer space pictures that have parts of equipments in them with water droplets on it,"[[9620, 1.4686026573181152]]","[[9620, 1.4686026573181152], [7562, 1.479142665863037], [8069, 1.4987272024154663], [9578, 1.5151705741882324], [8071, 1.5182254314422607]]","[[9620, 1.4686026573181152], [7562, 1.479142665863037], [8069, 1.4987272024154663], [9578, 1.5151705741882324], [8071, 1.5182254314422607], [7027, 1.5266430377960205], [8727, 1.5289963483810425], [9680, 1.535262107849121], [9609, 1.5453187227249146], [7732, 1.5530822277069092]]","[[9620, 1.4686026573181152], [7562, 1.479142665863037], [8069, 1.4987272024154663], [9578, 1.5151705741882324], [8071, 1.5182254314422607], [7027, 1.5266430377960205], [8727, 1.5289963483810425], [9680, 1.535262107849121], [9609, 1.5453187227249146], [7732, 1.5530822277069092], [8490, 1.554138422012329], [7431, 1.5576679706573486], [9679, 1.5633125305175781], [8328, 1.5638065338134766], [8493, 1.5660834312438965]]",9620
video7411,jolly good music troop delivering a program and the lady is in good spirit,"[[9793, 1.4619781970977783]]","[[9793, 1.4619781970977783], [7411, 1.467118740081787], [8314, 1.493613600730896], [8022, 1.494459867477417], [9037, 1.50307035446167]]","[[9793, 1.4619781970977783], [7411, 1.467118740081787], [8314, 1.493613600730896], [8022, 1.494459867477417], [9037, 1.50307035446167], [7772, 1.5043435096740723], [8781, 1.505984902381897], [8304, 1.506110429763794], [7145, 1.5078699588775635], [8605, 1.5080139636993408]]","[[9793, 1.4619781970977783], [7411, 1.467118740081787], [8314, 1.493613600730896], [8022, 1.494459867477417], [9037, 1.50307035446167], [7772, 1.5043435096740723], [8781, 1.505984902381897], [8304, 1.506110429763794], [7145, 1.5078699588775635], [8605, 1.5080139636993408], [8014, 1.5133857727050781], [8110, 1.5143928527832031], [7528, 1.5167903900146484], [8783, 1.5185545682907104], [9513, 1.5193489789962769]]",7411
video8514,a person is putting the vegetable in to the water and boil it,"[[8514, 1.407292366027832]]","[[8514, 1.407292366027832], [8656, 1.441918134689331], [9625, 1.4593684673309326], [7911, 1.4595928192138672], [9639, 1.465969204902649]]","[[8514, 1.407292366027832], [8656, 1.441918134689331], [9625, 1.4593684673309326], [7911, 1.4595928192138672], [9639, 1.465969204902649], [7565, 1.4728761911392212], [9689, 1.4734814167022705], [7148, 1.478238821029663], [8654, 1.489234209060669], [7376, 1.493669867515564]]","[[8514, 1.407292366027832], [8656, 1.441918134689331], [9625, 1.4593684673309326], [7911, 1.4595928192138672], [9639, 1.465969204902649], [7565, 1.4728761911392212], [9689, 1.4734814167022705], [7148, 1.478238821029663], [8654, 1.489234209060669], [7376, 1.493669867515564], [9693, 1.4938888549804688], [8300, 1.503291130065918], [7826, 1.50884211063385], [7845, 1.5105787515640259], [9735, 1.5136466026306152]]",8514
video8481,a woman is reporting on keds commercials,"[[8481, 1.3413772583007812]]","[[8481, 1.3413772583007812], [8806, 1.461102843284607], [9503, 1.464255690574646], [8022, 1.4864710569381714], [8494, 1.5057823657989502]]","[[8481, 1.3413772583007812], [8806, 1.461102843284607], [9503, 1.464255690574646], [8022, 1.4864710569381714], [8494, 1.5057823657989502], [7119, 1.514310598373413], [9039, 1.5316879749298096], [8333, 1.5318011045455933], [9223, 1.5344197750091553], [8826, 1.5377249717712402]]","[[8481, 1.3413772583007812], [8806, 1.461102843284607], [9503, 1.464255690574646], [8022, 1.4864710569381714], [8494, 1.5057823657989502], [7119, 1.514310598373413], [9039, 1.5316879749298096], [8333, 1.5318011045455933], [9223, 1.5344197750091553], [8826, 1.5377249717712402], [9037, 1.5390329360961914], [8783, 1.5401873588562012], [8491, 1.54093599319458], [9209, 1.5491180419921875], [7231, 1.549153208732605]]",8481
video9224,someone is playing a game,"[[9031, 1.4750773906707764]]","[[9031, 1.4750773906707764], [9200, 1.4771168231964111], [8578, 1.4791040420532227], [8313, 1.4797497987747192], [7374, 1.479852557182312]]","[[9031, 1.4750773906707764], [9200, 1.4771168231964111], [8578, 1.4791040420532227], [8313, 1.4797497987747192], [7374, 1.479852557182312], [7919, 1.4814656972885132], [7792, 1.4822735786437988], [8459, 1.4833545684814453], [8010, 1.4838051795959473], [7552, 1.484123945236206]]","[[9031, 1.4750773906707764], [9200, 1.4771168231964111], [8578, 1.4791040420532227], [8313, 1.4797497987747192], [7374, 1.479852557182312], [7919, 1.4814656972885132], [7792, 1.4822735786437988], [8459, 1.4833545684814453], [8010, 1.4838051795959473], [7552, 1.484123945236206], [8931, 1.4844293594360352], [8797, 1.4864723682403564], [7143, 1.4869945049285889], [9332, 1.4874225854873657], [8689, 1.4878073930740356]]",9224
video8426,cabins on a sandy beach have walkways going up to their porches,"[[8426, 1.2607148885726929]]","[[8426, 1.2607148885726929], [8248, 1.5201301574707031], [8741, 1.5233469009399414], [8312, 1.5248669385910034], [8307, 1.5307857990264893]]","[[8426, 1.2607148885726929], [8248, 1.5201301574707031], [8741, 1.5233469009399414], [8312, 1.5248669385910034], [8307, 1.5307857990264893], [8243, 1.5432825088500977], [9359, 1.5436264276504517], [9244, 1.5482901334762573], [9253, 1.5491418838500977], [7589, 1.5495318174362183]]","[[8426, 1.2607148885726929], [8248, 1.5201301574707031], [8741, 1.5233469009399414], [8312, 1.5248669385910034], [8307, 1.5307857990264893], [8243, 1.5432825088500977], [9359, 1.5436264276504517], [9244, 1.5482901334762573], [9253, 1.5491418838500977], [7589, 1.5495318174362183], [8862, 1.5502583980560303], [7797, 1.5512590408325195], [7353, 1.5620640516281128], [9332, 1.5638233423233032], [9016, 1.5690240859985352]]",8426
video9699,a man explains how to do a experiment,"[[9699, 1.4076097011566162]]","[[9699, 1.4076097011566162], [8067, 1.4702256917953491], [8804, 1.5033910274505615], [8257, 1.50730562210083], [8774, 1.5101776123046875]]","[[9699, 1.4076097011566162], [8067, 1.4702256917953491], [8804, 1.5033910274505615], [8257, 1.50730562210083], [8774, 1.5101776123046875], [8772, 1.5199366807937622], [9901, 1.5306059122085571], [9549, 1.5316704511642456], [7575, 1.531997799873352], [9249, 1.5353962182998657]]","[[9699, 1.4076097011566162], [8067, 1.4702256917953491], [8804, 1.5033910274505615], [8257, 1.50730562210083], [8774, 1.5101776123046875], [8772, 1.5199366807937622], [9901, 1.5306059122085571], [9549, 1.5316704511642456], [7575, 1.531997799873352], [9249, 1.5353962182998657], [7833, 1.5428729057312012], [8078, 1.5445648431777954], [8072, 1.5477838516235352], [7148, 1.551161289215088], [8656, 1.5572736263275146]]",9699
video9882,a news reader is reading the news and asking question to some people,"[[7613, 1.4418683052062988]]","[[7613, 1.4418683052062988], [9204, 1.4551516771316528], [8864, 1.4641779661178589], [8333, 1.4658647775650024], [8822, 1.4753644466400146]]","[[7613, 1.4418683052062988], [9204, 1.4551516771316528], [8864, 1.4641779661178589], [8333, 1.4658647775650024], [8822, 1.4753644466400146], [7731, 1.4759740829467773], [7947, 1.4775056838989258], [7790, 1.4789669513702393], [9223, 1.4802539348602295], [9882, 1.4821994304656982]]","[[7613, 1.4418683052062988], [9204, 1.4551516771316528], [8864, 1.4641779661178589], [8333, 1.4658647775650024], [8822, 1.4753644466400146], [7731, 1.4759740829467773], [7947, 1.4775056838989258], [7790, 1.4789669513702393], [9223, 1.4802539348602295], [9882, 1.4821994304656982], [7119, 1.4902849197387695], [7145, 1.4922282695770264], [7834, 1.4946503639221191], [8491, 1.4975330829620361], [9037, 1.498641848564148]]",9882
video8300,a woman pours water into her pot of meat then tomato sauce and stirs it all around while talking,"[[8300, 1.3877397775650024]]","[[8300, 1.3877397775650024], [9689, 1.4676225185394287], [8835, 1.4683990478515625], [8654, 1.47564697265625], [7565, 1.5249558687210083]]","[[8300, 1.3877397775650024], [9689, 1.4676225185394287], [8835, 1.4683990478515625], [8654, 1.47564697265625], [7565, 1.5249558687210083], [7744, 1.5266097784042358], [8656, 1.5329886674880981], [9693, 1.5436257123947144], [8910, 1.5480233430862427], [9625, 1.5513246059417725]]","[[8300, 1.3877397775650024], [9689, 1.4676225185394287], [8835, 1.4683990478515625], [8654, 1.47564697265625], [7565, 1.5249558687210083], [7744, 1.5266097784042358], [8656, 1.5329886674880981], [9693, 1.5436257123947144], [8910, 1.5480233430862427], [9625, 1.5513246059417725], [8444, 1.5624115467071533], [9409, 1.5747973918914795], [7415, 1.5786244869232178], [9022, 1.580275535583496], [9639, 1.5846084356307983]]",8300
video8863,an animated girl talks to a baby and plays with it,"[[7179, 1.4618417024612427]]","[[7179, 1.4618417024612427], [7365, 1.4641785621643066], [8863, 1.4913438558578491], [8827, 1.5174264907836914], [7222, 1.5231465101242065]]","[[7179, 1.4618417024612427], [7365, 1.4641785621643066], [8863, 1.4913438558578491], [8827, 1.5174264907836914], [7222, 1.5231465101242065], [7157, 1.5254777669906616], [8341, 1.527155876159668], [8110, 1.5278449058532715], [8268, 1.5388951301574707], [7831, 1.5539071559906006]]","[[7179, 1.4618417024612427], [7365, 1.4641785621643066], [8863, 1.4913438558578491], [8827, 1.5174264907836914], [7222, 1.5231465101242065], [7157, 1.5254777669906616], [8341, 1.527155876159668], [8110, 1.5278449058532715], [8268, 1.5388951301574707], [7831, 1.5539071559906006], [8781, 1.5563608407974243], [9776, 1.5581445693969727], [9777, 1.559718132019043], [8018, 1.566351056098938], [7024, 1.5715771913528442]]",8863
video7147,a man cooks burgers and bacon on a grill,"[[9333, 1.310051679611206]]","[[9333, 1.310051679611206], [7147, 1.3197345733642578], [9694, 1.4151010513305664], [9015, 1.4830385446548462], [9038, 1.5498394966125488]]","[[9333, 1.310051679611206], [7147, 1.3197345733642578], [9694, 1.4151010513305664], [9015, 1.4830385446548462], [9038, 1.5498394966125488], [9335, 1.5505523681640625], [7362, 1.5587210655212402], [7820, 1.5614771842956543], [9327, 1.5702311992645264], [7154, 1.5762770175933838]]","[[9333, 1.310051679611206], [7147, 1.3197345733642578], [9694, 1.4151010513305664], [9015, 1.4830385446548462], [9038, 1.5498394966125488], [9335, 1.5505523681640625], [7362, 1.5587210655212402], [7820, 1.5614771842956543], [9327, 1.5702311992645264], [7154, 1.5762770175933838], [9687, 1.5780069828033447], [8325, 1.582456111907959], [8865, 1.5846138000488281], [8834, 1.5926308631896973], [9833, 1.5976505279541016]]",7147
