rel_video_id,query,top1,top5,top10,ground_truth
video9224,someone is playing a game,"[[9031, 1.4750773906707764]]","[[9031, 1.4750773906707764], [9200, 1.4771168231964111], [8578, 1.4791040420532227], [8313, 1.4797497987747192], [7374, 1.479852557182312]]","[[9031, 1.4750773906707764], [9200, 1.4771168231964111], [8578, 1.4791040420532227], [8313, 1.4797497987747192], [7374, 1.479852557182312], [7919, 1.4814656972885132], [7792, 1.4822735786437988], [8459, 1.4833545684814453], [8010, 1.4838051795959473], [7552, 1.484123945236206]]",9224
video8426,cabins on a sandy beach have walkways going up to their porches,"[[8426, 1.2607148885726929]]","[[8426, 1.2607148885726929], [8248, 1.5201301574707031], [8741, 1.5233469009399414], [8312, 1.5248669385910034], [8307, 1.5307857990264893]]","[[8426, 1.2607148885726929], [8248, 1.5201301574707031], [8741, 1.5233469009399414], [8312, 1.5248669385910034], [8307, 1.5307857990264893], [8243, 1.5432825088500977], [9359, 1.5436264276504517], [9244, 1.5482901334762573], [9253, 1.5491418838500977], [7589, 1.5495318174362183]]",8426
video9699,a man explains how to do a experiment,"[[9699, 1.4076097011566162]]","[[9699, 1.4076097011566162], [8067, 1.4702256917953491], [8804, 1.5033910274505615], [8257, 1.50730562210083], [8774, 1.5101776123046875]]","[[9699, 1.4076097011566162], [8067, 1.4702256917953491], [8804, 1.5033910274505615], [8257, 1.50730562210083], [8774, 1.5101776123046875], [8772, 1.5199366807937622], [9901, 1.5306059122085571], [9549, 1.5316704511642456], [7575, 1.531997799873352], [9249, 1.5353962182998657]]",9699
video9882,a news reader is reading the news and asking question to some people,"[[7613, 1.4418683052062988]]","[[7613, 1.4418683052062988], [9204, 1.4551516771316528], [8864, 1.4641779661178589], [8333, 1.4658647775650024], [8822, 1.4753644466400146]]","[[7613, 1.4418683052062988], [9204, 1.4551516771316528], [8864, 1.4641779661178589], [8333, 1.4658647775650024], [8822, 1.4753644466400146], [7731, 1.4759740829467773], [7947, 1.4775056838989258], [7790, 1.4789669513702393], [9223, 1.4802539348602295], [9882, 1.4821994304656982]]",9882
video8300,a woman pours water into her pot of meat then tomato sauce and stirs it all around while talking,"[[8300, 1.3877397775650024]]","[[8300, 1.3877397775650024], [9689, 1.4676225185394287], [8835, 1.4683990478515625], [8654, 1.47564697265625], [7565, 1.5249558687210083]]","[[8300, 1.3877397775650024], [9689, 1.4676225185394287], [8835, 1.4683990478515625], [8654, 1.47564697265625], [7565, 1.5249558687210083], [7744, 1.5266097784042358], [8656, 1.5329886674880981], [9693, 1.5436257123947144], [8910, 1.5480233430862427], [9625, 1.5513246059417725]]",8300
video8863,an animated girl talks to a baby and plays with it,"[[7179, 1.4618417024612427]]","[[7179, 1.4618417024612427], [7365, 1.4641785621643066], [8863, 1.4913438558578491], [8827, 1.5174264907836914], [7222, 1.5231465101242065]]","[[7179, 1.4618417024612427], [7365, 1.4641785621643066], [8863, 1.4913438558578491], [8827, 1.5174264907836914], [7222, 1.5231465101242065], [7157, 1.5254777669906616], [8341, 1.527155876159668], [8110, 1.5278449058532715], [8268, 1.5388951301574707], [7831, 1.5539071559906006]]",8863
video7147,a man cooks burgers and bacon on a grill,"[[9333, 1.310051679611206]]","[[9333, 1.310051679611206], [7147, 1.3197345733642578], [9694, 1.4151010513305664], [9015, 1.4830385446548462], [9038, 1.5498394966125488]]","[[9333, 1.310051679611206], [7147, 1.3197345733642578], [9694, 1.4151010513305664], [9015, 1.4830385446548462], [9038, 1.5498394966125488], [9335, 1.5505523681640625], [7362, 1.5587210655212402], [7820, 1.5614771842956543], [9327, 1.5702311992645264], [7154, 1.5762770175933838]]",7147
video7744,a chef stirs up some ingredients inside of a pan,"[[7148, 1.4594180583953857]]","[[7148, 1.4594180583953857], [9335, 1.4599003791809082], [9689, 1.4643840789794922], [9639, 1.4658143520355225], [8654, 1.4742600917816162]]","[[7148, 1.4594180583953857], [9335, 1.4599003791809082], [9689, 1.4643840789794922], [9639, 1.4658143520355225], [8654, 1.4742600917816162], [8300, 1.4765130281448364], [9625, 1.4782922267913818], [8656, 1.480491042137146], [9356, 1.4893698692321777], [7744, 1.4909508228302002]]",7744
video7839,this is a vine sports compilation,"[[9605, 1.3954460620880127]]","[[9605, 1.3954460620880127], [9542, 1.4042247533798218], [8913, 1.4044328927993774], [9029, 1.4125065803527832], [8979, 1.4137710332870483]]","[[9605, 1.3954460620880127], [9542, 1.4042247533798218], [8913, 1.4044328927993774], [9029, 1.4125065803527832], [8979, 1.4137710332870483], [7358, 1.4143657684326172], [8253, 1.4148998260498047], [9018, 1.415818452835083], [9817, 1.4172850847244263], [7789, 1.4194145202636719]]",7839
video7214,race cars of different colors lined up on a dark track,"[[7214, 1.4529976844787598]]","[[7214, 1.4529976844787598], [7219, 1.4947057962417603], [7616, 1.5330721139907837], [7506, 1.5349444150924683], [8264, 1.5351449251174927]]","[[7214, 1.4529976844787598], [7219, 1.4947057962417603], [7616, 1.5330721139907837], [7506, 1.5349444150924683], [8264, 1.5351449251174927], [9535, 1.5451951026916504], [9328, 1.552782416343689], [8451, 1.5585030317306519], [9252, 1.5585616827011108], [9691, 1.5608882904052734]]",7214
video7771,a golf player is trying to hit the ball into the pit,"[[7771, 1.3824443817138672]]","[[7771, 1.3824443817138672], [7021, 1.5062991380691528], [7368, 1.5169516801834106], [7556, 1.5248804092407227], [8049, 1.5259966850280762]]","[[7771, 1.3824443817138672], [7021, 1.5062991380691528], [7368, 1.5169516801834106], [7556, 1.5248804092407227], [8049, 1.5259966850280762], [8913, 1.5556397438049316], [9018, 1.5610020160675049], [7358, 1.5662288665771484], [9029, 1.5662729740142822], [7150, 1.5705070495605469]]",7771
video8486,a cartoon on a young guy cursing,"[[7160, 1.3861666917800903]]","[[7160, 1.3861666917800903], [7741, 1.431535243988037], [7222, 1.4360408782958984], [8486, 1.4493900537490845], [7029, 1.45454740524292]]","[[7160, 1.3861666917800903], [7741, 1.431535243988037], [7222, 1.4360408782958984], [8486, 1.4493900537490845], [7029, 1.45454740524292], [9790, 1.4634714126586914], [7172, 1.4667150974273682], [7831, 1.4741456508636475], [8076, 1.4834052324295044], [8911, 1.4859466552734375]]",8486
video9909,a crowd of people sitting next to each other as one man plays a video game,"[[9909, 1.3800612688064575]]","[[9909, 1.3800612688064575], [7444, 1.4771897792816162], [8860, 1.4888434410095215], [8472, 1.4921529293060303], [8622, 1.4955353736877441]]","[[9909, 1.3800612688064575], [7444, 1.4771897792816162], [8860, 1.4888434410095215], [8472, 1.4921529293060303], [8622, 1.4955353736877441], [8689, 1.5028917789459229], [7035, 1.5082834959030151], [7972, 1.5121546983718872], [9745, 1.5128926038742065], [7723, 1.5144081115722656]]",9909
video8922,an old man shakes hands with another man and then they hug each other,"[[8922, 1.3971441984176636]]","[[8922, 1.3971441984176636], [7704, 1.4672598838806152], [8829, 1.4747174978256226], [7590, 1.5171927213668823], [7349, 1.5205988883972168]]","[[8922, 1.3971441984176636], [7704, 1.4672598838806152], [8829, 1.4747174978256226], [7590, 1.5171927213668823], [7349, 1.5205988883972168], [9545, 1.522073745727539], [9520, 1.5307629108428955], [9023, 1.5322681665420532], [7159, 1.5343414545059204], [9690, 1.543278694152832]]",8922
video9814,a scene from spongebob squarepants where the townspeople are carrying torches and chasing a giant squidward,"[[9790, 1.5263124704360962]]","[[9790, 1.5263124704360962], [7111, 1.5315674543380737], [9814, 1.5316778421401978], [7029, 1.537171721458435], [9300, 1.5396580696105957]]","[[9790, 1.5263124704360962], [7111, 1.5315674543380737], [9814, 1.5316778421401978], [7029, 1.537171721458435], [9300, 1.5396580696105957], [8916, 1.5439056158065796], [7747, 1.5549190044403076], [7218, 1.5619148015975952], [8839, 1.5642073154449463], [9306, 1.5662813186645508]]",9814
video9368,someone demonstrates about the small motor uses to the video,"[[9368, 1.4225341081619263]]","[[9368, 1.4225341081619263], [8121, 1.4475288391113281], [9530, 1.4526095390319824], [8332, 1.4829761981964111], [7765, 1.4940850734710693]]","[[9368, 1.4225341081619263], [8121, 1.4475288391113281], [9530, 1.4526095390319824], [8332, 1.4829761981964111], [7765, 1.4940850734710693], [8626, 1.495496392250061], [7363, 1.4984151124954224], [7820, 1.5078929662704468], [7237, 1.5146859884262085], [8246, 1.5147054195404053]]",9368
video8820,a person comes up in the hill on a orange motor bike and falls down,"[[8820, 1.4442609548568726]]","[[8820, 1.4442609548568726], [8657, 1.5116935968399048], [9017, 1.5174027681350708], [8245, 1.5254249572753906], [8322, 1.5294498205184937]]","[[8820, 1.4442609548568726], [8657, 1.5116935968399048], [9017, 1.5174027681350708], [8245, 1.5254249572753906], [8322, 1.5294498205184937], [9208, 1.5299320220947266], [7796, 1.5317177772521973], [9521, 1.5362138748168945], [7649, 1.5408059358596802], [9813, 1.5466744899749756]]",8820
video9452,an animated grey shark in the middle of a blue water simulation background rotating in a circle on the screen of a monitor,"[[9452, 1.3651185035705566]]","[[9452, 1.3651185035705566], [8909, 1.4817821979522705], [8328, 1.4976792335510254], [9359, 1.542299509048462], [7027, 1.5462653636932373]]","[[9452, 1.3651185035705566], [8909, 1.4817821979522705], [8328, 1.4976792335510254], [9359, 1.542299509048462], [7027, 1.5462653636932373], [9821, 1.5500330924987793], [7223, 1.5521481037139893], [7900, 1.5524446964263916], [7061, 1.5596129894256592], [8111, 1.561185359954834]]",9452
video9344,gameplay footage of someone playing a game,"[[8459, 1.4782747030258179]]","[[8459, 1.4782747030258179], [9200, 1.4825191497802734], [7374, 1.4835505485534668], [9031, 1.4844727516174316], [8116, 1.484497308731079]]","[[8459, 1.4782747030258179], [9200, 1.4825191497802734], [7374, 1.4835505485534668], [9031, 1.4844727516174316], [8116, 1.484497308731079], [8070, 1.4865409135818481], [8010, 1.4868404865264893], [8313, 1.4879547357559204], [7723, 1.4884374141693115], [7919, 1.4889767169952393]]",9344
video9032,a hospital mortuary room and a doctor treat the special case,"[[9032, 1.426870346069336]]","[[9032, 1.426870346069336], [8664, 1.4428882598876953], [9322, 1.4891026020050049], [7829, 1.492537021636963], [7169, 1.511112093925476]]","[[9032, 1.426870346069336], [8664, 1.4428882598876953], [9322, 1.4891026020050049], [7829, 1.492537021636963], [7169, 1.511112093925476], [8240, 1.534045696258545], [9520, 1.5368852615356445], [8666, 1.5385372638702393], [8808, 1.5574285984039307], [9686, 1.5624408721923828]]",9032
video9016,all persons are wearing bikini dresses and playing in sea,"[[9201, 1.4677196741104126]]","[[9201, 1.4677196741104126], [7681, 1.474799394607544], [9342, 1.4749702215194702], [8949, 1.4803657531738281], [8928, 1.4974106550216675]]","[[9201, 1.4677196741104126], [7681, 1.474799394607544], [9342, 1.4749702215194702], [8949, 1.4803657531738281], [8928, 1.4974106550216675], [8118, 1.4990403652191162], [7795, 1.5069212913513184], [8999, 1.5075056552886963], [7025, 1.5202339887619019], [9574, 1.5209019184112549]]",9016
video9353,two women are outside and are discussing something in a foreign language,"[[9353, 1.3706330060958862]]","[[9353, 1.3706330060958862], [7583, 1.4415204524993896], [9340, 1.44978666305542], [7364, 1.476280927658081], [7589, 1.4856882095336914]]","[[9353, 1.3706330060958862], [7583, 1.4415204524993896], [9340, 1.44978666305542], [7364, 1.476280927658081], [7589, 1.4856882095336914], [8022, 1.4930706024169922], [7974, 1.5079180002212524], [9039, 1.5085830688476562], [8330, 1.5114421844482422], [7116, 1.5204488039016724]]",9353
video9405,red balloons float in the sky and have packages tied to them,"[[9405, 1.3326112031936646]]","[[9405, 1.3326112031936646], [8069, 1.531198501586914], [9680, 1.5316418409347534], [8306, 1.531980037689209], [9679, 1.534993290901184]]","[[9405, 1.3326112031936646], [8069, 1.531198501586914], [9680, 1.5316418409347534], [8306, 1.531980037689209], [9679, 1.534993290901184], [7061, 1.5389103889465332], [7698, 1.5491349697113037], [7223, 1.5567899942398071], [8260, 1.55746591091156], [8464, 1.5582013130187988]]",9405
video7559,a man is trying some sushi,"[[9309, 1.4551743268966675]]","[[9309, 1.4551743268966675], [7559, 1.4615134000778198], [9327, 1.4842848777770996], [9229, 1.5067389011383057], [9687, 1.5185647010803223]]","[[9309, 1.4551743268966675], [7559, 1.4615134000778198], [9327, 1.4842848777770996], [9229, 1.5067389011383057], [9687, 1.5185647010803223], [9537, 1.5229182243347168], [8301, 1.531823754310608], [9539, 1.5435047149658203], [8772, 1.5447218418121338], [8325, 1.557989239692688]]",7559
video9063,people on stage performing,"[[9683, 1.4469232559204102]]","[[9683, 1.4469232559204102], [8482, 1.4708125591278076], [7558, 1.475784182548523], [9352, 1.4783990383148193], [9243, 1.483543872833252]]","[[9683, 1.4469232559204102], [8482, 1.4708125591278076], [7558, 1.475784182548523], [9352, 1.4783990383148193], [9243, 1.483543872833252], [7596, 1.4842643737792969], [8914, 1.4884471893310547], [7351, 1.4908850193023682], [9063, 1.491991639137268], [8445, 1.4963740110397339]]",9063
video7352,a movie scene starring morgan freeman and men in armor running,"[[7352, 1.4284899234771729]]","[[7352, 1.4284899234771729], [8948, 1.4622437953948975], [7373, 1.510711669921875], [8122, 1.514944076538086], [9230, 1.5220203399658203]]","[[7352, 1.4284899234771729], [8948, 1.4622437953948975], [7373, 1.510711669921875], [8122, 1.514944076538086], [9230, 1.5220203399658203], [7444, 1.527296543121338], [8266, 1.5308794975280762], [8808, 1.533003330230713], [8851, 1.5373198986053467], [8249, 1.5413763523101807]]",7352
video8447,a woman singing on the voice,"[[8818, 1.4436079263687134]]","[[8818, 1.4436079263687134], [7756, 1.4490423202514648], [8810, 1.461197853088379], [8447, 1.4694470167160034], [8265, 1.474387288093567]]","[[8818, 1.4436079263687134], [7756, 1.4490423202514648], [8810, 1.461197853088379], [8447, 1.4694470167160034], [8265, 1.474387288093567], [7569, 1.4855432510375977], [9879, 1.4903745651245117], [9518, 1.495021104812622], [9351, 1.4961371421813965], [9222, 1.5035289525985718]]",8447
video8322,a lady tries to ride on bicycle but fails,"[[8322, 1.378941535949707]]","[[8322, 1.378941535949707], [8073, 1.506199836730957], [7837, 1.5112249851226807], [8657, 1.520688533782959], [8330, 1.5252513885498047]]","[[8322, 1.378941535949707], [8073, 1.506199836730957], [7837, 1.5112249851226807], [8657, 1.520688533782959], [8330, 1.5252513885498047], [9489, 1.5259325504302979], [9521, 1.5299739837646484], [8258, 1.532494068145752], [8128, 1.5421926975250244], [8243, 1.5428564548492432]]",8322
video7939,a man and woman stand together and cook in the kitchen,"[[7939, 1.4260127544403076]]","[[7939, 1.4260127544403076], [7415, 1.4688736200332642], [9682, 1.4923555850982666], [8662, 1.4926238059997559], [7572, 1.4939180612564087]]","[[7939, 1.4260127544403076], [7415, 1.4688736200332642], [9682, 1.4923555850982666], [8662, 1.4926238059997559], [7572, 1.4939180612564087], [8444, 1.5044002532958984], [8834, 1.5094678401947021], [8129, 1.5149116516113281], [8048, 1.5218087434768677], [7799, 1.5263854265213013]]",7939
video7567,a man checks out detail on a car,"[[7820, 1.4598790407180786]]","[[7820, 1.4598790407180786], [9508, 1.4653842449188232], [8246, 1.4662491083145142], [7110, 1.4856185913085938], [7765, 1.490895390510559]]","[[7820, 1.4598790407180786], [9508, 1.4653842449188232], [8246, 1.4662491083145142], [7110, 1.4856185913085938], [7765, 1.490895390510559], [7356, 1.4909539222717285], [7343, 1.4940537214279175], [8651, 1.4983035326004028], [9358, 1.506077527999878], [8901, 1.514329195022583]]",7567
video9418,a man in black suit is talking about deforestation and about climate change,"[[7890, 1.476186752319336]]","[[7890, 1.476186752319336], [9692, 1.4901702404022217], [9406, 1.5000274181365967], [7790, 1.5030817985534668], [7834, 1.5138676166534424]]","[[7890, 1.476186752319336], [9692, 1.4901702404022217], [9406, 1.5000274181365967], [7790, 1.5030817985534668], [7834, 1.5138676166534424], [9418, 1.5176336765289307], [9821, 1.5248428583145142], [7412, 1.5252866744995117], [7753, 1.5255745649337769], [8269, 1.5352818965911865]]",9418
