rel_video_id,query,top1,top5,top10,ground_truth
video8486,a cartoon on a young guy cursing,"[[7160, 1.3992506265640259]]","[[7160, 1.3992506265640259], [7741, 1.4167357683181763], [7222, 1.4292083978652954], [8486, 1.441792368888855], [7831, 1.4592087268829346]]","[[7160, 1.3992506265640259], [7741, 1.4167357683181763], [7222, 1.4292083978652954], [8486, 1.441792368888855], [7831, 1.4592087268829346], [8911, 1.480851650238037], [7172, 1.483507752418518], [9790, 1.4925817251205444], [7365, 1.4953629970550537], [9300, 1.4968839883804321]]",8486
video9909,a crowd of people sitting next to each other as one man plays a video game,"[[9909, 1.3842195272445679]]","[[9909, 1.3842195272445679], [8860, 1.4880833625793457], [8472, 1.4946837425231934], [7723, 1.499091625213623], [7444, 1.5008293390274048]]","[[9909, 1.3842195272445679], [8860, 1.4880833625793457], [8472, 1.4946837425231934], [7723, 1.499091625213623], [7444, 1.5008293390274048], [7972, 1.5072107315063477], [7685, 1.510728120803833], [7366, 1.5124398469924927], [7035, 1.515928030014038], [9745, 1.516287088394165]]",9909
video8922,an old man shakes hands with another man and then they hug each other,"[[8922, 1.4026851654052734]]","[[8922, 1.4026851654052734], [7704, 1.4570587873458862], [8829, 1.482598066329956], [7590, 1.4883859157562256], [7349, 1.5055553913116455]]","[[8922, 1.4026851654052734], [7704, 1.4570587873458862], [8829, 1.482598066329956], [7590, 1.4883859157562256], [7349, 1.5055553913116455], [9023, 1.5217667818069458], [9545, 1.5286951065063477], [9245, 1.528784990310669], [7211, 1.5295586585998535], [8315, 1.535294532775879]]",8922
video9814,a scene from spongebob squarepants where the townspeople are carrying torches and chasing a giant squidward,"[[7111, 1.4979581832885742]]","[[7111, 1.4979581832885742], [8916, 1.523022174835205], [8839, 1.5232830047607422], [9790, 1.5256699323654175], [9300, 1.5289332866668701]]","[[7111, 1.4979581832885742], [8916, 1.523022174835205], [8839, 1.5232830047607422], [9790, 1.5256699323654175], [9300, 1.5289332866668701], [7029, 1.5383479595184326], [9814, 1.5484000444412231], [7747, 1.5497136116027832], [9306, 1.552245855331421], [7235, 1.5768097639083862]]",9814
video9368,someone demonstrates about the small motor uses to the video,"[[9368, 1.4112865924835205]]","[[9368, 1.4112865924835205], [8121, 1.4350886344909668], [9530, 1.4490907192230225], [7363, 1.4904978275299072], [8332, 1.4944558143615723]]","[[9368, 1.4112865924835205], [8121, 1.4350886344909668], [9530, 1.4490907192230225], [7363, 1.4904978275299072], [8332, 1.4944558143615723], [7820, 1.5004522800445557], [7543, 1.5038025379180908], [8246, 1.5100009441375732], [8626, 1.5102794170379639], [8924, 1.5134389400482178]]",9368
video8820,a person comes up in the hill on a orange motor bike and falls down,"[[8820, 1.4188727140426636]]","[[8820, 1.4188727140426636], [9302, 1.5104999542236328], [8657, 1.5164624452590942], [9017, 1.5215725898742676], [7837, 1.5215990543365479]]","[[8820, 1.4188727140426636], [9302, 1.5104999542236328], [8657, 1.5164624452590942], [9017, 1.5215725898742676], [7837, 1.5215990543365479], [7796, 1.5232282876968384], [8322, 1.5265538692474365], [8128, 1.5327553749084473], [7649, 1.5344047546386719], [9208, 1.5371652841567993]]",8820
video9452,an animated grey shark in the middle of a blue water simulation background rotating in a circle on the screen of a monitor,"[[9452, 1.389235019683838]]","[[9452, 1.389235019683838], [8909, 1.4817200899124146], [8328, 1.5168750286102295], [7900, 1.5524466037750244], [7027, 1.5552419424057007]]","[[9452, 1.389235019683838], [8909, 1.4817200899124146], [8328, 1.5168750286102295], [7900, 1.5524466037750244], [7027, 1.5552419424057007], [8311, 1.5557219982147217], [9620, 1.5580873489379883], [9342, 1.562207818031311], [7223, 1.563940405845642], [9359, 1.5714573860168457]]",9452
video9344,gameplay footage of someone playing a game,"[[8459, 1.4800710678100586]]","[[8459, 1.4800710678100586], [7374, 1.4823789596557617], [9200, 1.4835541248321533], [9795, 1.4844753742218018], [8070, 1.48478102684021]]","[[8459, 1.4800710678100586], [7374, 1.4823789596557617], [9200, 1.4835541248321533], [9795, 1.4844753742218018], [8070, 1.48478102684021], [7723, 1.4870108366012573], [8313, 1.4876739978790283], [8116, 1.4894497394561768], [9031, 1.489562749862671], [8788, 1.4915587902069092]]",9344
video9032,a hospital mortuary room and a doctor treat the special case,"[[9032, 1.431645154953003]]","[[9032, 1.431645154953003], [8664, 1.4474763870239258], [7169, 1.4678046703338623], [7829, 1.4771263599395752], [8666, 1.5105758905410767]]","[[9032, 1.431645154953003], [8664, 1.4474763870239258], [7169, 1.4678046703338623], [7829, 1.4771263599395752], [8666, 1.5105758905410767], [9322, 1.5268266201019287], [8240, 1.5419414043426514], [8808, 1.5529195070266724], [7963, 1.5633233785629272], [7704, 1.5676738023757935]]",9032
video9016,all persons are wearing bikini dresses and playing in sea,"[[7681, 1.4708137512207031]]","[[7681, 1.4708137512207031], [8118, 1.4753308296203613], [9342, 1.4754390716552734], [8241, 1.4924757480621338], [9574, 1.5027291774749756]]","[[7681, 1.4708137512207031], [8118, 1.4753308296203613], [9342, 1.4754390716552734], [8241, 1.4924757480621338], [9574, 1.5027291774749756], [9016, 1.5096417665481567], [8999, 1.5130356550216675], [9201, 1.5154613256454468], [8928, 1.515880823135376], [8895, 1.5183459520339966]]",9016
video9353,two women are outside and are discussing something in a foreign language,"[[9353, 1.3731770515441895]]","[[9353, 1.3731770515441895], [9340, 1.4456496238708496], [7583, 1.4494411945343018], [7589, 1.474324107170105], [7364, 1.4865760803222656]]","[[9353, 1.3731770515441895], [9340, 1.4456496238708496], [7583, 1.4494411945343018], [7589, 1.474324107170105], [7364, 1.4865760803222656], [9039, 1.490070104598999], [8022, 1.4992578029632568], [9027, 1.5187796354293823], [7116, 1.5202958583831787], [9513, 1.526455044746399]]",9353
video9405,red balloons float in the sky and have packages tied to them,"[[9405, 1.443208932876587]]","[[9405, 1.443208932876587], [8306, 1.5062878131866455], [8069, 1.544672966003418], [7698, 1.5473586320877075], [8464, 1.5475633144378662]]","[[9405, 1.443208932876587], [8306, 1.5062878131866455], [8069, 1.544672966003418], [7698, 1.5473586320877075], [8464, 1.5475633144378662], [9680, 1.5484025478363037], [8477, 1.5520453453063965], [7217, 1.5561668872833252], [9246, 1.5600411891937256], [7732, 1.563004493713379]]",9405
video7559,a man is trying some sushi,"[[7559, 1.457139253616333]]","[[7559, 1.457139253616333], [9309, 1.469933271408081], [9327, 1.4750639200210571], [9537, 1.507521390914917], [9229, 1.5132346153259277]]","[[7559, 1.457139253616333], [9309, 1.469933271408081], [9327, 1.4750639200210571], [9537, 1.507521390914917], [9229, 1.5132346153259277], [8301, 1.5177363157272339], [9539, 1.531525731086731], [8772, 1.5382165908813477], [9684, 1.5471398830413818], [7418, 1.5519884824752808]]",7559
video9063,people on stage performing,"[[9683, 1.448568344116211]]","[[9683, 1.448568344116211], [8482, 1.471728801727295], [9352, 1.4861881732940674], [7596, 1.4881975650787354], [9063, 1.4917298555374146]]","[[9683, 1.448568344116211], [8482, 1.471728801727295], [9352, 1.4861881732940674], [7596, 1.4881975650787354], [9063, 1.4917298555374146], [7558, 1.4922034740447998], [8324, 1.4981273412704468], [8926, 1.500028133392334], [7351, 1.5016121864318848], [8914, 1.5024962425231934]]",9063
video7352,a movie scene starring morgan freeman and men in armor running,"[[7352, 1.4709985256195068]]","[[7352, 1.4709985256195068], [8948, 1.4829981327056885], [9230, 1.508906364440918], [7373, 1.5186139345169067], [7444, 1.5272307395935059]]","[[7352, 1.4709985256195068], [8948, 1.4829981327056885], [9230, 1.508906364440918], [7373, 1.5186139345169067], [7444, 1.5272307395935059], [8249, 1.530022144317627], [9804, 1.533604621887207], [9784, 1.5337953567504883], [8808, 1.5398485660552979], [8315, 1.5425575971603394]]",7352
video8447,a woman singing on the voice,"[[8818, 1.435149908065796]]","[[8818, 1.435149908065796], [7756, 1.4594558477401733], [8447, 1.4638882875442505], [8810, 1.473783254623413], [8265, 1.47908616065979]]","[[8818, 1.435149908065796], [7756, 1.4594558477401733], [8447, 1.4638882875442505], [8810, 1.473783254623413], [8265, 1.47908616065979], [7569, 1.4797216653823853], [9222, 1.4814257621765137], [9518, 1.4839524030685425], [7220, 1.497038722038269], [9879, 1.4971305131912231]]",8447
video8322,a lady tries to ride on bicycle but fails,"[[8322, 1.387326717376709]]","[[8322, 1.387326717376709], [7837, 1.4916681051254272], [8657, 1.4951900243759155], [9489, 1.5052363872528076], [8330, 1.5190668106079102]]","[[8322, 1.387326717376709], [7837, 1.4916681051254272], [8657, 1.4951900243759155], [9489, 1.5052363872528076], [8330, 1.5190668106079102], [8073, 1.5196912288665771], [8258, 1.522422432899475], [9017, 1.5371886491775513], [8306, 1.543864130973816], [8820, 1.5467586517333984]]",8322
video7939,a man and woman stand together and cook in the kitchen,"[[7939, 1.4628574848175049]]","[[7939, 1.4628574848175049], [8662, 1.4799129962921143], [7572, 1.4935011863708496], [7415, 1.4964420795440674], [8048, 1.4998223781585693]]","[[7939, 1.4628574848175049], [8662, 1.4799129962921143], [7572, 1.4935011863708496], [7415, 1.4964420795440674], [8048, 1.4998223781585693], [8834, 1.5055763721466064], [8444, 1.5085711479187012], [8345, 1.5186747312545776], [7695, 1.5192782878875732], [7968, 1.5198456048965454]]",7939
video7567,a man checks out detail on a car,"[[8246, 1.4719641208648682]]","[[8246, 1.4719641208648682], [9508, 1.4769176244735718], [7820, 1.4773974418640137], [7110, 1.4880003929138184], [9358, 1.4961251020431519]]","[[8246, 1.4719641208648682], [9508, 1.4769176244735718], [7820, 1.4773974418640137], [7110, 1.4880003929138184], [9358, 1.4961251020431519], [7354, 1.4976186752319336], [7356, 1.499535322189331], [7343, 1.5007044076919556], [8651, 1.502342939376831], [7765, 1.5067551136016846]]",7567
video9418,a man in black suit is talking about deforestation and about climate change,"[[7890, 1.4551639556884766]]","[[7890, 1.4551639556884766], [9406, 1.4708037376403809], [9692, 1.4893763065338135], [7834, 1.4931213855743408], [7790, 1.5043166875839233]]","[[7890, 1.4551639556884766], [9406, 1.4708037376403809], [9692, 1.4893763065338135], [7834, 1.4931213855743408], [7790, 1.5043166875839233], [9821, 1.5162543058395386], [9474, 1.523571252822876], [7753, 1.5242823362350464], [7215, 1.5352857112884521], [7412, 1.5368316173553467]]",9418
