rel_video_id,query,top1,top5,top10,ground_truth
video7158,fox news presidential debate recapping the gop debate with donald trump and ted cruz,"[[7158, 1.3398939371109009]]","[[7158, 1.3398939371109009], [8464, 1.4362092018127441], [7731, 1.498311161994934], [9223, 1.522705078125], [7754, 1.5554461479187012]]","[[7158, 1.3398939371109009], [8464, 1.4362092018127441], [7731, 1.498311161994934], [9223, 1.522705078125], [7754, 1.5554461479187012], [7613, 1.5662345886230469], [8864, 1.5834274291992188], [8175, 1.5923099517822266], [9204, 1.6020772457122803], [8120, 1.6034417152404785]]",7158
video9233,a man is giving a speech,"[[8830, 1.4115424156188965]]","[[8830, 1.4115424156188965], [9203, 1.4544035196304321], [8072, 1.4620966911315918], [9233, 1.4803684949874878], [7410, 1.4829585552215576]]","[[8830, 1.4115424156188965], [9203, 1.4544035196304321], [8072, 1.4620966911315918], [9233, 1.4803684949874878], [7410, 1.4829585552215576], [7828, 1.4878746271133423], [9522, 1.4959206581115723], [9117, 1.4984121322631836], [8445, 1.500826120376587], [8917, 1.506363034248352]]",9233
video8687,fast moving time is shown here,"[[8089, 1.4800872802734375]]","[[8089, 1.4800872802734375], [7544, 1.4822149276733398], [7752, 1.4912285804748535], [7219, 1.4939780235290527], [8451, 1.5012493133544922]]","[[8089, 1.4800872802734375], [7544, 1.4822149276733398], [7752, 1.4912285804748535], [7219, 1.4939780235290527], [8451, 1.5012493133544922], [9328, 1.5013186931610107], [9535, 1.5022557973861694], [7214, 1.5039045810699463], [8013, 1.5043962001800537], [7506, 1.5056222677230835]]",8687
video9337,some people are inside of a room,"[[9322, 1.470698356628418]]","[[9322, 1.470698356628418], [7149, 1.4831675291061401], [9237, 1.485476016998291], [7843, 1.4874179363250732], [7825, 1.492458462715149]]","[[9322, 1.470698356628418], [7149, 1.4831675291061401], [9237, 1.485476016998291], [7843, 1.4874179363250732], [7825, 1.492458462715149], [9908, 1.4927091598510742], [7114, 1.4944095611572266], [8129, 1.4961376190185547], [8808, 1.5106213092803955], [8472, 1.512057900428772]]",9337
video9620,outer space pictures that have parts of equipments in them with water droplets on it,"[[9620, 1.4638593196868896]]","[[9620, 1.4638593196868896], [7562, 1.486778736114502], [8069, 1.4933944940567017], [8071, 1.5088610649108887], [9578, 1.514714241027832]]","[[9620, 1.4638593196868896], [7562, 1.486778736114502], [8069, 1.4933944940567017], [8071, 1.5088610649108887], [9578, 1.514714241027832], [9680, 1.528029203414917], [8727, 1.5293588638305664], [7027, 1.5401248931884766], [7732, 1.5447509288787842], [8490, 1.5451035499572754]]",9620
video7411,jolly good music troop delivering a program and the lady is in good spirit,"[[9793, 1.4768047332763672]]","[[9793, 1.4768047332763672], [7411, 1.4950873851776123], [8314, 1.4957531690597534], [7145, 1.5000336170196533], [9489, 1.5014619827270508]]","[[9793, 1.4768047332763672], [7411, 1.4950873851776123], [8314, 1.4957531690597534], [7145, 1.5000336170196533], [9489, 1.5014619827270508], [9037, 1.5018525123596191], [8781, 1.5023691654205322], [8304, 1.5053131580352783], [8786, 1.5057384967803955], [8481, 1.508577585220337]]",7411
video8514,a person is putting the vegetable in to the water and boil it,"[[8514, 1.4024277925491333]]","[[8514, 1.4024277925491333], [8656, 1.4456688165664673], [9625, 1.4517310857772827], [7911, 1.4533843994140625], [9639, 1.4554551839828491]]","[[8514, 1.4024277925491333], [8656, 1.4456688165664673], [9625, 1.4517310857772827], [7911, 1.4533843994140625], [9639, 1.4554551839828491], [7148, 1.4717659950256348], [7565, 1.475694179534912], [9689, 1.4779548645019531], [7826, 1.4833197593688965], [7376, 1.484876275062561]]",8514
video8481,a woman is reporting on keds commercials,"[[8481, 1.3914217948913574]]","[[8481, 1.3914217948913574], [9503, 1.436875343322754], [8806, 1.478743553161621], [8022, 1.5028411149978638], [8494, 1.5158920288085938]]","[[8481, 1.3914217948913574], [9503, 1.436875343322754], [8806, 1.478743553161621], [8022, 1.5028411149978638], [8494, 1.5158920288085938], [7119, 1.5203359127044678], [9039, 1.533048391342163], [9223, 1.5350520610809326], [8826, 1.5356040000915527], [7231, 1.538894772529602]]",8481
video9224,someone is playing a game,"[[9031, 1.4730570316314697]]","[[9031, 1.4730570316314697], [8313, 1.475085735321045], [9200, 1.4752660989761353], [7792, 1.4790947437286377], [7374, 1.4812790155410767]]","[[9031, 1.4730570316314697], [8313, 1.475085735321045], [9200, 1.4752660989761353], [7792, 1.4790947437286377], [7374, 1.4812790155410767], [8459, 1.4821362495422363], [7919, 1.4824466705322266], [9795, 1.4825294017791748], [7143, 1.482936143875122], [9332, 1.4832791090011597]]",9224
video8426,cabins on a sandy beach have walkways going up to their porches,"[[8426, 1.2679455280303955]]","[[8426, 1.2679455280303955], [8741, 1.5104821920394897], [8312, 1.5189664363861084], [8248, 1.521796703338623], [8307, 1.5261865854263306]]","[[8426, 1.2679455280303955], [8741, 1.5104821920394897], [8312, 1.5189664363861084], [8248, 1.521796703338623], [8307, 1.5261865854263306], [8862, 1.5367990732192993], [9359, 1.5374550819396973], [9244, 1.5470597743988037], [7797, 1.5512816905975342], [8578, 1.554455280303955]]",8426
video9699,a man explains how to do a experiment,"[[9699, 1.4058605432510376]]","[[9699, 1.4058605432510376], [8067, 1.454558253288269], [8257, 1.4936251640319824], [8804, 1.5052249431610107], [8772, 1.5082130432128906]]","[[9699, 1.4058605432510376], [8067, 1.454558253288269], [8257, 1.4936251640319824], [8804, 1.5052249431610107], [8772, 1.5082130432128906], [8774, 1.5152180194854736], [7575, 1.522168517112732], [9901, 1.5309035778045654], [9549, 1.5313135385513306], [8072, 1.5338399410247803]]",9699
video9882,a news reader is reading the news and asking question to some people,"[[7613, 1.4412652254104614]]","[[7613, 1.4412652254104614], [9204, 1.4567147493362427], [8864, 1.469832420349121], [8822, 1.472870945930481], [8333, 1.4753177165985107]]","[[7613, 1.4412652254104614], [9204, 1.4567147493362427], [8864, 1.469832420349121], [8822, 1.472870945930481], [8333, 1.4753177165985107], [7731, 1.4758892059326172], [7790, 1.4816104173660278], [7947, 1.4819015264511108], [9882, 1.4832953214645386], [9223, 1.4842073917388916]]",9882
video8300,a woman pours water into her pot of meat then tomato sauce and stirs it all around while talking,"[[8300, 1.3979241847991943]]","[[8300, 1.3979241847991943], [8654, 1.4679828882217407], [8835, 1.4697415828704834], [9689, 1.473936915397644], [7565, 1.523073673248291]]","[[8300, 1.3979241847991943], [8654, 1.4679828882217407], [8835, 1.4697415828704834], [9689, 1.473936915397644], [7565, 1.523073673248291], [8656, 1.5339381694793701], [7744, 1.5376561880111694], [8910, 1.5544735193252563], [9693, 1.559946894645691], [9639, 1.561901569366455]]",8300
video8863,an animated girl talks to a baby and plays with it,"[[7365, 1.4585481882095337]]","[[7365, 1.4585481882095337], [8863, 1.4753413200378418], [7179, 1.4865683317184448], [7222, 1.5002609491348267], [8827, 1.5083611011505127]]","[[7365, 1.4585481882095337], [8863, 1.4753413200378418], [7179, 1.4865683317184448], [7222, 1.5002609491348267], [8827, 1.5083611011505127], [8341, 1.5134276151657104], [8781, 1.524914264678955], [7157, 1.5277224779129028], [8110, 1.5368565320968628], [8268, 1.5451387166976929]]",8863
video7147,a man cooks burgers and bacon on a grill,"[[9333, 1.3160159587860107]]","[[9333, 1.3160159587860107], [7147, 1.3280000686645508], [9694, 1.4018306732177734], [9015, 1.4911296367645264], [9038, 1.5535391569137573]]","[[9333, 1.3160159587860107], [7147, 1.3280000686645508], [9694, 1.4018306732177734], [9015, 1.4911296367645264], [9038, 1.5535391569137573], [9335, 1.5672101974487305], [7820, 1.569068193435669], [7968, 1.574997901916504], [7362, 1.5754344463348389], [7154, 1.5818365812301636]]",7147
video7744,a chef stirs up some ingredients inside of a pan,"[[9639, 1.4538747072219849]]","[[9639, 1.4538747072219849], [9335, 1.465604305267334], [9689, 1.4670448303222656], [7148, 1.4681200981140137], [9625, 1.470000982284546]]","[[9639, 1.4538747072219849], [9335, 1.465604305267334], [9689, 1.4670448303222656], [7148, 1.4681200981140137], [9625, 1.470000982284546], [8654, 1.4717779159545898], [8300, 1.4737517833709717], [8656, 1.4799907207489014], [9356, 1.482837438583374], [8483, 1.4910049438476562]]",7744
video7839,this is a vine sports compilation,"[[9605, 1.4007697105407715]]","[[9605, 1.4007697105407715], [9018, 1.4146449565887451], [9542, 1.4149303436279297], [7358, 1.4158711433410645], [8913, 1.417500376701355]]","[[9605, 1.4007697105407715], [9018, 1.4146449565887451], [9542, 1.4149303436279297], [7358, 1.4158711433410645], [8913, 1.417500376701355], [9029, 1.4189894199371338], [9817, 1.4194400310516357], [7839, 1.4215610027313232], [8253, 1.4232157468795776], [9647, 1.4233719110488892]]",7839
video7214,race cars of different colors lined up on a dark track,"[[7214, 1.444916009902954]]","[[7214, 1.444916009902954], [7219, 1.5092047452926636], [7506, 1.526760458946228], [7616, 1.5370965003967285], [8264, 1.5451741218566895]]","[[7214, 1.444916009902954], [7219, 1.5092047452926636], [7506, 1.526760458946228], [7616, 1.5370965003967285], [8264, 1.5451741218566895], [9252, 1.5481865406036377], [9328, 1.5525741577148438], [9691, 1.559212565422058], [8451, 1.5601218938827515], [9017, 1.5623689889907837]]",7214
video7771,a golf player is trying to hit the ball into the pit,"[[7771, 1.380700707435608]]","[[7771, 1.380700707435608], [7556, 1.503873348236084], [7368, 1.513657569885254], [7021, 1.5247992277145386], [8049, 1.5403239727020264]]","[[7771, 1.380700707435608], [7556, 1.503873348236084], [7368, 1.513657569885254], [7021, 1.5247992277145386], [8049, 1.5403239727020264], [8913, 1.5517460107803345], [7699, 1.5565621852874756], [9018, 1.5654842853546143], [7358, 1.5661592483520508], [9029, 1.5662468671798706]]",7771
video8486,a cartoon on a young guy cursing,"[[7160, 1.386526346206665]]","[[7160, 1.386526346206665], [7222, 1.432320237159729], [7741, 1.4384340047836304], [7029, 1.4550375938415527], [9790, 1.4603437185287476]]","[[7160, 1.386526346206665], [7222, 1.432320237159729], [7741, 1.4384340047836304], [7029, 1.4550375938415527], [9790, 1.4603437185287476], [8486, 1.464548110961914], [7172, 1.4792577028274536], [9537, 1.4796062707901], [7831, 1.4816522598266602], [8076, 1.488250732421875]]",8486
video9909,a crowd of people sitting next to each other as one man plays a video game,"[[9909, 1.3797364234924316]]","[[9909, 1.3797364234924316], [7444, 1.474604845046997], [8860, 1.489207148551941], [8472, 1.495444416999817], [8622, 1.510087013244629]]","[[9909, 1.3797364234924316], [7444, 1.474604845046997], [8860, 1.489207148551941], [8472, 1.495444416999817], [8622, 1.510087013244629], [7035, 1.5120123624801636], [7972, 1.5124821662902832], [7766, 1.5135176181793213], [9745, 1.513875961303711], [7366, 1.5164508819580078]]",9909
video8922,an old man shakes hands with another man and then they hug each other,"[[8922, 1.3942612409591675]]","[[8922, 1.3942612409591675], [7704, 1.4620075225830078], [8829, 1.4723410606384277], [7590, 1.5061709880828857], [9545, 1.5237839221954346]]","[[8922, 1.3942612409591675], [7704, 1.4620075225830078], [8829, 1.4723410606384277], [7590, 1.5061709880828857], [9545, 1.5237839221954346], [7159, 1.5297601222991943], [7349, 1.530587911605835], [7211, 1.5377767086029053], [9833, 1.540204644203186], [9023, 1.5403248071670532]]",8922
video9814,a scene from spongebob squarepants where the townspeople are carrying torches and chasing a giant squidward,"[[8916, 1.5198158025741577]]","[[8916, 1.5198158025741577], [7111, 1.5237236022949219], [9300, 1.5270718336105347], [8839, 1.5335142612457275], [9790, 1.538440227508545]]","[[8916, 1.5198158025741577], [7111, 1.5237236022949219], [9300, 1.5270718336105347], [8839, 1.5335142612457275], [9790, 1.538440227508545], [9306, 1.539646863937378], [7029, 1.5403237342834473], [8128, 1.5427922010421753], [8903, 1.5458958148956299], [9814, 1.5521705150604248]]",9814
video9368,someone demonstrates about the small motor uses to the video,"[[9368, 1.4300525188446045]]","[[9368, 1.4300525188446045], [8121, 1.4344664812088013], [9530, 1.4434953927993774], [7820, 1.4829044342041016], [8332, 1.4835290908813477]]","[[9368, 1.4300525188446045], [8121, 1.4344664812088013], [9530, 1.4434953927993774], [7820, 1.4829044342041016], [8332, 1.4835290908813477], [7765, 1.4940745830535889], [7363, 1.49629545211792], [8626, 1.501383900642395], [7237, 1.5044350624084473], [8924, 1.5111174583435059]]",9368
video8820,a person comes up in the hill on a orange motor bike and falls down,"[[8820, 1.422720193862915]]","[[8820, 1.422720193862915], [8322, 1.5174016952514648], [7649, 1.519568920135498], [8128, 1.521589994430542], [9017, 1.5235872268676758]]","[[8820, 1.422720193862915], [8322, 1.5174016952514648], [7649, 1.519568920135498], [8128, 1.521589994430542], [9017, 1.5235872268676758], [8657, 1.530031681060791], [7544, 1.5336778163909912], [8306, 1.5432010889053345], [7796, 1.5444234609603882], [9302, 1.5467265844345093]]",8820
video9452,an animated grey shark in the middle of a blue water simulation background rotating in a circle on the screen of a monitor,"[[9452, 1.3819847106933594]]","[[9452, 1.3819847106933594], [8909, 1.476253628730774], [8328, 1.521711826324463], [7900, 1.5371073484420776], [8311, 1.5418641567230225]]","[[9452, 1.3819847106933594], [8909, 1.476253628730774], [8328, 1.521711826324463], [7900, 1.5371073484420776], [8311, 1.5418641567230225], [7027, 1.5518512725830078], [9821, 1.5535128116607666], [9359, 1.562088131904602], [7223, 1.5636557340621948], [9620, 1.57064950466156]]",9452
video9344,gameplay footage of someone playing a game,"[[8459, 1.4757943153381348]]","[[8459, 1.4757943153381348], [9200, 1.481835126876831], [9031, 1.4826891422271729], [9795, 1.483955979347229], [8313, 1.485129475593567]]","[[8459, 1.4757943153381348], [9200, 1.481835126876831], [9031, 1.4826891422271729], [9795, 1.483955979347229], [8313, 1.485129475593567], [7374, 1.4855396747589111], [8116, 1.4855797290802002], [7919, 1.4909205436706543], [8010, 1.4909684658050537], [7723, 1.4923615455627441]]",9344
video9032,a hospital mortuary room and a doctor treat the special case,"[[9032, 1.4438834190368652]]","[[9032, 1.4438834190368652], [8664, 1.4531816244125366], [7169, 1.4904085397720337], [7829, 1.4919309616088867], [9322, 1.5150644779205322]]","[[9032, 1.4438834190368652], [8664, 1.4531816244125366], [7169, 1.4904085397720337], [7829, 1.4919309616088867], [9322, 1.5150644779205322], [8666, 1.5218749046325684], [8808, 1.5391335487365723], [8240, 1.5471601486206055], [9520, 1.5571002960205078], [7704, 1.5614838600158691]]",9032
video9016,all persons are wearing bikini dresses and playing in sea,"[[9342, 1.4559407234191895]]","[[9342, 1.4559407234191895], [7681, 1.4773249626159668], [9201, 1.4907420873641968], [8118, 1.4950114488601685], [8949, 1.4953622817993164]]","[[9342, 1.4559407234191895], [7681, 1.4773249626159668], [9201, 1.4907420873641968], [8118, 1.4950114488601685], [8949, 1.4953622817993164], [7795, 1.5060142278671265], [8999, 1.506739616394043], [7155, 1.5084235668182373], [8928, 1.517677664756775], [8678, 1.5221154689788818]]",9016
video9353,two women are outside and are discussing something in a foreign language,"[[9353, 1.3847661018371582]]","[[9353, 1.3847661018371582], [7583, 1.4329032897949219], [9340, 1.45034921169281], [8022, 1.460045337677002], [7364, 1.4734195470809937]]","[[9353, 1.3847661018371582], [7583, 1.4329032897949219], [9340, 1.45034921169281], [8022, 1.460045337677002], [7364, 1.4734195470809937], [7116, 1.4739916324615479], [9521, 1.4882254600524902], [7589, 1.4900819063186646], [9039, 1.4929064512252808], [8836, 1.5143258571624756]]",9353
video9405,red balloons float in the sky and have packages tied to them,"[[9405, 1.3692905902862549]]","[[9405, 1.3692905902862549], [9679, 1.5297518968582153], [7061, 1.5333272218704224], [8306, 1.535976529121399], [9680, 1.5440177917480469]]","[[9405, 1.3692905902862549], [9679, 1.5297518968582153], [7061, 1.5333272218704224], [8306, 1.535976529121399], [9680, 1.5440177917480469], [8069, 1.5469870567321777], [8477, 1.5483084917068481], [7732, 1.5550404787063599], [8266, 1.5555955171585083], [8441, 1.556327223777771]]",9405
video7559,a man is trying some sushi,"[[7559, 1.4533064365386963]]","[[7559, 1.4533064365386963], [9327, 1.4715473651885986], [9309, 1.484771966934204], [9229, 1.499788522720337], [9537, 1.52030348777771]]","[[7559, 1.4533064365386963], [9327, 1.4715473651885986], [9309, 1.484771966934204], [9229, 1.499788522720337], [9537, 1.52030348777771], [8301, 1.5263738632202148], [9687, 1.5343782901763916], [8772, 1.540287733078003], [8456, 1.5437703132629395], [9539, 1.5447083711624146]]",7559
video9063,people on stage performing,"[[9683, 1.449955701828003]]","[[9683, 1.449955701828003], [8482, 1.4590413570404053], [9063, 1.4793323278427124], [9352, 1.4812266826629639], [7596, 1.4833728075027466]]","[[9683, 1.449955701828003], [8482, 1.4590413570404053], [9063, 1.4793323278427124], [9352, 1.4812266826629639], [7596, 1.4833728075027466], [7351, 1.492153286933899], [8914, 1.4943287372589111], [8324, 1.4948145151138306], [9304, 1.4968054294586182], [8445, 1.4987975358963013]]",9063
video7352,a movie scene starring morgan freeman and men in armor running,"[[7352, 1.4383488893508911]]","[[7352, 1.4383488893508911], [8948, 1.4875818490982056], [7444, 1.5085349082946777], [7373, 1.5133862495422363], [9230, 1.5154969692230225]]","[[7352, 1.4383488893508911], [8948, 1.4875818490982056], [7444, 1.5085349082946777], [7373, 1.5133862495422363], [9230, 1.5154969692230225], [8808, 1.5217256546020508], [8315, 1.5220324993133545], [8680, 1.5322914123535156], [8122, 1.535939335823059], [8061, 1.5383554697036743]]",7352
video8447,a woman singing on the voice,"[[8818, 1.4431471824645996]]","[[8818, 1.4431471824645996], [7756, 1.4576705694198608], [8810, 1.4624265432357788], [8447, 1.4726531505584717], [7569, 1.4851629734039307]]","[[8818, 1.4431471824645996], [7756, 1.4576705694198608], [8810, 1.4624265432357788], [8447, 1.4726531505584717], [7569, 1.4851629734039307], [8265, 1.485371708869934], [9222, 1.4899784326553345], [9518, 1.4927594661712646], [9879, 1.4983841180801392], [9202, 1.501738429069519]]",8447
video8322,a lady tries to ride on bicycle but fails,"[[8322, 1.4008020162582397]]","[[8322, 1.4008020162582397], [8073, 1.507138967514038], [8657, 1.5078083276748657], [8330, 1.510798454284668], [8820, 1.5122697353363037]]","[[8322, 1.4008020162582397], [8073, 1.507138967514038], [8657, 1.5078083276748657], [8330, 1.510798454284668], [8820, 1.5122697353363037], [8128, 1.5189423561096191], [8258, 1.519622564315796], [9237, 1.5271382331848145], [9521, 1.5332077741622925], [9489, 1.5394431352615356]]",8322
video7939,a man and woman stand together and cook in the kitchen,"[[7939, 1.4352622032165527]]","[[7939, 1.4352622032165527], [7415, 1.4773554801940918], [8662, 1.4978609085083008], [8129, 1.5010523796081543], [9682, 1.5027815103530884]]","[[7939, 1.4352622032165527], [7415, 1.4773554801940918], [8662, 1.4978609085083008], [8129, 1.5010523796081543], [9682, 1.5027815103530884], [8444, 1.5052924156188965], [7572, 1.5086214542388916], [8834, 1.5128188133239746], [7799, 1.5146681070327759], [8048, 1.5230540037155151]]",7939
video7567,a man checks out detail on a car,"[[7820, 1.4586758613586426]]","[[7820, 1.4586758613586426], [8246, 1.464897632598877], [9508, 1.4752280712127686], [7110, 1.4824579954147339], [7356, 1.4826152324676514]]","[[7820, 1.4586758613586426], [8246, 1.464897632598877], [9508, 1.4752280712127686], [7110, 1.4824579954147339], [7356, 1.4826152324676514], [7765, 1.4878606796264648], [7343, 1.496168613433838], [8651, 1.497343897819519], [9358, 1.501016616821289], [9975, 1.506937861442566]]",7567
video9418,a man in black suit is talking about deforestation and about climate change,"[[7890, 1.4681980609893799]]","[[7890, 1.4681980609893799], [9692, 1.4881443977355957], [9406, 1.4901360273361206], [7834, 1.4944489002227783], [7412, 1.5080666542053223]]","[[7890, 1.4681980609893799], [9692, 1.4881443977355957], [9406, 1.4901360273361206], [7834, 1.4944489002227783], [7412, 1.5080666542053223], [7790, 1.5175961256027222], [7215, 1.5196257829666138], [9418, 1.524717092514038], [7753, 1.5249817371368408], [8120, 1.5263652801513672]]",9418
