rel_video_id,query,top1,top5,top10,ground_truth
video8922,an old man shakes hands with another man and then they hug each other,"[[8922, 1.3875811100006104]]","[[8922, 1.3875811100006104], [8829, 1.4752024412155151], [7704, 1.4753079414367676], [7590, 1.4897971153259277], [7349, 1.5170031785964966]]","[[8922, 1.3875811100006104], [8829, 1.4752024412155151], [7704, 1.4753079414367676], [7590, 1.4897971153259277], [7349, 1.5170031785964966], [9545, 1.5189166069030762], [7159, 1.5294431447982788], [8318, 1.5303761959075928], [7200, 1.5327293872833252], [7110, 1.538931131362915]]",8922
video9814,a scene from spongebob squarepants where the townspeople are carrying torches and chasing a giant squidward,"[[9814, 1.4848361015319824]]","[[9814, 1.4848361015319824], [8916, 1.508152723312378], [7111, 1.519596815109253], [9790, 1.5310237407684326], [9300, 1.5348305702209473]]","[[9814, 1.4848361015319824], [8916, 1.508152723312378], [7111, 1.519596815109253], [9790, 1.5310237407684326], [9300, 1.5348305702209473], [7029, 1.5522513389587402], [7747, 1.557551383972168], [8839, 1.570300579071045], [8903, 1.5711904764175415], [9306, 1.5737745761871338]]",9814
video9368,someone demonstrates about the small motor uses to the video,"[[9368, 1.4192492961883545]]","[[9368, 1.4192492961883545], [8121, 1.4517124891281128], [9530, 1.4536571502685547], [7363, 1.4948700666427612], [8332, 1.497908592224121]]","[[9368, 1.4192492961883545], [8121, 1.4517124891281128], [9530, 1.4536571502685547], [7363, 1.4948700666427612], [8332, 1.497908592224121], [7820, 1.501551628112793], [8626, 1.5016942024230957], [7237, 1.502782940864563], [7963, 1.5065534114837646], [8246, 1.514487624168396]]",9368
video8820,a person comes up in the hill on a orange motor bike and falls down,"[[8820, 1.4437041282653809]]","[[8820, 1.4437041282653809], [9017, 1.5232210159301758], [9208, 1.5336768627166748], [8657, 1.536068320274353], [8322, 1.5375022888183594]]","[[8820, 1.4437041282653809], [9017, 1.5232210159301758], [9208, 1.5336768627166748], [8657, 1.536068320274353], [8322, 1.5375022888183594], [9302, 1.5384817123413086], [8128, 1.5398038625717163], [7837, 1.5425622463226318], [7796, 1.5436054468154907], [7544, 1.5462965965270996]]",8820
video9452,an animated grey shark in the middle of a blue water simulation background rotating in a circle on the screen of a monitor,"[[9452, 1.3848276138305664]]","[[9452, 1.3848276138305664], [8909, 1.4774987697601318], [8328, 1.5010185241699219], [7900, 1.5327764749526978], [9359, 1.5379724502563477]]","[[9452, 1.3848276138305664], [8909, 1.4774987697601318], [8328, 1.5010185241699219], [7900, 1.5327764749526978], [9359, 1.5379724502563477], [7027, 1.5384938716888428], [7223, 1.5497852563858032], [9821, 1.5515639781951904], [8311, 1.5618908405303955], [8111, 1.5672167539596558]]",9452
video9344,gameplay footage of someone playing a game,"[[8459, 1.477207899093628]]","[[8459, 1.477207899093628], [9200, 1.483471155166626], [9031, 1.484724521636963], [7374, 1.484788179397583], [8070, 1.4855388402938843]]","[[8459, 1.477207899093628], [9200, 1.483471155166626], [9031, 1.484724521636963], [7374, 1.484788179397583], [8070, 1.4855388402938843], [8116, 1.4856998920440674], [8010, 1.4870396852493286], [8313, 1.4879002571105957], [9336, 1.48919677734375], [9795, 1.490877628326416]]",9344
video9032,a hospital mortuary room and a doctor treat the special case,"[[9032, 1.4278843402862549]]","[[9032, 1.4278843402862549], [8664, 1.4521734714508057], [7169, 1.4942646026611328], [7829, 1.5015746355056763], [9322, 1.5101077556610107]]","[[9032, 1.4278843402862549], [8664, 1.4521734714508057], [7169, 1.4942646026611328], [7829, 1.5015746355056763], [9322, 1.5101077556610107], [8240, 1.5249394178390503], [8808, 1.53116774559021], [8666, 1.5341960191726685], [7704, 1.5520002841949463], [9686, 1.564188838005066]]",9032
video9016,all persons are wearing bikini dresses and playing in sea,"[[9201, 1.456761121749878]]","[[9201, 1.456761121749878], [9342, 1.464812994003296], [7681, 1.4741640090942383], [8999, 1.4881973266601562], [8241, 1.4956307411193848]]","[[9201, 1.456761121749878], [9342, 1.464812994003296], [7681, 1.4741640090942383], [8999, 1.4881973266601562], [8241, 1.4956307411193848], [8118, 1.4966866970062256], [8928, 1.4977524280548096], [8949, 1.5063550472259521], [7795, 1.5074846744537354], [9574, 1.5211129188537598]]",9016
video9353,two women are outside and are discussing something in a foreign language,"[[9353, 1.3724255561828613]]","[[9353, 1.3724255561828613], [7583, 1.4418163299560547], [9340, 1.4467881917953491], [7364, 1.468261957168579], [8022, 1.4894077777862549]]","[[9353, 1.3724255561828613], [7583, 1.4418163299560547], [9340, 1.4467881917953491], [7364, 1.468261957168579], [8022, 1.4894077777862549], [8330, 1.4894208908081055], [9039, 1.4897273778915405], [7589, 1.491698980331421], [7116, 1.5267407894134521], [9027, 1.5283548831939697]]",9353
video9405,red balloons float in the sky and have packages tied to them,"[[9405, 1.340563416481018]]","[[9405, 1.340563416481018], [9679, 1.523294448852539], [7061, 1.5379717350006104], [8069, 1.5393352508544922], [9680, 1.5406858921051025]]","[[9405, 1.340563416481018], [9679, 1.523294448852539], [7061, 1.5379717350006104], [8069, 1.5393352508544922], [9680, 1.5406858921051025], [8260, 1.551436185836792], [9246, 1.5524481534957886], [7217, 1.5536694526672363], [8464, 1.5547645092010498], [7698, 1.5553138256072998]]",9405
video7559,a man is trying some sushi,"[[7559, 1.4431889057159424]]","[[7559, 1.4431889057159424], [9309, 1.4640721082687378], [9327, 1.4904406070709229], [8301, 1.506840467453003], [9229, 1.5094757080078125]]","[[7559, 1.4431889057159424], [9309, 1.4640721082687378], [9327, 1.4904406070709229], [8301, 1.506840467453003], [9229, 1.5094757080078125], [9687, 1.510514497756958], [9537, 1.519758939743042], [8772, 1.5350896120071411], [9539, 1.5391308069229126], [9409, 1.5456056594848633]]",7559
video9063,people on stage performing,"[[9683, 1.4428019523620605]]","[[9683, 1.4428019523620605], [7558, 1.4716670513153076], [9352, 1.4735450744628906], [8482, 1.476852536201477], [7351, 1.4826347827911377]]","[[9683, 1.4428019523620605], [7558, 1.4716670513153076], [9352, 1.4735450744628906], [8482, 1.476852536201477], [7351, 1.4826347827911377], [7596, 1.4877079725265503], [9063, 1.4914454221725464], [8914, 1.4928233623504639], [9351, 1.4976716041564941], [8324, 1.4980276823043823]]",9063
video7352,a movie scene starring morgan freeman and men in armor running,"[[7352, 1.4577289819717407]]","[[7352, 1.4577289819717407], [8948, 1.4631489515304565], [7373, 1.5112619400024414], [9230, 1.5228931903839111], [8475, 1.5231387615203857]]","[[7352, 1.4577289819717407], [8948, 1.4631489515304565], [7373, 1.5112619400024414], [9230, 1.5228931903839111], [8475, 1.5231387615203857], [8122, 1.5236256122589111], [9784, 1.5259745121002197], [8266, 1.5266566276550293], [8851, 1.5307073593139648], [7444, 1.533003807067871]]",7352
video8447,a woman singing on the voice,"[[8818, 1.4523355960845947]]","[[8818, 1.4523355960845947], [7756, 1.4546113014221191], [8810, 1.4660015106201172], [8265, 1.4740620851516724], [8447, 1.481071949005127]]","[[8818, 1.4523355960845947], [7756, 1.4546113014221191], [8810, 1.4660015106201172], [8265, 1.4740620851516724], [8447, 1.481071949005127], [9879, 1.4851468801498413], [7569, 1.4867329597473145], [9518, 1.4878950119018555], [7791, 1.4998983144760132], [9222, 1.500274896621704]]",8447
video8322,a lady tries to ride on bicycle but fails,"[[8322, 1.355623722076416]]","[[8322, 1.355623722076416], [9489, 1.4544036388397217], [7837, 1.4960060119628906], [8128, 1.5130776166915894], [8073, 1.5207085609436035]]","[[8322, 1.355623722076416], [9489, 1.4544036388397217], [7837, 1.4960060119628906], [8128, 1.5130776166915894], [8073, 1.5207085609436035], [8657, 1.5304851531982422], [9521, 1.5312108993530273], [8330, 1.5338062047958374], [8306, 1.539332628250122], [7544, 1.545966625213623]]",8322
video7939,a man and woman stand together and cook in the kitchen,"[[7939, 1.4288820028305054]]","[[7939, 1.4288820028305054], [7415, 1.4711124897003174], [8662, 1.4759571552276611], [7572, 1.4928326606750488], [8834, 1.498197317123413]]","[[7939, 1.4288820028305054], [7415, 1.4711124897003174], [8662, 1.4759571552276611], [7572, 1.4928326606750488], [8834, 1.498197317123413], [8048, 1.510524034500122], [7695, 1.513169527053833], [8444, 1.5142419338226318], [8129, 1.5185227394104004], [7799, 1.530998706817627]]",7939
video7567,a man checks out detail on a car,"[[7820, 1.4691030979156494]]","[[7820, 1.4691030979156494], [8246, 1.471893310546875], [9508, 1.4752378463745117], [7343, 1.481626272201538], [7356, 1.488722801208496]]","[[7820, 1.4691030979156494], [8246, 1.471893310546875], [9508, 1.4752378463745117], [7343, 1.481626272201538], [7356, 1.488722801208496], [7110, 1.4970383644104004], [8651, 1.499536156654358], [7354, 1.5026326179504395], [9975, 1.5040935277938843], [7765, 1.5045243501663208]]",7567
video9418,a man in black suit is talking about deforestation and about climate change,"[[7890, 1.465850591659546]]","[[7890, 1.465850591659546], [9692, 1.4866328239440918], [9406, 1.490248441696167], [7834, 1.5024784803390503], [7790, 1.5059618949890137]]","[[7890, 1.465850591659546], [9692, 1.4866328239440918], [9406, 1.490248441696167], [7834, 1.5024784803390503], [7790, 1.5059618949890137], [9821, 1.5119078159332275], [9418, 1.5195380449295044], [7215, 1.5213260650634766], [7753, 1.5216484069824219], [7412, 1.5265650749206543]]",9418
