rel_frame_id,query,top1,top5,top10,top15,ground_truth
video8687,fast moving time is shown here,"[[7223, 1.4449453353881836]]","[[7223, 1.4449453353881836], [7363, 1.4463812112808228], [7506, 1.4524726867675781], [7464, 1.4555546045303345], [8687, 1.465773582458496]]","[[7223, 1.4449453353881836], [7363, 1.4463812112808228], [7506, 1.4524726867675781], [7464, 1.4555546045303345], [8687, 1.465773582458496], [7219, 1.4691789150238037], [9826, 1.4721126556396484], [8076, 1.4758906364440918], [8934, 1.476982593536377], [9806, 1.4774045944213867]]","[[7223, 1.4449453353881836], [7363, 1.4463812112808228], [7506, 1.4524726867675781], [7464, 1.4555546045303345], [8687, 1.465773582458496], [7219, 1.4691789150238037], [9826, 1.4721126556396484], [8076, 1.4758906364440918], [8934, 1.476982593536377], [9806, 1.4774045944213867], [7752, 1.4776520729064941], [9800, 1.4777663946151733], [9832, 1.4778118133544922], [8322, 1.478775978088379], [8469, 1.4803342819213867]]",8687
video9337,some people are inside of a room,"[[9324, 1.4286646842956543]]","[[9324, 1.4286646842956543], [7114, 1.445873737335205], [9322, 1.4499292373657227], [7593, 1.456148624420166], [9350, 1.4563682079315186]]","[[9324, 1.4286646842956543], [7114, 1.445873737335205], [9322, 1.4499292373657227], [7593, 1.456148624420166], [9350, 1.4563682079315186], [8788, 1.4701762199401855], [8663, 1.4736007452011108], [9307, 1.473950982093811], [9820, 1.4742000102996826], [7222, 1.478456735610962]]","[[9324, 1.4286646842956543], [7114, 1.445873737335205], [9322, 1.4499292373657227], [7593, 1.456148624420166], [9350, 1.4563682079315186], [8788, 1.4701762199401855], [8663, 1.4736007452011108], [9307, 1.473950982093811], [9820, 1.4742000102996826], [7222, 1.478456735610962], [7588, 1.4787884950637817], [9813, 1.4790592193603516], [7757, 1.4810184240341187], [9334, 1.4825992584228516], [9458, 1.4872016906738281]]",9337
video9620,outer space pictures that have parts of equipments in them with water droplets on it,"[[7732, 1.468106985092163]]","[[7732, 1.468106985092163], [8013, 1.482405662536621], [9620, 1.4833906888961792], [7027, 1.4870390892028809], [8246, 1.4898097515106201]]","[[7732, 1.468106985092163], [8013, 1.482405662536621], [9620, 1.4833906888961792], [7027, 1.4870390892028809], [8246, 1.4898097515106201], [8674, 1.4909493923187256], [9578, 1.4969375133514404], [7237, 1.4999780654907227], [7343, 1.5032737255096436], [8334, 1.50938081741333]]","[[7732, 1.468106985092163], [8013, 1.482405662536621], [9620, 1.4833906888961792], [7027, 1.4870390892028809], [8246, 1.4898097515106201], [8674, 1.4909493923187256], [9578, 1.4969375133514404], [7237, 1.4999780654907227], [7343, 1.5032737255096436], [8334, 1.50938081741333], [7562, 1.514441967010498], [8867, 1.5146230459213257], [9609, 1.515494704246521], [8061, 1.516366720199585], [7350, 1.5243749618530273]]",9620
video7411,jolly good music troop delivering a program and the lady is in good spirit,"[[9357, 1.530024766921997]]","[[9357, 1.530024766921997], [8919, 1.5305945873260498], [7772, 1.532540202140808], [7142, 1.5493252277374268], [9063, 1.5601954460144043]]","[[9357, 1.530024766921997], [8919, 1.5305945873260498], [7772, 1.532540202140808], [7142, 1.5493252277374268], [9063, 1.5601954460144043], [7141, 1.56156325340271], [8337, 1.5629913806915283], [7843, 1.5652178525924683], [8022, 1.5655779838562012], [7202, 1.5665693283081055]]","[[9357, 1.530024766921997], [8919, 1.5305945873260498], [7772, 1.532540202140808], [7142, 1.5493252277374268], [9063, 1.5601954460144043], [7141, 1.56156325340271], [8337, 1.5629913806915283], [7843, 1.5652178525924683], [8022, 1.5655779838562012], [7202, 1.5665693283081055], [9326, 1.5733997821807861], [8482, 1.5761346817016602], [8650, 1.5776151418685913], [7542, 1.5777146816253662], [9205, 1.577784776687622]]",7411
video8514,a person is putting the vegetable in to the water and boil it,"[[9625, 1.3654134273529053]]","[[9625, 1.3654134273529053], [7911, 1.4151296615600586], [8514, 1.4237992763519287], [9693, 1.425274133682251], [9206, 1.4252948760986328]]","[[9625, 1.3654134273529053], [7911, 1.4151296615600586], [8514, 1.4237992763519287], [9693, 1.425274133682251], [9206, 1.4252948760986328], [9689, 1.4297335147857666], [7565, 1.4301387071609497], [9335, 1.4301769733428955], [9798, 1.4305222034454346], [9022, 1.4306776523590088]]","[[9625, 1.3654134273529053], [7911, 1.4151296615600586], [8514, 1.4237992763519287], [9693, 1.425274133682251], [9206, 1.4252948760986328], [9689, 1.4297335147857666], [7565, 1.4301387071609497], [9335, 1.4301769733428955], [9798, 1.4305222034454346], [9022, 1.4306776523590088], [8479, 1.4389698505401611], [7360, 1.4395496845245361], [8654, 1.4444087743759155], [7820, 1.4491633176803589], [8834, 1.449187994003296]]",8514
video8481,a woman is reporting on keds commercials,"[[8481, 1.443284273147583]]","[[8481, 1.443284273147583], [8488, 1.4586812257766724], [7231, 1.4587175846099854], [8494, 1.4638497829437256], [9575, 1.4799833297729492]]","[[8481, 1.443284273147583], [8488, 1.4586812257766724], [7231, 1.4587175846099854], [8494, 1.4638497829437256], [9575, 1.4799833297729492], [7577, 1.4806054830551147], [9347, 1.4849574565887451], [7698, 1.4857096672058105], [9517, 1.4860332012176514], [7580, 1.4866470098495483]]","[[8481, 1.443284273147583], [8488, 1.4586812257766724], [7231, 1.4587175846099854], [8494, 1.4638497829437256], [9575, 1.4799833297729492], [7577, 1.4806054830551147], [9347, 1.4849574565887451], [7698, 1.4857096672058105], [9517, 1.4860332012176514], [7580, 1.4866470098495483], [9600, 1.4877686500549316], [7549, 1.4918057918548584], [9039, 1.4921066761016846], [7558, 1.4925353527069092], [8461, 1.4952250719070435]]",8481
video9224,someone is playing a game,"[[7438, 1.481433629989624]]","[[7438, 1.481433629989624], [7780, 1.4821219444274902], [9355, 1.4935369491577148], [8663, 1.4956817626953125], [7792, 1.4970524311065674]]","[[7438, 1.481433629989624], [7780, 1.4821219444274902], [9355, 1.4935369491577148], [8663, 1.4956817626953125], [7792, 1.4970524311065674], [9535, 1.4975671768188477], [7977, 1.498779058456421], [7732, 1.499143123626709], [9030, 1.49954354763031], [7593, 1.4998763799667358]]","[[7438, 1.481433629989624], [7780, 1.4821219444274902], [9355, 1.4935369491577148], [8663, 1.4956817626953125], [7792, 1.4970524311065674], [9535, 1.4975671768188477], [7977, 1.498779058456421], [7732, 1.499143123626709], [9030, 1.49954354763031], [7593, 1.4998763799667358], [8899, 1.5010114908218384], [9806, 1.5015500783920288], [7203, 1.501649260520935], [7766, 1.5024840831756592], [9829, 1.50276780128479]]",9224
video8426,cabins on a sandy beach have walkways going up to their porches,"[[8426, 1.3216873407363892]]","[[8426, 1.3216873407363892], [9244, 1.4866459369659424], [8916, 1.4898003339767456], [9332, 1.4977948665618896], [9359, 1.5011005401611328]]","[[8426, 1.3216873407363892], [9244, 1.4866459369659424], [8916, 1.4898003339767456], [9332, 1.4977948665618896], [9359, 1.5011005401611328], [7113, 1.5124281644821167], [9031, 1.5199133157730103], [9253, 1.521165370941162], [8556, 1.5221149921417236], [8250, 1.5243942737579346]]","[[8426, 1.3216873407363892], [9244, 1.4866459369659424], [8916, 1.4898003339767456], [9332, 1.4977948665618896], [9359, 1.5011005401611328], [7113, 1.5124281644821167], [9031, 1.5199133157730103], [9253, 1.521165370941162], [8556, 1.5221149921417236], [8250, 1.5243942737579346], [8655, 1.5253934860229492], [7025, 1.52982759475708], [9338, 1.5328062772750854], [9790, 1.5407390594482422], [8578, 1.542960286140442]]",8426
video9699,a man explains how to do a experiment,"[[9731, 1.3954854011535645]]","[[9731, 1.3954854011535645], [9699, 1.4002974033355713], [9256, 1.4033753871917725], [7546, 1.407625436782837], [9335, 1.412216067314148]]","[[9731, 1.3954854011535645], [9699, 1.4002974033355713], [9256, 1.4033753871917725], [7546, 1.407625436782837], [9335, 1.412216067314148], [8712, 1.4141029119491577], [8774, 1.416161298751831], [9349, 1.417145013809204], [8483, 1.421220064163208], [8332, 1.421614408493042]]","[[9731, 1.3954854011535645], [9699, 1.4002974033355713], [9256, 1.4033753871917725], [7546, 1.407625436782837], [9335, 1.412216067314148], [8712, 1.4141029119491577], [8774, 1.416161298751831], [9349, 1.417145013809204], [8483, 1.421220064163208], [8332, 1.421614408493042], [8688, 1.421802282333374], [8067, 1.4225637912750244], [9474, 1.426466941833496], [9798, 1.4295480251312256], [8301, 1.4317148923873901]]",9699
video9882,a news reader is reading the news and asking question to some people,"[[7790, 1.4129760265350342]]","[[7790, 1.4129760265350342], [7469, 1.4194496870040894], [7967, 1.423698902130127], [8311, 1.4255752563476562], [9028, 1.425910234451294]]","[[7790, 1.4129760265350342], [7469, 1.4194496870040894], [7967, 1.423698902130127], [8311, 1.4255752563476562], [9028, 1.425910234451294], [9205, 1.4265339374542236], [9882, 1.4265809059143066], [9204, 1.4278024435043335], [8905, 1.4323493242263794], [8789, 1.4421725273132324]]","[[7790, 1.4129760265350342], [7469, 1.4194496870040894], [7967, 1.423698902130127], [8311, 1.4255752563476562], [9028, 1.425910234451294], [9205, 1.4265339374542236], [9882, 1.4265809059143066], [9204, 1.4278024435043335], [8905, 1.4323493242263794], [8789, 1.4421725273132324], [9223, 1.4454509019851685], [8333, 1.4469696283340454], [8650, 1.4484872817993164], [7619, 1.4487829208374023], [7580, 1.4497387409210205]]",9882
video8300,a woman pours water into her pot of meat then tomato sauce and stirs it all around while talking,"[[8479, 1.3634488582611084]]","[[8479, 1.3634488582611084], [9335, 1.3664096593856812], [7744, 1.374891996383667], [9022, 1.3903064727783203], [8910, 1.3926653861999512]]","[[8479, 1.3634488582611084], [9335, 1.3664096593856812], [7744, 1.374891996383667], [9022, 1.3903064727783203], [8910, 1.3926653861999512], [8300, 1.4152028560638428], [9625, 1.4166218042373657], [7565, 1.4172072410583496], [9693, 1.417785406112671], [9689, 1.4179048538208008]]","[[8479, 1.3634488582611084], [9335, 1.3664096593856812], [7744, 1.374891996383667], [9022, 1.3903064727783203], [8910, 1.3926653861999512], [8300, 1.4152028560638428], [9625, 1.4166218042373657], [7565, 1.4172072410583496], [9693, 1.417785406112671], [9689, 1.4179048538208008], [8654, 1.4237239360809326], [9836, 1.425136685371399], [7695, 1.4261037111282349], [7154, 1.4332305192947388], [9731, 1.4376685619354248]]",8300
video8863,an animated girl talks to a baby and plays with it,"[[8676, 1.3868520259857178]]","[[8676, 1.3868520259857178], [8863, 1.3933295011520386], [7561, 1.4093480110168457], [7020, 1.4103548526763916], [7179, 1.4107515811920166]]","[[8676, 1.3868520259857178], [8863, 1.3933295011520386], [7561, 1.4093480110168457], [7020, 1.4103548526763916], [7179, 1.4107515811920166], [7113, 1.419515609741211], [9682, 1.4198867082595825], [9772, 1.4297866821289062], [7592, 1.4299790859222412], [8774, 1.430121660232544]]","[[8676, 1.3868520259857178], [8863, 1.3933295011520386], [7561, 1.4093480110168457], [7020, 1.4103548526763916], [7179, 1.4107515811920166], [7113, 1.419515609741211], [9682, 1.4198867082595825], [9772, 1.4297866821289062], [7592, 1.4299790859222412], [8774, 1.430121660232544], [7728, 1.4307458400726318], [8110, 1.4313803911209106], [7558, 1.432397723197937], [8018, 1.4328463077545166], [9338, 1.4338114261627197]]",8863
video7147,a man cooks burgers and bacon on a grill,"[[9333, 1.340659260749817]]","[[9333, 1.340659260749817], [7147, 1.3587028980255127], [8834, 1.3893879652023315], [9694, 1.398809790611267], [7820, 1.4077584743499756]]","[[9333, 1.340659260749817], [7147, 1.3587028980255127], [8834, 1.3893879652023315], [9694, 1.398809790611267], [7820, 1.4077584743499756], [7154, 1.4189664125442505], [9335, 1.4346097707748413], [8479, 1.4519935846328735], [8899, 1.4605967998504639], [9871, 1.4659013748168945]]","[[9333, 1.340659260749817], [7147, 1.3587028980255127], [8834, 1.3893879652023315], [9694, 1.398809790611267], [7820, 1.4077584743499756], [7154, 1.4189664125442505], [9335, 1.4346097707748413], [8479, 1.4519935846328735], [8899, 1.4605967998504639], [9871, 1.4659013748168945], [8900, 1.46625816822052], [9798, 1.4700937271118164], [7966, 1.4729695320129395], [7343, 1.4803249835968018], [8686, 1.4813811779022217]]",7147
