video_id,sentence
video2604,2000 campaign in new york city
video40,2 young men are laying in the grass and talking
video620,2 women playing one lady is blidfolded
video1163,2 women making a cake
video4100,2 teens take part in a music video
video5429,2 teams are playing a game of soccer
video6743,2 players missed to put a goal in football game
video1359,2 persons in panic  2 persons caring for a hurt ball player
video4475,a advertisement about a car
video2147,a advertisement about a computer
video508,a baby stroller turns in circles
video1349,a baby stroller is being displayed
video5675,a baby stroller is being displayed
video5657,a baby stroller is being displayed
video3408,a baby stroller is being displayed
video2168,a baby stroller is being displayed
video5633,a baby stroller is being displayed
video1037,a baby stroller is being displayed
video230,a baby stroller is being displayed
video953,a baby stroller for jogging is being showcased
video3060,a baby stroller being discussed by a woman
video921,a baby was born with two faces
video2643,a baby zebra gets chased down by a lion
video6619, and a man dancing at a home
video3017,a backsetball game is shown
video6415,a bald man is describing a math problem
video4422,a bald man in headphones is singing while other people are playing instruments
video8,a bald guy talks and swivels in a chair
video6984,a baby squirrel is  snuggling with kittens
video1533,a baking soda info is telling
video6966,a baker is demonstrating a cooking technique
video2874,a badger is running around
video1793,a badger attacks a lion
video3299,a bad rapper raps about christmas
video2702,a backyard baseball game
video1151,a backup camera is being promoted on a vehicle
video279,a backstroke swimming competition
video3451,a bald man is talking about a bad man not wasting time and pushes the tea to the side
video1600,a baby girl is lying on the ground
video4069,a baby getting saved from a murderer
video4131,a baby gets a hair cut
video2947,a baby elephant standing by a larger elephant
video6389,a baby elephant standing by a larger elephant
video1613,a baby elephant standing by a larger elephant
video4208,a baby elephant standing by a larger elephant
video2564,a baby doing funny while mom preparing food
video1983,a baby dog is nursing on its mother
video2370,a baby dances on a table
video398,a baby horse and another older horse in a pen
video5652,a baby puller her hair
video3012,a baby muppet cartoon is playing in an animated theater
video253,a baby laughs a lot
video4112,a baby joggler on the show
video4481,a baby is swimming under water
video2694,a baby sits on the counter helping women cook
video5229,a baby is placed into as stroller
video509,a baby is placed into as stroller
video2479,a baby is placed into as stroller
video6957,a baby in a bathtub playing with his brother
video2175,a baby is playing with a piece of paper
video4498,a baby crawls around with a kitten
video5115,a bald man speaks about his intentions to listen
video47,a band is in a studio recording a song
video2034,a band is giving a performance during a concert
video5252,a band is giving a concert on a scene
video718,a band is giving a concert on a scene
video5461,a band is giving a concert
video1586,a band is giving a concert
video2522,a band is conducting a q&a
video1808,a band is being interviewed
video6366,a band is marching
video4366,a band is on a stage singing
video4819,a band is on stage performing
video326,a band is on stage performing
video1181,a band is performing a song for a large crowd
video3757,a band is performing a live concert
video6684,a band is performing eye of the tiger and then olivia newton-john is performing let s get physical while a man narrates
video3733,a band is performing
video5230,a band is
video4321,a band is performing
video983,a band is performing
video3675,a band is perfoming for an audience of people waving british flags
video4710,a band is per
video3822,a band is outside
video1732,a band is on the stage performing a concert
video194,a band is on stage playing country music
video5943,a band is performing
video447,a bald man running on the street
video964,a band hangs out on stage between performances
video389,a ballerina dance taking place on a stage
video5900,a ball is rolling on the ground
video2279,a ball is hitting a woman while playing
video1710,a ball is forcefully getting from another player
video3043,a ball hits a woman on the head
video3211,a ball has broken a car s window
video1801,a ball has broken a car s window
video4328,a balding man with a mustache is talking about space
video1412,a balding man is speaking to an audience
video3414,a bald woman is talking
video1321,a bald man talks about suicide
video2307,a bald man talking about a map of prussia in 1806
video4527,a ballet dance being done on a stage
video1991,a ballet dance is being performed
video5623,a balling is been showed
video3957,a band enters a subway and gets on a train and starts to sing
video2572,a band does a cover of a taylor swift song
video4173,a band dances in a dark room while playing a guitar and singing
video3415,a band covers a pop song
video2976,a band group performing on stage
video4398,a band begins to play to an auditorium of people
video3483,a band and dances perform on stage
video1506,a band and a woman star in a music video
video5959,a banana peel on the floor
video5398,a ban walking his dog
video5631,a baby boy swats at a toy
video301,a animated character is cooking
video1513,a animated character is automatically drawn
video3107,a animated character holding a gun
video1661,a animated cartoon of fighters
video3799,a animated bomb then a huge explosion
video2011,a animate character is hungry
video2825,a animate character is flying
video4514,a animate character is dancing
video834,a animate character are talking
video1472,a animate character are talking
video5231,a animate character are talking
video4361,a animated character is eating a donut
video6689,a animated character is falling to thee ground
video5906,a animated character is jumping in the snow
video1099,a animated girl is talking to animated boy
video1574,a animated girl is dancing then a purse is dancing at the end it says rhyming time
video3386,a animated girl hit a box with head
video5661,a animated game of soccer being played
video1254,a animated game
video5399,a animated devils are doing immoral
video542,a animated commercial for cereal featuring sugar bear and a crocodile
video6519,a animate character are talking
video2000,a animated clip of spongebob squarepants
video4737,a animated chicken is dancing
video6490,a animated characters are moving
video2196,a animated character wearing a king s crown
video5352,a animated character making a long jump in athletic
video3736,a animated character is talking
video6877,a animated clip from the tv show sponge bob
video5054,a animated girl talking
video4649,a animate character are fighting
video6257,a animal is eating
video5172,a advertisement of doctors
video4680,a advertisement of a tv show
video6483,a advertisement for starry eyes
video4489,a advertisement for beauty diary
video625,a advertisement for angry birds is being shown
video14,a advertisement for a horror movie
video1876,a advertisement about the causes of drink and drive
video4225,a advertisement about something
video5801,a advertisement about a scary movie
video190,a advertisement shows to subscribe to other channels
video4568,a aerial view of a car moving towards army patrol
video5750,a aerial view of a city
video434,a airplane flys by showing a beach
video3142,a android theme of spiderman for your android phone
video6753,a ancient stone of two people who are holding what looks like a labtop
video4368,a anchorwomen reporting on a soccer story
video2296,a an is holding a microphone
video5864,a an is holding a drink and singing
video737,a animal is sitting on the men lap
video1955,a an is giving a lecture
video5542,a an builds a car
video6665,a amn is talking about apple cider vineger
video5457,a amn is giving details about a car
video3731,a alligator is by a bear
video998,a airplane is taking of and a car is driving on the road
video4468,a an is bending his arms
video2452,a baby bull charges a man
video4814,a animated guy wearing glasses is talking while many more animated characters appear
video6356,a animated japanese cartoon
video2966,a artificial food is been showed
video2843,a army scene is going on
video4301,a army chief talking to soldiers
video1175,a anime cartoon of chefs cooking in a kitchen
video6236,a animation scene from a video game
video2849,a animation picture is dancing
video2146,a animation of some kids and a monkey
video2696,a animation of humpty dumpty getting put back together
video3485,a animation of freddy krueger winning in a game
video5276,a animation of candy inventors
video2460,a ate night host interviewing a celebrity
video1818,a athletic pair of people are shown with their stats on display
video1699,a baby animal is being held and is put down next to a dog
video5316,a baby and a toddler on the beach are swept away by waves
video4940,a baby and a dog play with bubbles
video6836,a baby and a cat playing together
video5932,a animation of a scene that involves spongebob squarepants
video4539,a baby and a cat are on a blanket
video469,a baby and a cat are in a bassinet
video2402,a awkward dance scene
video458,a awesome car showing
video1566,a awards show for celebs
video4338,a audience laughing at a lady speaking
video6811,a baby and a cat are interacting with each other
video1141,a animated horse is jumping and running fast
video148,a animation of a person putting another person in a chamber of fire
video2650,a animation of a green germ
video4578,a animated show with songs and dancing letters
video5302,a animated show that takes place in a bar
video2283,a animated show of a mermaid being captured
video5444,a animated scene is going on
video4049,a animated scene is going on
video2529,a animated monkey and little girl watch tv on a couch
video5218,a animated man talking with his ears plugged then another man talking holding a gun
video6913,a animated man running in a street
video6731,a animated man playing golf
video2151,a animated lego bit about the creature from the black lagoon
video6710,a animated kids books on vice news
video933,a animated video
video6775,a animated video about cats and meowing
video4277,a animated video of a popular dance
video2984,a animation of a girl fixing food
video3282,a animation of a cartoon talking about injuries
video394,a animation is talking about liking and commenting a page
video1301,a animation for five nights at freddy s
video6622,a animation about the secret life of pets
video660,a animation about mine craft is shown
video4824,a animated video with an alligator on a hand
video3102,a animated video song
video355,a animated video playing the song twinkle twinkle little star
video5905,a animation asking user to comment like and subscribe 
video1677,a band is performing a song in front of an audience indoors
video2560,a band is performing a song in the studio
video5645,a band is performing a song on stage
video4101,a band is performing a song live
video2171,a boy doing some magic
video2747,a boy doing practice for his dance
video3602,a boy does flips on a trampoline
video3227,a boy does a prankn on his girlfriend
video6532,a boy does a few flips on a trampoline
video4930,a boy does a double front tuck into a foam pit
video3798,a boy does a backflip on a trampoline
video1272,a boy does a back flip on a trampoline
video5561,a boy does a back flip on a trampoline with instructions
video5325,a boy describing minecraft legos
video5406,a boy describes how to do a back flip on a trampoline
video4879,a boy drinking from a can next to a girl
video1775,a boy explaining something on plate
video803,a boy explaining something in the kitchen
video6371,a boy explaining something
video4748,a boy explaining how to do a front flip on a trampoline
video6418,a boy enjoys the spectators with enticing music
video1235,a boy enacts a sceen with spongebob legos
video1015,a boy driving while the passenger is talking
video2854,a boy drinking juice
video5533,a boy describes his lego fortress
video4519,a boy demonstrates playing a video game
video2770,a boy demonstrates how to make a paper star
video4893,a boy break dancing in the street
video5413,a boy bowl the ball and another boy hit the ball
video847,a boy bouncing a basketball
video7004,a boy bounces on the trampoline
video1763,a boy being shown singing
video4630,a boy begins to explain how to edit a picture of ocean waves
video595,a boy begins describing how to stir a pot of food
video2619,a boy band show in different interviews and then shown on-stage before putting on a performance
video4297,a boy band music video
video2441,a boy band is singing on the stage
video3664,a boy breaks his friend s chopsticks after he tells him to admit he did something wrong
video5284,a boy brushes his teeth in a snow covered field
video87,a boy cartoon is doing experiment in chemistry lab and experiment goes wrong and blasted
video4363,a boy demonstrates his drawing abilities
video4281,a boy demonstrates an nfl-themed video game
video5181,a boy dancing on road
video2361,a boy dancing in front of a crowd on the streets
video1316,a boy crouching and looking at an old man then close ups of both
video2837,a boy cries while talking to his dad
video1778,a boy cries on the voice
video1764,a boy cooking in his way around the kitchen
video1317,a boy commentates a wrestling video game
video3482,a boy criticizes his friend s outfit
video6509,a boy falls down and then is seen sleeping in a corner
video699,a boy falls into the toilet
video1214,a boy is demonstrating a toy
video4373,a boy is dancing
video1616,a boy is dancing to a song
video3717,a boy is dancing and singing on the floor
video3138,a boy is dancing and singing
video1722,a boy is cutting with a cutting machine
video2398,a boy is creeping out of a classroom
video984,a boy is covering his ears
video6760,a boy is commentating over a minecraft cat
video5716,a boy is cleaning his face for beauty
video5221,a boy is building something with rubber band and popsicle sticks
video5365,a boy is bouncing in a bouncing net in a outdoor
video5514,a boy is describing a video game
video3603,a boy is describing how to use an audio program
video4768,a boy is exicted while playing at sea shore
video4582,a boy is exercising and doing other crazy stuff after which he shows a hand made paper jet
video2682,a boy is excited after wining a phase in a video game
video217,a boy is eating a popsicle
video5641,a boy is dressed up as a turtle
video722,a boy is being interviewed
video2491,a boy is dressed up as a ghostbuster
video5889,a boy is drawing a spongebob character
video5183,a boy is doing voiceover for lego toys
video5796,a boy is doing video chat
video6379,a boy is doing funny activities on stage
video1299,a boy is doing dance practice
video2490,a boy is digging and looking at worms
video46,a boy is drawing squidward from spongebob squarepants
video423,a boy band is singing and dancing
video4623,a boy giving some plastic bag to the old man
video2562,a boy gives some responses to an overenergetic judge
video2461,a boy gives a girl flowers and walks away
video1367,a boy gets ready to use two pieces of paper that are laying on a table
video5856,a boy gets ready for a flight test with a paper airplane
video5083,a boy gets a virus on his laptop
video4394,a boy friend helping his girl friend to get rid of the wound
video4495,a boy folds paper
video5022,a boy folding a piece of paper
video385,a boy flying a kite
video885,a boy flirting with a girl
video819,a boy flies in an anime cartoon
video2768,a boy flies a kite on a bridge
video5074,a boy guns down elsa
video1279,a boy hangs a picture on wall and then plays guitar seated on couch
video3072,a boy hangs up his backpack
video6468,a boy in the driver s seat of a car
video1152,a boy in a polo shirt plays piano
video2796,a boy in a pink suit sitting in a tube with a dog
video966,a boy in a fireman s suit is driving a toy firetruck
video1671,a boy in a classroom drops a gold can that he s trying to open
video5876,a boy in a car singing
video3319,a boy holds a flag
video6758,a boy holding a guitar
video2787,a boy hits another boy with a plastic bat
video2587,a boy has his basketball shot blocked
video5930,a boy holds a wire on a beach
video365,a boy band describes one of their songs while sitting on a couch
video2202,a boy attaching a wheel to car
video4546,a bowl of water is shown
video6166,a bowl of trail mix then 3 slices of pepperoni pizza are shown
video4042,a bowl of delicious looking food is shown
video3971,a bowl is filled with chicken salad
video481,a bowl is being stirred
video2599,a boulder fell in the spongebob show
video2589,a bottle is being filled
video438,a bottle filled with liquid
video2080,a bot is demonstrating his origami skills
video6890,a box filled with tools
video2277,a box of tools
video3829,a boxer hitting a dummy during a demonstration
video2930,a boy and a girl acting in the movie
video3772,a boy and a girl acting in the movie
video6638,a boy and a girl acting in the movie
video116,a boy and a dad are at an amusement park
video2396,a boy an a girl in front of an audience
video5477,a bookmaker is describing a betting
video5415,a boxing game advertisement is displaying
video3459,a boxer punches a dummy in the face
video1878,a boxer lands a punch on his rival
video3123,a boxer is sitting on a stool in his corner of the ring
video4806,a boxer hitting another during a boxing match in a video game
video1977,a boy a playing with a cat
video5765,a boy and a girl are arguing
video4621,a book about wolves
video6688,a bone spur is shown being drilled
video5590,a boat is sailing on the water
video4041,a boat in grand theft auto
video538,a boat in a lego game shoots missles
video161,a boat full of people fighting
video4249,a boat captain and first mate are steering a ship
video5684,a boardroom political meeting
video972,a board is being shown and people are wrestling
video2672,a board game where guards are eliminated is talked about
video6736,a bmw car is shown first and then two other different brand cars are shown
video1443,a blurry animation of two dogs
video3216,a blue piece of paper is folded
video5225,a blue piece of paper is being folded in half
video2530,a blue man is talking to a scientist
video4881,a blue flame continues to burn in the rain
video4309,a boat rides along the river
video1951,a boat travels along the water
video2872,a boat travels along the water
video605,a bomb is being thrown
video1475,a bomb explodes in a building
video4929,a bomb came out of nowhere trapping the person under a hole
video2579,a bomb blasts and damage 2 cars
video4348,a bollywood trailer depicting a man on a motorbike
video1072,a bollywood star is posing with other people
video590,a bollywood news program with voice-over narration
video2405,a bollywood movie trailer
video3968,a bollywood movie scene with a man on a bed
video7006,a bollywood dance stage program on sony tv in india
video1485,a bollywood actress is posing for cameras
video5508,a boiled potato recipe is given
video4759,a bodybuilder lifts some weights outside
video2969,a bob marley song splayed against photos of police brutality
video3888,a bollywood movie trailer
video746,a boy and a girl are dancing in a car
video3893,a boy and girl talking
video6876,a boy and girl standing on a deck
video6427,a boy and girl sitting next to each other and the boy is talking
video4125,a boy and girl singing on the voice kids
video5720,a boy and girl sing with a cartoon character
video6998,a boy and girl playing with food
video1302,a boy and girl laugh while playing minecraft
video3940,a boy and girl get out of a car
video6869,a boy and girl fall in love
video6332,a boy and girl dance in front of other teens
video6365,a boy and girl are watching a cartoon
video4847,a boy and girl are walking outside in a cartoon
video2739,a boy and girl are together
video2550,a boy and girl talking then the girl kisses the boy on the cheek
video727,a boy and girl talking to one another
video4669,a boy at a table talking about a toy truck
video6329,a boy asks his father if they can go swimming and the father thinks this is a great idea
video3892,a boy apologizes for calling someone a he
video4805,a boy and two girls are playing in the pool
video3640,a boy and girl are talking with each other in an asian language
video2024,a boy and stuffed animals are moving in stop and go format
video3823,a boy and his mother talking to each other
video811,a boy and his horse are finding the super story answer
video1916,a boy and girls is describing the fashion
video1840,a boy and girl watching the frozen son let it go on a monitor in different languages
video5168,a boy and girl walking down the street
video1842,a boy and man talk about drugs
video6121,a boy and girl are talking in the hallway
video3606,a boy and girl are talking about clones
video5357,a boy and a girl entering the new place
video1122,a boy and a girl dancing in a vehicle
video2986,a boy and a girl are watching internet videos
video4445,a boy and a girl are talking while in a car
video3194,a boy and a girl are talking to a crowd
video1843,a boy and a girl are talking in a car
video6453,a boy and a girl are surfing
video5198,a boy and a girl are singing on a stage
video3024,a boy and a girl are singing a parody song
video943,a boy and a girl are pretending to be in the sleeping beauty movie
video2388,a boy and a girl are in the bed
video23,a boy and a girl in a nestea advertisement
video1059,a boy and a girl play in ocean water on small surfboards
video6788,a boy and a girl playing with each other and eating some kind of energy food
video6693,a boy and girl are playing leapfrog
video5095,a boy and girl are laying in bed together
video5592,a boy and girl are having a kiss
video3022,a boy and girl are dangling from a wire
video3886,a boy and girl are cuddling
video3526,a boy and a woman are hugging each other in hall
video2142,a boy and girl are talking in a room
video4261,a boy and a tiger cant go outside because it is raining
video3825,a boy and a man are having a converation
video1286,a boy and a girl walking along
video5274,a boy and a girl sing to each other in a music video
video1829,a boy and a girl plotting against one another
video1029,a boy and a man are sitting and talking
video446,a boy is fishing for fish
video5604,a boy is flying an airplane
video3631,a boy is following a woman and then they hold their hands together in a street
video2657,a boy sings to a cartoon animal which is playing guitar
video6062,a boy sings into a microphone on a stage
video3217,a boy sings into a microphone on a stage
video3585,a boy shows where metadata is in itunes
video4811,a boy showed his concern for poor people
video4673,a boy searching for some item
video6368,a boy safe the money from theft
video4375,a boy swings on a branch towards something they want to check out
video3192,a boy takes a part the battery for his toy
video3308,a boy teaching paper craft
video4379,a boy talks happily about eating ice cream
video4202,a boy talks about his grandparents
video3928,a boy talks about gymnastics while his friend jumps around
video4532,a boy talks about giant mutated rats
video1882,a boy talking with teacher
video3555,a boy talking learning from the internet
video6286,a boy talking in front of the camera
video4874,a boy talking in front of mike
video221,a boy talking about the drums
video2567,a boy talking about star wars
video3691,a boy takes a picture of spongebob
video6873,a boy talking to his friend in a cartoon
video1632,a boy trying to get the attention of some war helicopters
video5763,a boy rides a minibike on helmet cam
video6092,a boy peaks at an elder woman knitting
video4509,a boy met with an accident
video6325,a boy met with an accident
video6558,a boy manipulates a very large rubicks cube
video3505,a boy makes advances on a girl in the car
video172,a boy lays in bed while a doctor tends to him
video1523,a boy knocking on a door
video6451,a boy jumps on the back of another man s motorcycle
video5324,a boy jumps on a sponge bed
video5278,a boy picks up a tin of crackers
video5957,a boy play the gittar
video6392,a boy playing a video game
video5152,a boy removes his shirt to sleep beside a girl to irritate her
video4937,a boy receives applause at a talent show
video6341,a boy rapping while his friend beatboxes
video6857,a boy plays with a toy figure while swiveling its head
video6463,a boy plays with a lizard
video83,a boy playing with a small toy
video868,a boy playing shut up and dance on a guitar
video615,a boy playing minecraft and talking about it
video2301,a boy is wearing sunglasse
video818,a boy trying to say something to others about his experience
video5330,a building is being shown
video4170,a buggy drives on a dirt path
video3864,a bucnh of men are smiling
video6264,a buch of rats are nesting forming a rat king
video340,a brunette woman wearing a light colored full length dress is walking with her arms outstretched
video4981,a brunette cartoon girl is swaying back and forth and raising her hands
video1524,a brunette cartoon girl is swaying back and forth and raising her hands
video4005,a brown-haired woman with glasses talks about eating wheat
video134,a brown-haired woman wearing a white shirt talks to the camera and then lifts up a large black bag
video6369,a brown liquid in one container is poured through a strainer into another container
video6538,a brown horse nods his head
video2503,a building is blowing up and people are protesting
video1848,a building is on fire
video1195,a bulldog puppy attempts to walk on carpet
video2980,a bunch of cars parked on the side of a street
video306,a bunch of car shots
video3816,a bunch of bottles of blue liquid are lined up
video6812,a brown horse jumps over obstacles in slow motion
video2400,a bunch of birds are shown
video4896,a bunch of basketball players are stomping on someone
video2365,a bunch of anthropomorphic cartoon characters are talking
video1492,a bunch of animated characters are gathered around a track
video4908,a bunch of animal cartoon talking to each other
video3366,a bulldoser game paly in an computer
video6534,a brown horse is jumping over some hurdles
video642,a bride and groom are dancing
video5978,a bride and a groom are doing a dance in the middle of the floor
video2112,a bridal couple dance together
video2794,a brawl breaks out outside
video3274,a boy with a sandwich head finds himself alone in a convenience store
video1520,a boy with a mop and a bucket
video4156,a boy with a headset speaks of the video game he is playing
video3027,a boy wearing a hat
video5360,a boy walking with his mother
video5551,a boy walking with his mother
video2125,a boy walking with his mother
video1508,a boy walking with his mother
video2025,a bride and groom sing
video706,a bride and groom walk down an aisle
video3202,a bride and his groom together on an indian tv show
video3952,a bride is reading her vows
video6404,a brown car is driving away from a man
video4448,a broadcaster is narrating what is happening in a video game
video2026,a broadcaster is describing justin buchanan as the worst person in the sports world
video1542,a british soccer coach leading his team into practice
video1212,a british reporter discussing editing of material
video1511,a british man is throwing a shotput
video1228,a british man is talking on a gameshow
video2263,a british guy playing angry birds
video452,a british guy is talking about another kid
video545,a bright creature in a bubble bounces through pink stars
video708,a brief recap is shown of an indoor wrestling match
video3909,a brief preview of pirates of the caribbean including a scene where captain jack sparrow is being dragged by british guards
video1687,a brief background about a muslim cleric
video6342,a british man is describing what material he is using for a project
video4529,a blue ceramic flower is filled with yellow paint
video6887,a boy is walking
video1544,a boy is playing in a classroom
video2905,a boy is playing a video game
video4471,a boy is playing a video game
video5903,a boy is playing a piano in home
video1057,a boy is playing a drum set
video6919,a boy is playing a brass instrument
video2429,a boy is performing on stage for an audience
video5171,a boy is performing on american idol
video1535,a boy is playing in a yard
video463,a boy is playing mine craft the video game
video6035,a boy is playing minecraft and is looking for his opponent
video6270,a boy is playing minecraft
video3571,a boy is pointing
video397,a boy is playing with spongebob figurines
video2896,a boy is playing with play-doh and spongebob toys
video1421,a boy is playing with minecraft lego
video3873,a boy is playing with legos
video3420,a boy is performing for an audience
video3176,a boy is playing with lego pirates
video1588,a boy is playing with a lego ship
video4403,a boy is playing video game violently
video2496,a boy is playing tug of war
video6031,a boy is playing piano
video3139,a boy is playing on the floor while his family sits around
video1161,a boy is performing a song on the voice
video1669,a boy is is singing on the voice
video1243,a boy is in a music video
video5954,a boy is holding jeans
video3543,a boy is holding a wolf puppy
video1615,a boy is holding a magnifying glass
video223,a boy is having conversation with a man
video257,a boy is grabbing cookies off the shelf
video3438,a boy is jumping
video4740,a boy is jumping on a trampoline
video4351,a boy is jumping on a trampoline outside
video1760,a boy is performing a song on the voice
