video_id,sentence,ground_truth,top1,top5,top10,top10_raw_res
3830,a cartoon dog is holding binoculars,3830,"[[3830, 1.357851505279541]]","[[3830, 1.357851505279541], [9734, 1.362546443939209], [7338, 1.3717305660247803], [3777, 1.4237914085388184], [3842, 1.423799753189087]]","[[3830, 1.357851505279541], [9734, 1.362546443939209], [7338, 1.3717305660247803], [3777, 1.4237914085388184], [3842, 1.423799753189087], [376, 1.4315388202667236], [3907, 1.4367645978927612], [5839, 1.4461567401885986], [9580, 1.4516704082489014], [2193, 1.455346703529358]]","[[3830, 1.357851505279541], [9734, 1.362546443939209], [7338, 1.3717305660247803], [3777, 1.4237914085388184], [3842, 1.423799753189087], [376, 1.4315388202667236], [3907, 1.4367645978927612], [5839, 1.4461567401885986], [9580, 1.4516704082489014], [2193, 1.455346703529358]]"
5249,a band is performing a song on stage,5249,"[[4267, 1.4152029752731323]]","[[4267, 1.4152029752731323], [8324, 1.4244630336761475], [8926, 1.4348379373550415], [1586, 1.4359211921691895], [9243, 1.4376375675201416]]","[[4267, 1.4152029752731323], [8324, 1.4244630336761475], [8926, 1.4348379373550415], [1586, 1.4359211921691895], [9243, 1.4376375675201416], [964, 1.438739538192749], [7461, 1.4387753009796143], [565, 1.4415771961212158], [4314, 1.4425928592681885], [8925, 1.4428253173828125]]","[[4267, 1.4152029752731323], [8324, 1.4244630336761475], [8926, 1.4348379373550415], [1586, 1.4359211921691895], [9243, 1.4376375675201416], [964, 1.438739538192749], [7461, 1.4387753009796143], [565, 1.4415771961212158], [4314, 1.4425928592681885], [8925, 1.4428253173828125]]"
923,a cartoon character flies around,923,"[[6331, 1.434370756149292]]","[[6331, 1.434370756149292], [9116, 1.450437307357788], [9981, 1.4509658813476562], [9584, 1.4525697231292725], [9133, 1.4535002708435059]]","[[6331, 1.434370756149292], [9116, 1.450437307357788], [9981, 1.4509658813476562], [9584, 1.4525697231292725], [9133, 1.4535002708435059], [5362, 1.457118034362793], [923, 1.4593391418457031], [9772, 1.4614685773849487], [7841, 1.4645692110061646], [9990, 1.4646430015563965]]","[[6331, 1.434370756149292], [9116, 1.450437307357788], [9981, 1.4509658813476562], [9584, 1.4525697231292725], [9133, 1.4535002708435059], [5362, 1.457118034362793], [923, 1.4593391418457031], [9772, 1.4614685773849487], [7841, 1.4645692110061646], [9990, 1.4646430015563965]]"
6968,a girl is throwing away folded clothes,6968,"[[8987, 1.429809331893921]]","[[8987, 1.429809331893921], [661, 1.4398291110992432], [8635, 1.4410640001296997], [8550, 1.4466547966003418], [2204, 1.4480656385421753]]","[[8987, 1.429809331893921], [661, 1.4398291110992432], [8635, 1.4410640001296997], [8550, 1.4466547966003418], [2204, 1.4480656385421753], [1047, 1.4528590440750122], [1853, 1.4566010236740112], [9250, 1.4639012813568115], [6968, 1.4693796634674072], [6903, 1.4705615043640137]]","[[8987, 1.429809331893921], [661, 1.4398291110992432], [8635, 1.4410640001296997], [8550, 1.4466547966003418], [2204, 1.4480656385421753], [1047, 1.4528590440750122], [1853, 1.4566010236740112], [9250, 1.4639012813568115], [6968, 1.4693796634674072], [6903, 1.4705615043640137]]"
2201,a  cartoon star person,2201,"[[2201, 1.4059966802597046]]","[[2201, 1.4059966802597046], [9085, 1.4064797163009644], [1920, 1.4278442859649658], [8615, 1.4314035177230835], [5080, 1.439255714416504]]","[[2201, 1.4059966802597046], [9085, 1.4064797163009644], [1920, 1.4278442859649658], [8615, 1.4314035177230835], [5080, 1.439255714416504], [6137, 1.4406874179840088], [521, 1.4483264684677124], [7324, 1.4555106163024902], [711, 1.4584834575653076], [5894, 1.4620521068572998]]","[[2201, 1.4059966802597046], [9085, 1.4064797163009644], [1920, 1.4278442859649658], [8615, 1.4314035177230835], [5080, 1.439255714416504], [6137, 1.4406874179840088], [521, 1.4483264684677124], [7324, 1.4555106163024902], [711, 1.4584834575653076], [5894, 1.4620521068572998]]"
106,7 kids on a back deck at a party singing about something,106,"[[106, 1.3398956060409546]]","[[106, 1.3398956060409546], [3384, 1.3442802429199219], [3570, 1.424397587776184], [5156, 1.4297407865524292], [3295, 1.4477109909057617]]","[[106, 1.3398956060409546], [3384, 1.3442802429199219], [3570, 1.424397587776184], [5156, 1.4297407865524292], [3295, 1.4477109909057617], [9101, 1.4584314823150635], [3449, 1.4646856784820557], [5720, 1.4733350276947021], [6341, 1.4781312942504883], [8556, 1.4870407581329346]]","[[106, 1.3398956060409546], [3384, 1.3442802429199219], [3570, 1.424397587776184], [5156, 1.4297407865524292], [3295, 1.4477109909057617], [9101, 1.4584314823150635], [3449, 1.4646856784820557], [5720, 1.4733350276947021], [6341, 1.4781312942504883], [8556, 1.4870407581329346]]"
1835,70 s  band performing live,1835,"[[4267, 1.339343547821045]]","[[4267, 1.339343547821045], [869, 1.368387222290039], [5759, 1.3808794021606445], [2482, 1.3887667655944824], [8324, 1.3897080421447754]]","[[4267, 1.339343547821045], [869, 1.368387222290039], [5759, 1.3808794021606445], [2482, 1.3887667655944824], [8324, 1.3897080421447754], [2504, 1.3930401802062988], [8926, 1.3986847400665283], [4710, 1.4016140699386597], [4482, 1.407114028930664], [1835, 1.4080601930618286]]","[[4267, 1.339343547821045], [869, 1.368387222290039], [5759, 1.3808794021606445], [2482, 1.3887667655944824], [8324, 1.3897080421447754], [2504, 1.3930401802062988], [8926, 1.3986847400665283], [4710, 1.4016140699386597], [4482, 1.407114028930664], [1835, 1.4080601930618286]]"
349,a  bunch of people on tiny motorcycles in a race,349,"[[374, 1.3365410566329956]]","[[374, 1.3365410566329956], [349, 1.3426051139831543], [1707, 1.372531771659851], [3917, 1.3842867612838745], [3080, 1.3854882717132568]]","[[374, 1.3365410566329956], [349, 1.3426051139831543], [1707, 1.372531771659851], [3917, 1.3842867612838745], [3080, 1.3854882717132568], [3016, 1.4207731485366821], [6653, 1.4281854629516602], [9017, 1.429225206375122], [7307, 1.429569125175476], [1795, 1.4485414028167725]]","[[374, 1.3365410566329956], [349, 1.3426051139831543], [1707, 1.372531771659851], [3917, 1.3842867612838745], [3080, 1.3854882717132568], [3016, 1.4207731485366821], [6653, 1.4281854629516602], [9017, 1.429225206375122], [7307, 1.429569125175476], [1795, 1.4485414028167725]]"
1968,a  boy jumps on a trampoline,1968,"[[4748, 1.3673431873321533]]","[[4748, 1.3673431873321533], [9276, 1.3703559637069702], [1272, 1.3776899576187134], [6532, 1.386167049407959], [3798, 1.3891355991363525]]","[[4748, 1.3673431873321533], [9276, 1.3703559637069702], [1272, 1.3776899576187134], [6532, 1.386167049407959], [3798, 1.3891355991363525], [5365, 1.3927271366119385], [8961, 1.3957240581512451], [7004, 1.401282787322998], [4930, 1.4041229486465454], [4740, 1.4059205055236816]]","[[4748, 1.3673431873321533], [9276, 1.3703559637069702], [1272, 1.3776899576187134], [6532, 1.386167049407959], [3798, 1.3891355991363525], [5365, 1.3927271366119385], [8961, 1.3957240581512451], [7004, 1.401282787322998], [4930, 1.4041229486465454], [4740, 1.4059205055236816]]"
6541,a  comparison of two opposing team football athletes,6541,"[[1949, 1.436827540397644]]","[[1949, 1.436827540397644], [778, 1.441367506980896], [6541, 1.4483458995819092], [1342, 1.4555213451385498], [7322, 1.4569069147109985]]","[[1949, 1.436827540397644], [778, 1.441367506980896], [6541, 1.4483458995819092], [1342, 1.4555213451385498], [7322, 1.4569069147109985], [3894, 1.4592621326446533], [5530, 1.4610825777053833], [1211, 1.4619415998458862], [3018, 1.462916374206543], [6963, 1.4634461402893066]]","[[1949, 1.436827540397644], [778, 1.441367506980896], [6541, 1.4483458995819092], [1342, 1.4555213451385498], [7322, 1.4569069147109985], [3894, 1.4592621326446533], [5530, 1.4610825777053833], [1211, 1.4619415998458862], [3018, 1.462916374206543], [6963, 1.4634461402893066]]"
3615,a  and  tasty and delicious dish,3615,"[[1213, 1.4532406330108643]]","[[1213, 1.4532406330108643], [9748, 1.4547117948532104], [274, 1.45780348777771], [4042, 1.460337519645691], [1961, 1.462545394897461]]","[[1213, 1.4532406330108643], [9748, 1.4547117948532104], [274, 1.45780348777771], [4042, 1.460337519645691], [1961, 1.462545394897461], [1777, 1.4652044773101807], [3971, 1.4663838148117065], [4946, 1.4671213626861572], [4424, 1.4676748514175415], [7434, 1.4687442779541016]]","[[1213, 1.4532406330108643], [9748, 1.4547117948532104], [274, 1.45780348777771], [4042, 1.460337519645691], [1961, 1.462545394897461], [1777, 1.4652044773101807], [3971, 1.4663838148117065], [4946, 1.4671213626861572], [4424, 1.4676748514175415], [7434, 1.4687442779541016]]"
1217,a  couple photographs of a model,1217,"[[7301, 1.3895790576934814]]","[[7301, 1.3895790576934814], [2187, 1.3992974758148193], [7195, 1.4095261096954346], [1979, 1.411276936531067], [5157, 1.4141559600830078]]","[[7301, 1.3895790576934814], [2187, 1.3992974758148193], [7195, 1.4095261096954346], [1979, 1.411276936531067], [5157, 1.4141559600830078], [5556, 1.4156266450881958], [1650, 1.4157869815826416], [1774, 1.4179141521453857], [3301, 1.4185972213745117], [132, 1.4206401109695435]]","[[7301, 1.3895790576934814], [2187, 1.3992974758148193], [7195, 1.4095261096954346], [1979, 1.411276936531067], [5157, 1.4141559600830078], [5556, 1.4156266450881958], [1650, 1.4157869815826416], [1774, 1.4179141521453857], [3301, 1.4185972213745117], [132, 1.4206401109695435]]"
4419,a  larger woman shows off her red dress while standing on a pier,4419,"[[4419, 1.2807081937789917]]","[[4419, 1.2807081937789917], [3870, 1.439632773399353], [324, 1.4463167190551758], [4834, 1.4505621194839478], [8189, 1.5024590492248535]]","[[4419, 1.2807081937789917], [3870, 1.439632773399353], [324, 1.4463167190551758], [4834, 1.4505621194839478], [8189, 1.5024590492248535], [7195, 1.5180652141571045], [8966, 1.5214877128601074], [6814, 1.525911808013916], [8286, 1.5399104356765747], [7803, 1.5441429615020752]]","[[4419, 1.2807081937789917], [3870, 1.439632773399353], [324, 1.4463167190551758], [4834, 1.4505621194839478], [8189, 1.5024590492248535], [7195, 1.5180652141571045], [8966, 1.5214877128601074], [6814, 1.525911808013916], [8286, 1.5399104356765747], [7803, 1.5441429615020752]]"
177,a  guy flexing his arms,177,"[[7609, 1.4377915859222412]]","[[7609, 1.4377915859222412], [7034, 1.456383228302002], [3233, 1.4608112573623657], [2291, 1.4610743522644043], [8801, 1.4632394313812256]]","[[7609, 1.4377915859222412], [7034, 1.456383228302002], [3233, 1.4608112573623657], [2291, 1.4610743522644043], [8801, 1.4632394313812256], [6220, 1.4745287895202637], [8552, 1.478211760520935], [7770, 1.4922252893447876], [9764, 1.4966943264007568], [2747, 1.4975004196166992]]","[[7609, 1.4377915859222412], [7034, 1.456383228302002], [3233, 1.4608112573623657], [2291, 1.4610743522644043], [8801, 1.4632394313812256], [6220, 1.4745287895202637], [8552, 1.478211760520935], [7770, 1.4922252893447876], [9764, 1.4966943264007568], [2747, 1.4975004196166992]]"
3932,a  person is folding paper,3932,"[[5898, 1.4298769235610962]]","[[5898, 1.4298769235610962], [1514, 1.4343948364257812], [3216, 1.4345972537994385], [8852, 1.4366804361343384], [9401, 1.4381667375564575]]","[[5898, 1.4298769235610962], [1514, 1.4343948364257812], [3216, 1.4345972537994385], [8852, 1.4366804361343384], [9401, 1.4381667375564575], [9952, 1.4402165412902832], [5099, 1.4447979927062988], [731, 1.444989562034607], [8002, 1.445070505142212], [4265, 1.4455591440200806]]","[[5898, 1.4298769235610962], [1514, 1.4343948364257812], [3216, 1.4345972537994385], [8852, 1.4366804361343384], [9401, 1.4381667375564575], [9952, 1.4402165412902832], [5099, 1.4447979927062988], [731, 1.444989562034607], [8002, 1.445070505142212], [4265, 1.4455591440200806]]"
24,a  man is driving a car,24,"[[8971, 1.4255331754684448]]","[[8971, 1.4255331754684448], [6344, 1.4372854232788086], [1682, 1.43748140335083], [2947, 1.4378750324249268], [8455, 1.4431688785552979]]","[[8971, 1.4255331754684448], [6344, 1.4372854232788086], [1682, 1.43748140335083], [2947, 1.4378750324249268], [8455, 1.4431688785552979], [7098, 1.4437733888626099], [5593, 1.4444879293441772], [189, 1.4473042488098145], [5733, 1.4489878416061401], [2393, 1.4499998092651367]]","[[8971, 1.4255331754684448], [6344, 1.4372854232788086], [1682, 1.43748140335083], [2947, 1.4378750324249268], [8455, 1.4431688785552979], [7098, 1.4437733888626099], [5593, 1.4444879293441772], [189, 1.4473042488098145], [5733, 1.4489878416061401], [2393, 1.4499998092651367]]"
5690,a  man interviewing a woman,5690,"[[2645, 1.3979370594024658]]","[[2645, 1.3979370594024658], [5700, 1.4219863414764404], [5865, 1.4345955848693848], [5371, 1.4357502460479736], [6303, 1.4375196695327759]]","[[2645, 1.3979370594024658], [5700, 1.4219863414764404], [5865, 1.4345955848693848], [5371, 1.4357502460479736], [6303, 1.4375196695327759], [5388, 1.4390130043029785], [7497, 1.4596120119094849], [6531, 1.4650226831436157], [5440, 1.4653010368347168], [8136, 1.4667952060699463]]","[[2645, 1.3979370594024658], [5700, 1.4219863414764404], [5865, 1.4345955848693848], [5371, 1.4357502460479736], [6303, 1.4375196695327759], [5388, 1.4390130043029785], [7497, 1.4596120119094849], [6531, 1.4650226831436157], [5440, 1.4653010368347168], [8136, 1.4667952060699463]]"
6568,a  man and woman get romantic in this bud light ad,6568,"[[6568, 1.4182064533233643]]","[[6568, 1.4182064533233643], [6592, 1.4285533428192139], [4107, 1.439034104347229], [995, 1.4394097328186035], [1643, 1.4502443075180054]]","[[6568, 1.4182064533233643], [6592, 1.4285533428192139], [4107, 1.439034104347229], [995, 1.4394097328186035], [1643, 1.4502443075180054], [8632, 1.4594318866729736], [6892, 1.4607481956481934], [1515, 1.46280837059021], [6443, 1.4772378206253052], [2098, 1.4779975414276123]]","[[6568, 1.4182064533233643], [6592, 1.4285533428192139], [4107, 1.439034104347229], [995, 1.4394097328186035], [1643, 1.4502443075180054], [8632, 1.4594318866729736], [6892, 1.4607481956481934], [1515, 1.46280837059021], [6443, 1.4772378206253052], [2098, 1.4779975414276123]]"
5658,4th of july fireworks,5658,"[[5925, 1.3896546363830566]]","[[5925, 1.3896546363830566], [5366, 1.3900036811828613], [909, 1.3905190229415894], [8094, 1.415050983428955], [6012, 1.4170925617218018]]","[[5925, 1.3896546363830566], [5366, 1.3900036811828613], [909, 1.3905190229415894], [8094, 1.415050983428955], [6012, 1.4170925617218018], [5658, 1.4171444177627563], [6910, 1.4217324256896973], [7761, 1.4272162914276123], [8798, 1.4287822246551514], [3518, 1.4334945678710938]]","[[5925, 1.3896546363830566], [5366, 1.3900036811828613], [909, 1.3905190229415894], [8094, 1.415050983428955], [6012, 1.4170925617218018], [5658, 1.4171444177627563], [6910, 1.4217324256896973], [7761, 1.4272162914276123], [8798, 1.4287822246551514], [3518, 1.4334945678710938]]"
1893,4th of july fireworks,1893,"[[5925, 1.3896546363830566]]","[[5925, 1.3896546363830566], [5366, 1.3900036811828613], [909, 1.3905190229415894], [8094, 1.415050983428955], [6012, 1.4170925617218018]]","[[5925, 1.3896546363830566], [5366, 1.3900036811828613], [909, 1.3905190229415894], [8094, 1.415050983428955], [6012, 1.4170925617218018], [5658, 1.4171444177627563], [6910, 1.4217324256896973], [7761, 1.4272162914276123], [8798, 1.4287822246551514], [3518, 1.4334945678710938]]","[[5925, 1.3896546363830566], [5366, 1.3900036811828613], [909, 1.3905190229415894], [8094, 1.415050983428955], [6012, 1.4170925617218018], [5658, 1.4171444177627563], [6910, 1.4217324256896973], [7761, 1.4272162914276123], [8798, 1.4287822246551514], [3518, 1.4334945678710938]]"
3494,3d animation where boy tries to kiss sleeping girl,3494,"[[3494, 1.3518959283828735]]","[[3494, 1.3518959283828735], [9506, 1.4198521375656128], [7222, 1.4419928789138794], [7365, 1.4435954093933105], [7682, 1.4681663513183594]]","[[3494, 1.3518959283828735], [9506, 1.4198521375656128], [7222, 1.4419928789138794], [7365, 1.4435954093933105], [7682, 1.4681663513183594], [8933, 1.4877312183380127], [8376, 1.4937374591827393], [3022, 1.5044753551483154], [3538, 1.515942096710205], [8911, 1.5216645002365112]]","[[3494, 1.3518959283828735], [9506, 1.4198521375656128], [7222, 1.4419928789138794], [7365, 1.4435954093933105], [7682, 1.4681663513183594], [8933, 1.4877312183380127], [8376, 1.4937374591827393], [3022, 1.5044753551483154], [3538, 1.515942096710205], [8911, 1.5216645002365112]]"
2134,3d animation video clip with toddlers and a robot,2134,"[[2134, 1.442845106124878]]","[[2134, 1.442845106124878], [7365, 1.447589635848999], [267, 1.4579660892486572], [9092, 1.472709059715271], [3366, 1.4845904111862183]]","[[2134, 1.442845106124878], [7365, 1.447589635848999], [267, 1.4579660892486572], [9092, 1.472709059715271], [3366, 1.4845904111862183], [8140, 1.4868249893188477], [4332, 1.4885424375534058], [9396, 1.4950909614562988], [7179, 1.4977748394012451], [5654, 1.5002307891845703]]","[[2134, 1.442845106124878], [7365, 1.447589635848999], [267, 1.4579660892486572], [9092, 1.472709059715271], [3366, 1.4845904111862183], [8140, 1.4868249893188477], [4332, 1.4885424375534058], [9396, 1.4950909614562988], [7179, 1.4977748394012451], [5654, 1.5002307891845703]]"
1361,3d animation singing children s song,1361,"[[7185, 1.4150010347366333]]","[[7185, 1.4150010347366333], [711, 1.4167956113815308], [1501, 1.426674723625183], [9856, 1.430006742477417], [8140, 1.4406836032867432]]","[[7185, 1.4150010347366333], [711, 1.4167956113815308], [1501, 1.426674723625183], [9856, 1.430006742477417], [8140, 1.4406836032867432], [8997, 1.4408504962921143], [1606, 1.4413163661956787], [1524, 1.446596384048462], [4332, 1.4477808475494385], [7136, 1.4483513832092285]]","[[7185, 1.4150010347366333], [711, 1.4167956113815308], [1501, 1.426674723625183], [9856, 1.430006742477417], [8140, 1.4406836032867432], [8997, 1.4408504962921143], [1606, 1.4413163661956787], [1524, 1.446596384048462], [4332, 1.4477808475494385], [7136, 1.4483513832092285]]"
2102,3d animation sequence involving violence and blood,2102,"[[1491, 1.3263278007507324]]","[[1491, 1.3263278007507324], [2102, 1.3566583395004272], [232, 1.358022689819336], [6825, 1.363378643989563], [9035, 1.3691048622131348]]","[[1491, 1.3263278007507324], [2102, 1.3566583395004272], [232, 1.358022689819336], [6825, 1.363378643989563], [9035, 1.3691048622131348], [4395, 1.3760733604431152], [4649, 1.3834141492843628], [7809, 1.3851925134658813], [3093, 1.3892500400543213], [9400, 1.3985300064086914]]","[[1491, 1.3263278007507324], [2102, 1.3566583395004272], [232, 1.358022689819336], [6825, 1.363378643989563], [9035, 1.3691048622131348], [4395, 1.3760733604431152], [4649, 1.3834141492843628], [7809, 1.3851925134658813], [3093, 1.3892500400543213], [9400, 1.3985300064086914]]"
3722,3d animation of mother putting daughter to sleep,3722,"[[3494, 1.4194645881652832]]","[[3494, 1.4194645881652832], [7179, 1.4736621379852295], [800, 1.4794354438781738], [9506, 1.4866424798965454], [8933, 1.4931398630142212]]","[[3494, 1.4194645881652832], [7179, 1.4736621379852295], [800, 1.4794354438781738], [9506, 1.4866424798965454], [8933, 1.4931398630142212], [3538, 1.497786045074463], [1068, 1.502171516418457], [8140, 1.5059351921081543], [7365, 1.5062922239303589], [1307, 1.5116935968399048]]","[[3494, 1.4194645881652832], [7179, 1.4736621379852295], [800, 1.4794354438781738], [9506, 1.4866424798965454], [8933, 1.4931398630142212], [3538, 1.497786045074463], [1068, 1.502171516418457], [8140, 1.5059351921081543], [7365, 1.5062922239303589], [1307, 1.5116935968399048]]"
