video_id,sentence,ground_truth,top1,top5,top10,top10_raw_res
2960,a weasel runs around in an icy cave,2960,"[[9460, 1.4628686904907227]]","[[9460, 1.4628686904907227], [8493, 1.4799386262893677], [6007, 1.5049275159835815], [2309, 1.5085290670394897], [5773, 1.5108425617218018]]","[[9460, 1.4628686904907227], [8493, 1.4799386262893677], [6007, 1.5049275159835815], [2309, 1.5085290670394897], [5773, 1.5108425617218018], [4014, 1.5131027698516846], [6348, 1.5345582962036133], [2948, 1.5434143543243408], [6978, 1.5459543466567993], [9620, 1.5494956970214844]]","[[9460, 1.4628686904907227], [8493, 1.4799386262893677], [6007, 1.5049275159835815], [2309, 1.5085290670394897], [5773, 1.5108425617218018], [4014, 1.5131027698516846], [6348, 1.5345582962036133], [2948, 1.5434143543243408], [6978, 1.5459543466567993], [9620, 1.5494956970214844]]"
2960,a video game of a small animal,2960,"[[4277, 1.4287528991699219]]","[[4277, 1.4287528991699219], [6236, 1.4375556707382202], [6790, 1.4389581680297852], [5480, 1.4399230480194092], [8203, 1.4402539730072021]]","[[4277, 1.4287528991699219], [6236, 1.4375556707382202], [6790, 1.4389581680297852], [5480, 1.4399230480194092], [8203, 1.4402539730072021], [4231, 1.445756196975708], [4387, 1.4465739727020264], [3713, 1.44732666015625], [7798, 1.4478321075439453], [3121, 1.4482035636901855]]","[[4277, 1.4287528991699219], [6236, 1.4375556707382202], [6790, 1.4389581680297852], [5480, 1.4399230480194092], [8203, 1.4402539730072021], [4231, 1.445756196975708], [4387, 1.4465739727020264], [3713, 1.44732666015625], [7798, 1.4478321075439453], [3121, 1.4482035636901855]]"
2960,a cartoon animals runs through an ice cave in a video game,2960,"[[8203, 1.3518543243408203]]","[[8203, 1.3518543243408203], [2960, 1.3743010759353638], [3121, 1.458393931388855], [1742, 1.4631893634796143], [2874, 1.4642057418823242]]","[[8203, 1.3518543243408203], [2960, 1.3743010759353638], [3121, 1.458393931388855], [1742, 1.4631893634796143], [2874, 1.4642057418823242], [4462, 1.468991756439209], [7821, 1.4724347591400146], [5744, 1.476823329925537], [8567, 1.4791474342346191], [3713, 1.4855239391326904]]","[[8203, 1.3518543243408203], [2960, 1.3743010759353638], [3121, 1.458393931388855], [1742, 1.4631893634796143], [2874, 1.4642057418823242], [4462, 1.468991756439209], [7821, 1.4724347591400146], [5744, 1.476823329925537], [8567, 1.4791474342346191], [3713, 1.4855239391326904]]"
2960,a cartoon character runs around inside of a video game,2960,"[[4462, 1.420356273651123]]","[[4462, 1.420356273651123], [6841, 1.4255818128585815], [1368, 1.4360970258712769], [3135, 1.4391367435455322], [2874, 1.4413526058197021]]","[[4462, 1.420356273651123], [6841, 1.4255818128585815], [1368, 1.4360970258712769], [3135, 1.4391367435455322], [2874, 1.4413526058197021], [6790, 1.4463608264923096], [8203, 1.448087215423584], [789, 1.44866943359375], [2621, 1.4509391784667969], [1742, 1.4511728286743164]]","[[4462, 1.420356273651123], [6841, 1.4255818128585815], [1368, 1.4360970258712769], [3135, 1.4391367435455322], [2874, 1.4413526058197021], [6790, 1.4463608264923096], [8203, 1.448087215423584], [789, 1.44866943359375], [2621, 1.4509391784667969], [1742, 1.4511728286743164]]"
2636,a man gets hit in the face with a chair during a wwf wrestling match,2636,"[[2636, 1.3602731227874756]]","[[2636, 1.3602731227874756], [4774, 1.3791619539260864], [9847, 1.3864306211471558], [9636, 1.399008870124817], [8279, 1.408244013786316]]","[[2636, 1.3602731227874756], [4774, 1.3791619539260864], [9847, 1.3864306211471558], [9636, 1.399008870124817], [8279, 1.408244013786316], [9166, 1.4213165044784546], [1007, 1.4229460954666138], [1761, 1.4317041635513306], [4942, 1.4318201541900635], [4778, 1.4341152906417847]]","[[2636, 1.3602731227874756], [4774, 1.3791619539260864], [9847, 1.3864306211471558], [9636, 1.399008870124817], [8279, 1.408244013786316], [9166, 1.4213165044784546], [1007, 1.4229460954666138], [1761, 1.4317041635513306], [4942, 1.4318201541900635], [4778, 1.4341152906417847]]"
2636,a man has his head ran into a metal tray in a wrestling match,2636,"[[4774, 1.421290397644043]]","[[4774, 1.421290397644043], [2636, 1.4291568994522095], [7523, 1.4447660446166992], [1628, 1.4462265968322754], [8279, 1.449869990348816]]","[[4774, 1.421290397644043], [2636, 1.4291568994522095], [7523, 1.4447660446166992], [1628, 1.4462265968322754], [8279, 1.449869990348816], [1857, 1.4516944885253906], [4942, 1.4577020406723022], [1007, 1.4581828117370605], [2212, 1.4602447748184204], [4082, 1.4647581577301025]]","[[4774, 1.421290397644043], [2636, 1.4291568994522095], [7523, 1.4447660446166992], [1628, 1.4462265968322754], [8279, 1.449869990348816], [1857, 1.4516944885253906], [4942, 1.4577020406723022], [1007, 1.4581828117370605], [2212, 1.4602447748184204], [4082, 1.4647581577301025]]"
2636,a man hit another man with a chair in a wrestling ring and then is pinning him,2636,"[[2636, 1.3931851387023926]]","[[2636, 1.3931851387023926], [4778, 1.4044146537780762], [9847, 1.4109470844268799], [2212, 1.4135115146636963], [4774, 1.4179669618606567]]","[[2636, 1.3931851387023926], [4778, 1.4044146537780762], [9847, 1.4109470844268799], [2212, 1.4135115146636963], [4774, 1.4179669618606567], [9636, 1.4199278354644775], [8279, 1.420030117034912], [743, 1.4217946529388428], [5612, 1.425903558731079], [1007, 1.4296767711639404]]","[[2636, 1.3931851387023926], [4778, 1.4044146537780762], [9847, 1.4109470844268799], [2212, 1.4135115146636963], [4774, 1.4179669618606567], [9636, 1.4199278354644775], [8279, 1.420030117034912], [743, 1.4217946529388428], [5612, 1.425903558731079], [1007, 1.4296767711639404]]"
2636,a man is hit with a trashcan lid,2636,"[[9767, 1.4030146598815918]]","[[9767, 1.4030146598815918], [3228, 1.4513336420059204], [245, 1.4588440656661987], [9444, 1.4676127433776855], [794, 1.4706188440322876]]","[[9767, 1.4030146598815918], [3228, 1.4513336420059204], [245, 1.4588440656661987], [9444, 1.4676127433776855], [794, 1.4706188440322876], [9978, 1.473942518234253], [414, 1.487239956855774], [1449, 1.4876704216003418], [9721, 1.4897772073745728], [5069, 1.4917542934417725]]","[[9767, 1.4030146598815918], [3228, 1.4513336420059204], [245, 1.4588440656661987], [9444, 1.4676127433776855], [794, 1.4706188440322876], [9978, 1.473942518234253], [414, 1.487239956855774], [1449, 1.4876704216003418], [9721, 1.4897772073745728], [5069, 1.4917542934417725]]"
2636,a man is hitting another man with chair in wwf,2636,"[[2636, 1.3810923099517822]]","[[2636, 1.3810923099517822], [4774, 1.4051337242126465], [1761, 1.406059980392456], [9847, 1.4110466241836548], [9636, 1.4137808084487915]]","[[2636, 1.3810923099517822], [4774, 1.4051337242126465], [1761, 1.406059980392456], [9847, 1.4110466241836548], [9636, 1.4137808084487915], [1317, 1.4207899570465088], [9166, 1.425203561782837], [4645, 1.4265398979187012], [2970, 1.4274131059646606], [1007, 1.4325708150863647]]","[[2636, 1.3810923099517822], [4774, 1.4051337242126465], [1761, 1.406059980392456], [9847, 1.4110466241836548], [9636, 1.4137808084487915], [1317, 1.4207899570465088], [9166, 1.425203561782837], [4645, 1.4265398979187012], [2970, 1.4274131059646606], [1007, 1.4325708150863647]]"
2636,a man narrates a wf match between two men in a wrestling ring,2636,"[[910, 1.4285579919815063]]","[[910, 1.4285579919815063], [5612, 1.433259129524231], [1007, 1.43479323387146], [4774, 1.4363740682601929], [8763, 1.4379067420959473]]","[[910, 1.4285579919815063], [5612, 1.433259129524231], [1007, 1.43479323387146], [4774, 1.4363740682601929], [8763, 1.4379067420959473], [8279, 1.442616581916809], [8440, 1.4434890747070312], [9166, 1.4464051723480225], [215, 1.448786735534668], [6701, 1.449369192123413]]","[[910, 1.4285579919815063], [5612, 1.433259129524231], [1007, 1.43479323387146], [4774, 1.4363740682601929], [8763, 1.4379067420959473], [8279, 1.442616581916809], [8440, 1.4434890747070312], [9166, 1.4464051723480225], [215, 1.448786735534668], [6701, 1.449369192123413]]"
2636,it is a wrestling show,2636,"[[1007, 1.430194616317749]]","[[1007, 1.430194616317749], [4774, 1.4310542345046997], [8440, 1.4313409328460693], [8763, 1.4397648572921753], [8641, 1.4418470859527588]]","[[1007, 1.430194616317749], [4774, 1.4310542345046997], [8440, 1.4313409328460693], [8763, 1.4397648572921753], [8641, 1.4418470859527588], [866, 1.4458314180374146], [4942, 1.4463603496551514], [2636, 1.4463733434677124], [368, 1.4464622735977173], [9847, 1.4486069679260254]]","[[1007, 1.430194616317749], [4774, 1.4310542345046997], [8440, 1.4313409328460693], [8763, 1.4397648572921753], [8641, 1.4418470859527588], [866, 1.4458314180374146], [4942, 1.4463603496551514], [2636, 1.4463733434677124], [368, 1.4464622735977173], [9847, 1.4486069679260254]]"
2636,people are wrestling in a ring,2636,"[[4778, 1.4082980155944824]]","[[4778, 1.4082980155944824], [9847, 1.417535662651062], [8440, 1.4193611145019531], [9636, 1.424569010734558], [8279, 1.4268258810043335]]","[[4778, 1.4082980155944824], [9847, 1.417535662651062], [8440, 1.4193611145019531], [9636, 1.424569010734558], [8279, 1.4268258810043335], [4774, 1.4281482696533203], [368, 1.4283537864685059], [1007, 1.4290547370910645], [743, 1.4292800426483154], [2636, 1.4294073581695557]]","[[4778, 1.4082980155944824], [9847, 1.417535662651062], [8440, 1.4193611145019531], [9636, 1.424569010734558], [8279, 1.4268258810043335], [4774, 1.4281482696533203], [368, 1.4283537864685059], [1007, 1.4290547370910645], [743, 1.4292800426483154], [2636, 1.4294073581695557]]"
2636,professional wrestlers battle in a wrestling ring,2636,"[[9847, 1.4266804456710815]]","[[9847, 1.4266804456710815], [4774, 1.4278608560562134], [8440, 1.4282538890838623], [4778, 1.4290409088134766], [8279, 1.430099368095398]]","[[9847, 1.4266804456710815], [4774, 1.4278608560562134], [8440, 1.4282538890838623], [4778, 1.4290409088134766], [8279, 1.430099368095398], [9636, 1.4312739372253418], [2636, 1.4326882362365723], [8763, 1.4347598552703857], [743, 1.436066746711731], [9166, 1.437207818031311]]","[[9847, 1.4266804456710815], [4774, 1.4278608560562134], [8440, 1.4282538890838623], [4778, 1.4290409088134766], [8279, 1.430099368095398], [9636, 1.4312739372253418], [2636, 1.4326882362365723], [8763, 1.4347598552703857], [743, 1.436066746711731], [9166, 1.437207818031311]]"
2636,this is a wwf wrestling match,2636,"[[8763, 1.391984462738037]]","[[8763, 1.391984462738037], [8440, 1.394331932067871], [4774, 1.3980989456176758], [1761, 1.4166072607040405], [1007, 1.4180939197540283]]","[[8763, 1.391984462738037], [8440, 1.394331932067871], [4774, 1.3980989456176758], [1761, 1.4166072607040405], [1007, 1.4180939197540283], [2636, 1.4213716983795166], [2970, 1.4266526699066162], [1017, 1.4268994331359863], [6701, 1.428979516029358], [9847, 1.429140567779541]]","[[8763, 1.391984462738037], [8440, 1.394331932067871], [4774, 1.3980989456176758], [1761, 1.4166072607040405], [1007, 1.4180939197540283], [2636, 1.4213716983795166], [2970, 1.4266526699066162], [1017, 1.4268994331359863], [6701, 1.428979516029358], [9847, 1.429140567779541]]"
2636,two man s are fighting with each other,2636,"[[5612, 1.4483098983764648]]","[[5612, 1.4483098983764648], [4778, 1.4794232845306396], [4262, 1.481980800628662], [7979, 1.482316017150879], [1017, 1.485763430595398]]","[[5612, 1.4483098983764648], [4778, 1.4794232845306396], [4262, 1.481980800628662], [7979, 1.482316017150879], [1017, 1.485763430595398], [7211, 1.4870306253433228], [910, 1.4876519441604614], [9721, 1.4932818412780762], [1007, 1.4970972537994385], [6543, 1.500611662864685]]","[[5612, 1.4483098983764648], [4778, 1.4794232845306396], [4262, 1.481980800628662], [7979, 1.482316017150879], [1017, 1.485763430595398], [7211, 1.4870306253433228], [910, 1.4876519441604614], [9721, 1.4932818412780762], [1007, 1.4970972537994385], [6543, 1.500611662864685]]"
2636,two men are wrestling each other with weapons,2636,"[[5612, 1.4160592555999756]]","[[5612, 1.4160592555999756], [910, 1.4472200870513916], [4778, 1.456403374671936], [9087, 1.4770066738128662], [1007, 1.4796241521835327]]","[[5612, 1.4160592555999756], [910, 1.4472200870513916], [4778, 1.456403374671936], [9087, 1.4770066738128662], [1007, 1.4796241521835327], [743, 1.4824597835540771], [4262, 1.483894944190979], [2212, 1.4891531467437744], [1017, 1.48958158493042], [2041, 1.4900728464126587]]","[[5612, 1.4160592555999756], [910, 1.4472200870513916], [4778, 1.456403374671936], [9087, 1.4770066738128662], [1007, 1.4796241521835327], [743, 1.4824597835540771], [4262, 1.483894944190979], [2212, 1.4891531467437744], [1017, 1.48958158493042], [2041, 1.4900728464126587]]"
2636,two men wrestling and the umpire trying to judge,2636,"[[6399, 1.4212641716003418]]","[[6399, 1.4212641716003418], [5475, 1.4216301441192627], [8603, 1.4280692338943481], [8608, 1.432213544845581], [3669, 1.4322823286056519]]","[[6399, 1.4212641716003418], [5475, 1.4216301441192627], [8603, 1.4280692338943481], [8608, 1.432213544845581], [3669, 1.4322823286056519], [600, 1.4342563152313232], [4980, 1.4367334842681885], [4559, 1.4394572973251343], [3727, 1.4398038387298584], [5361, 1.440024971961975]]","[[6399, 1.4212641716003418], [5475, 1.4216301441192627], [8603, 1.4280692338943481], [8608, 1.432213544845581], [3669, 1.4322823286056519], [600, 1.4342563152313232], [4980, 1.4367334842681885], [4559, 1.4394572973251343], [3727, 1.4398038387298584], [5361, 1.440024971961975]]"
2636,two men wrestling in front of an audience,2636,"[[3685, 1.4215143918991089]]","[[3685, 1.4215143918991089], [3633, 1.4252969026565552], [3212, 1.426736831665039], [8470, 1.430572509765625], [5123, 1.4321279525756836]]","[[3685, 1.4215143918991089], [3633, 1.4252969026565552], [3212, 1.426736831665039], [8470, 1.430572509765625], [5123, 1.4321279525756836], [5689, 1.4329086542129517], [8823, 1.433448314666748], [4778, 1.436924934387207], [3331, 1.4398009777069092], [600, 1.4406861066818237]]","[[3685, 1.4215143918991089], [3633, 1.4252969026565552], [3212, 1.426736831665039], [8470, 1.430572509765625], [5123, 1.4321279525756836], [5689, 1.4329086542129517], [8823, 1.433448314666748], [4778, 1.436924934387207], [3331, 1.4398009777069092], [600, 1.4406861066818237]]"
2636,wrestler throws other person against ring and hits him with a chair,2636,"[[2636, 1.3754620552062988]]","[[2636, 1.3754620552062988], [9166, 1.4110352993011475], [4774, 1.4125986099243164], [8279, 1.416788101196289], [9847, 1.4210476875305176]]","[[2636, 1.3754620552062988], [9166, 1.4110352993011475], [4774, 1.4125986099243164], [8279, 1.416788101196289], [9847, 1.4210476875305176], [5612, 1.4234888553619385], [1007, 1.4288549423217773], [2212, 1.4293842315673828], [9636, 1.4317646026611328], [368, 1.4321997165679932]]","[[2636, 1.3754620552062988], [9166, 1.4110352993011475], [4774, 1.4125986099243164], [8279, 1.416788101196289], [9847, 1.4210476875305176], [5612, 1.4234888553619385], [1007, 1.4288549423217773], [2212, 1.4293842315673828], [9636, 1.4317646026611328], [368, 1.4321997165679932]]"
